date,open,high,low,close,volume,symbol
2002-09-03,0.0504,0.0505,0.0499,0.0501,478760,ADANIENT
2002-09-04,0.0505,0.0505,0.05,0.0502,492461,ADANIENT
2002-09-05,0.0504,0.0504,0.0495,0.0501,510128,ADANIENT
2002-09-08,0.0483,0.0498,0.0483,0.0495,488272,ADANIENT
2002-09-09,0.0495,0.0495,0.0495,0.0495,0,ADANIENT
2002-09-10,0.0499,0.0499,0.0487,0.0493,564188,ADANIENT
2002-09-11,0.0485,0.0495,0.0485,0.0491,504609,ADANIENT
2002-09-12,0.0498,0.0498,0.0489,0.0495,513534,ADANIENT
2002-09-15,0.0493,0.0496,0.0487,0.049,511485,ADANIENT
2002-09-16,0.0488,0.0494,0.0483,0.049,499846,ADANIENT
2002-09-17,0.0485,0.0493,0.0485,0.0488,506044,ADANIENT
2002-09-18,0.0487,0.049,0.0485,0.0487,485989,ADANIENT
2002-09-19,0.0487,0.0487,0.0482,0.0485,492578,ADANIENT
2002-09-22,0.0483,0.0489,0.0482,0.0487,527652,ADANIENT
2002-09-23,0.0458,0.0485,0.0458,0.0474,568011,ADANIENT
2002-09-24,0.0458,0.0477,0.0458,0.0468,528109,ADANIENT
2002-09-25,0.047,0.0474,0.0463,0.0466,539331,ADANIENT
2002-09-26,0.0425,0.047,0.0425,0.0464,602772,ADANIENT
2002-09-29,0.0427,0.0467,0.0427,0.0455,506827,ADANIENT
2002-09-30,0.0414,0.0451,0.0414,0.0438,517996,ADANIENT
2002-10-01,0.0438,0.0438,0.0438,0.0438,0,ADANIENT
2002-10-02,0.042,0.0438,0.042,0.0433,514160,ADANIENT
2002-10-03,0.0441,0.0441,0.043,0.0431,496179,ADANIENT
2002-10-06,0.0432,0.0442,0.0432,0.0441,497445,ADANIENT
2002-10-07,0.044,0.047,0.044,0.0467,519836,ADANIENT
2002-10-08,0.0474,0.0487,0.0469,0.0479,561304,ADANIENT
2002-10-09,0.0458,0.0475,0.0458,0.0466,502860,ADANIENT
2002-10-10,0.0473,0.0482,0.0467,0.0475,556829,ADANIENT
2002-10-13,0.0475,0.0478,0.0469,0.0473,493752,ADANIENT
2002-10-14,0.0473,0.0473,0.0473,0.0473,0,ADANIENT
2002-10-15,0.0477,0.0477,0.0467,0.047,497797,ADANIENT
2002-10-16,0.0471,0.0472,0.0468,0.0469,505365,ADANIENT
2002-10-17,0.0464,0.0474,0.0464,0.0467,496297,ADANIENT
2002-10-20,0.0467,0.047,0.0462,0.0467,497471,ADANIENT
2002-10-21,0.0467,0.0473,0.0465,0.0466,503017,ADANIENT
2002-10-22,0.0467,0.0471,0.0465,0.0467,512477,ADANIENT
2002-10-23,0.0454,0.0458,0.0425,0.0447,623754,ADANIENT
2002-10-24,0.0441,0.0444,0.0426,0.0434,565910,ADANIENT
2002-10-27,0.0425,0.0433,0.0418,0.043,515635,ADANIENT
2002-10-28,0.0429,0.0438,0.0429,0.0435,493687,ADANIENT
2002-10-29,0.044,0.0444,0.0432,0.0437,516183,ADANIENT
2002-10-30,0.0444,0.0444,0.0435,0.0441,490034,ADANIENT
2002-10-31,0.0442,0.0447,0.0433,0.044,489668,ADANIENT
2002-11-03,0.0445,0.0448,0.0432,0.0441,362172,ADANIENT
2002-11-04,0.0445,0.0447,0.0439,0.0439,487098,ADANIENT
2002-11-05,0.0439,0.0439,0.0439,0.0439,0,ADANIENT
2002-11-06,0.0451,0.0456,0.0441,0.0449,493309,ADANIENT
2002-11-07,0.0459,0.0459,0.0442,0.0447,501190,ADANIENT
2002-11-10,0.0452,0.0474,0.0439,0.047,557898,ADANIENT
2002-11-11,0.0479,0.048,0.0464,0.0475,513730,ADANIENT
2002-11-12,0.0469,0.0483,0.0469,0.0481,511446,ADANIENT
2002-11-13,0.0479,0.0499,0.0479,0.0494,534672,ADANIENT
2002-11-14,0.0496,0.0509,0.0493,0.0507,546455,ADANIENT
2002-11-17,0.0509,0.0509,0.0499,0.0504,485349,ADANIENT
2002-11-18,0.0504,0.0504,0.0504,0.0504,0,ADANIENT
2002-11-19,0.0506,0.0508,0.0495,0.0503,469991,ADANIENT
2002-11-20,0.0506,0.0506,0.0493,0.0499,495631,ADANIENT
2002-11-21,0.0512,0.0512,0.0496,0.0498,464524,ADANIENT
2002-11-24,0.0483,0.0504,0.0483,0.0496,455560,ADANIENT
2002-11-25,0.0507,0.0507,0.0499,0.0501,462736,ADANIENT
2002-11-26,0.0493,0.0504,0.0493,0.0503,448540,ADANIENT
2002-11-27,0.0503,0.0503,0.0498,0.0499,453641,ADANIENT
2002-11-28,0.0483,0.0509,0.0483,0.0499,477885,ADANIENT
2002-12-01,0.0493,0.0512,0.0493,0.0499,362589,ADANIENT
2002-12-02,0.0495,0.0506,0.0483,0.0494,308556,ADANIENT
2002-12-03,0.048,0.049,0.048,0.0483,308399,ADANIENT
2002-12-04,0.048,0.0499,0.048,0.0495,308021,ADANIENT
2002-12-05,0.0499,0.0501,0.049,0.0496,296590,ADANIENT
2002-12-08,0.0497,0.05,0.0484,0.049,303441,ADANIENT
2002-12-09,0.0496,0.0496,0.048,0.0482,314336,ADANIENT
2002-12-10,0.0489,0.0496,0.0477,0.0485,305085,ADANIENT
2002-12-11,0.0429,0.0483,0.0425,0.0476,714140,ADANIENT
2002-12-12,0.0474,0.0485,0.0474,0.0479,338763,ADANIENT
2002-12-15,0.048,0.0493,0.0474,0.0484,327215,ADANIENT
2002-12-16,0.0483,0.0483,0.0471,0.0471,141249,ADANIENT
2002-12-17,0.0474,0.0482,0.0467,0.047,308034,ADANIENT
2002-12-18,0.0483,0.0483,0.0471,0.0475,303297,ADANIENT
2002-12-19,0.0473,0.0479,0.0473,0.0475,297139,ADANIENT
2002-12-22,0.0468,0.0475,0.0468,0.0472,302345,ADANIENT
2002-12-23,0.0463,0.0473,0.0462,0.0466,406980,ADANIENT
2002-12-24,0.0466,0.0466,0.0466,0.0466,0,ADANIENT
2002-12-25,0.0471,0.0474,0.0465,0.047,148921,ADANIENT
2002-12-26,0.048,0.048,0.0467,0.0468,439014,ADANIENT
2002-12-29,0.0469,0.0472,0.0465,0.0467,137334,ADANIENT
2002-12-30,0.0473,0.0473,0.0461,0.0464,433429,ADANIENT
