date,open,high,low,close,volume,symbol
2007-11-26,139.4516,187.4447,139.4516,173.6806,27262365,ADANIPORTS
2007-11-27,175.6728,179.1138,158.4044,160.2788,21958915,ADANIPORTS
2007-11-28,163.901,165.5309,152.5456,160.641,25616715,ADANIPORTS
2007-11-29,161.1843,173.3184,161.1843,168.2474,23047035,ADANIPORTS
2007-12-02,170.1943,180.0737,166.9797,177.4839,14578850,ADANIPORTS
2007-12-03,178.7063,191.0668,176.7594,189.9802,22742860,ADANIPORTS
2007-12-04,190.1613,199.0355,190.1613,196.3189,13806600,ADANIPORTS
2007-12-05,190.3423,200.593,190.3423,197.4236,8619680,ADANIPORTS
2007-12-06,199.2166,205.3198,195.2322,199.2166,11182820,ADANIPORTS
2007-12-09,199.5154,201.0277,192.2531,194.4263,5028390,ADANIPORTS
2007-12-10,195.7846,197.2244,188.5313,189.4369,3990645,ADANIPORTS
2007-12-11,186.5392,192.5157,184.0037,187.7888,3637865,ADANIPORTS
2007-12-12,188.3502,208.2719,187.825,204.858,15317195,ADANIPORTS
2007-12-13,200.1493,206.4427,199.4158,200.4843,5345960,ADANIPORTS
2007-12-16,206.4608,211.5318,184.9997,189.1199,7024775,ADANIPORTS
2007-12-17,189.1199,189.1199,189.1199,189.1199,0,ADANIPORTS
2007-12-18,197.5866,202.1142,189.4911,193.2219,4228330,ADANIPORTS
2007-12-19,196.2283,196.2283,190.3424,192.0086,3116440,ADANIPORTS
2007-12-23,198.3111,215.8784,196.5453,209.5034,10304460,ADANIPORTS
2007-12-25,212.7995,219.8627,207.9097,217.3091,7335155,ADANIPORTS
2007-12-26,220.0437,224.5714,218.0516,219.437,4887475,ADANIPORTS
2007-12-27,215.4075,230.729,212.7995,226.2195,5820690,ADANIPORTS
2007-12-30,228.8002,234.5322,228.3746,229.7872,3686245,ADANIPORTS
2007-12-31,231.6345,238.8788,228.8636,234.8673,2456740,ADANIPORTS
2008-01-01,237.2941,239.7843,230.0046,236.787,3519075,ADANIPORTS
2008-01-02,236.3433,238.1001,228.4018,231.055,2525290,ADANIPORTS
2008-01-03,231.5983,234.496,223.3037,224.6348,2753975,ADANIPORTS
2008-01-06,224.5714,231.6165,220.0438,222.2623,3154815,ADANIPORTS
2008-01-07,224.5714,227.288,214.6106,218.1965,2652495,ADANIPORTS
2008-01-08,217.3272,219.1382,208.453,213.7503,3137535,ADANIPORTS
2008-01-09,214.6106,217.291,201.0277,203.1194,2194030,ADANIPORTS
2008-01-10,204.2875,204.6497,192.5156,196.6539,3084690,ADANIPORTS
2008-01-13,196.0291,196.0291,186.7383,187.4718,4179580,ADANIPORTS
