date,open,high,low,close,volume,symbol
2002-06-30,15.4827,16.2797,15.4827,16.1493,87810,ASIANPAINT
2002-07-01,15.4848,16.5087,15.4848,16.3181,588615,ASIANPAINT
2002-07-02,16.1348,16.521,15.8928,16.4725,162075,ASIANPAINT
2002-07-03,16.4246,16.9072,16.4246,16.642,266625,ASIANPAINT
2002-07-04,16.9558,18.1152,16.9072,17.4319,408600,ASIANPAINT
2002-07-07,17.3927,18.0188,17.3927,17.755,165600,ASIANPAINT
2002-07-08,17.6804,17.8543,17.3905,17.613,74835,ASIANPAINT
2002-07-09,17.3927,17.8253,17.2072,17.726,93675,ASIANPAINT
2002-07-10,17.8516,17.8516,16.4782,17.6971,61380,ASIANPAINT
2002-07-11,17.9001,17.9001,17.4102,17.5132,63405,ASIANPAINT
2002-07-14,17.753,17.753,16.9585,17.0909,42795,ASIANPAINT
2002-07-15,17.4051,17.4051,16.9195,17.0497,107070,ASIANPAINT
2002-07-16,16.8703,16.907,16.1986,16.5098,114600,ASIANPAINT
2002-07-17,17.1645,17.1645,15.7918,16.5613,88500,ASIANPAINT
2002-07-18,16.2818,16.6746,15.2519,16.2038,104325,ASIANPAINT
2002-07-21,16.1839,16.576,15.9389,16.3509,86790,ASIANPAINT
2002-07-22,16.4289,16.6694,16.1839,16.3774,52935,ASIANPAINT
2002-07-23,15.3011,16.8703,15.3011,16.4583,34530,ASIANPAINT
2002-07-24,16.0861,17.3609,16.0861,16.9615,188115,ASIANPAINT
2002-07-25,16.9195,17.2381,16.4289,16.7378,420480,ASIANPAINT
2002-07-28,16.8217,17.3609,16.2332,16.3583,235215,ASIANPAINT
2002-07-29,16.4487,16.6746,15.6932,15.8308,70515,ASIANPAINT
2002-07-30,14.8105,16.7724,14.8105,16.1229,247245,ASIANPAINT
2002-07-31,16.4657,16.4657,15.7447,15.961,36225,ASIANPAINT
2002-08-01,15.2033,16.1788,15.2033,15.9507,18165,ASIANPAINT
2002-08-04,15.669,16.2722,15.669,16.1964,95790,ASIANPAINT
2002-08-05,16.1714,16.4046,16.1714,16.1861,72615,ASIANPAINT
2002-08-06,15.7425,16.5223,15.7425,16.37,64575,ASIANPAINT
2002-08-07,16.3752,16.576,16.2406,16.4855,130245,ASIANPAINT
2002-08-08,16.0125,16.576,16.0125,16.4877,62790,ASIANPAINT
2002-08-11,16.2332,16.6716,16.2332,16.3627,31755,ASIANPAINT
2002-08-12,16.245,16.6253,16.245,16.4539,64410,ASIANPAINT
2002-08-13,15.7918,18.5872,15.7918,16.4097,71940,ASIANPAINT
2002-08-14,16.4097,16.4097,16.4097,16.4097,0,ASIANPAINT
2002-08-15,16.3362,16.6106,16.2523,16.3362,44520,ASIANPAINT
2002-08-18,16.1618,16.576,15.7205,15.9632,203220,ASIANPAINT
2002-08-19,16.1302,16.8703,16.0368,16.7011,137910,ASIANPAINT
2002-08-20,16.8953,16.9195,16.331,16.4414,95760,ASIANPAINT
2002-08-21,16.4318,16.6746,15.9485,16.5834,73305,ASIANPAINT
2002-08-22,16.4539,16.64,16.4289,16.5274,118755,ASIANPAINT
2002-08-25,16.3825,16.7724,16.3825,16.5716,83790,ASIANPAINT
2002-08-26,16.7724,16.8703,16.576,16.5885,57975,ASIANPAINT
2002-08-27,16.9857,16.9857,16.576,16.601,96015,ASIANPAINT
2002-08-28,16.576,16.8217,16.4392,16.6768,147930,ASIANPAINT
2002-08-29,16.6746,16.7673,16.6253,16.6864,30945,ASIANPAINT
2002-09-01,16.7231,16.9195,16.5297,16.6937,48225,ASIANPAINT
2002-09-02,16.9144,16.9195,16.4289,16.8555,133830,ASIANPAINT
2002-09-03,16.7724,16.8703,16.6768,16.7481,12720,ASIANPAINT
2002-09-04,17.2631,18.3415,17.0667,17.1822,324420,ASIANPAINT
2002-09-05,17.1844,17.4543,17.0667,17.2432,104160,ASIANPAINT
2002-09-08,18.3415,18.3415,16.7231,16.8511,44100,ASIANPAINT
2002-09-09,16.8511,16.8511,16.8511,16.8511,0,ASIANPAINT
2002-09-10,17.0174,17.0887,16.6746,16.7209,318075,ASIANPAINT
2002-09-11,17.1402,17.1402,16.6768,16.8143,75300,ASIANPAINT
2002-09-12,16.2332,16.9688,16.2332,16.8953,22545,ASIANPAINT
2002-09-15,16.6746,16.9637,16.6746,16.8239,72045,ASIANPAINT
2002-09-16,16.8217,16.8923,16.7334,16.8217,31845,ASIANPAINT
2002-09-17,16.8217,16.9195,16.7849,16.8953,57960,ASIANPAINT
2002-09-18,16.9195,17.0174,16.6304,16.9365,287775,ASIANPAINT
2002-09-19,17.6552,17.6552,16.7283,16.7776,25680,ASIANPAINT
2002-09-22,16.7114,16.907,16.6547,16.6746,18975,ASIANPAINT
2002-09-23,16.6989,17.1645,16.6304,17.1012,503745,ASIANPAINT
2002-09-24,16.8953,16.9195,16.7356,16.7798,10275,ASIANPAINT
2002-09-25,18.1458,18.1458,16.6768,16.8018,7785,ASIANPAINT
2002-09-26,17.1108,17.1108,16.7967,16.8658,15315,ASIANPAINT
2002-09-29,17.6552,17.6552,16.6768,16.7599,27465,ASIANPAINT
2002-09-30,16.6768,16.8607,16.6746,16.6819,12840,ASIANPAINT
2002-10-01,16.6819,16.6819,16.6819,16.6819,0,ASIANPAINT
2002-10-02,16.6746,16.9637,16.6746,16.91,46560,ASIANPAINT
2002-10-03,16.9195,17.116,16.704,16.9835,42345,ASIANPAINT
2002-10-06,15.9389,16.9688,15.9389,16.9585,82650,ASIANPAINT
2002-10-07,16.3803,17.1601,16.3803,16.8754,769245,ASIANPAINT
2002-10-08,16.8217,16.9195,16.6937,16.7776,85935,ASIANPAINT
2002-10-09,16.8703,16.9195,16.7481,16.7702,76920,ASIANPAINT
2002-10-10,16.7599,16.9563,16.7283,16.8901,28455,ASIANPAINT
2002-10-13,17.1402,17.1402,16.6496,16.6989,80130,ASIANPAINT
2002-10-14,16.6989,16.6989,16.6989,16.6989,0,ASIANPAINT
2002-10-15,16.9195,16.9195,16.6746,16.7114,1001205,ASIANPAINT
2002-10-16,17.116,17.116,16.782,16.8879,486090,ASIANPAINT
2002-10-17,17.0961,17.0961,16.6326,16.6841,80985,ASIANPAINT
2002-10-20,16.9279,17.0889,16.6491,16.9227,319500,ASIANPAINT
2002-10-21,17.2455,17.2455,16.5,16.9249,449505,ASIANPAINT
2002-10-22,16.6491,17.1933,16.6491,16.9205,105795,ASIANPAINT
2002-10-23,16.749,17.1292,16.749,16.8802,121560,ASIANPAINT
2002-10-24,17.0442,17.0442,16.6491,16.8556,396735,ASIANPAINT
2002-10-27,16.6491,16.7438,16.4009,16.5671,348720,ASIANPAINT
2002-10-28,16.4083,16.5999,16.4083,16.4657,37365,ASIANPAINT
2002-10-29,16.4009,16.4009,16.0527,16.1973,182820,ASIANPAINT
2002-10-30,16.3017,16.4009,16.2272,16.3241,33030,ASIANPAINT
2002-10-31,16.4009,16.4009,15.9036,16.0631,67995,ASIANPAINT
2002-11-03,16.2518,16.6991,16.2518,16.6767,11865,ASIANPAINT
2002-11-04,16.4806,16.749,16.4732,16.7162,26295,ASIANPAINT
2002-11-05,16.7162,16.7162,16.7162,16.7162,0,ASIANPAINT
2002-11-06,16.9428,16.9428,16.0035,16.0803,234735,ASIANPAINT
2002-11-07,16.2518,16.2518,16.1123,16.1526,131475,ASIANPAINT
2002-11-10,16.2518,16.3509,15.8097,16.0132,161295,ASIANPAINT
2002-11-11,16.0281,16.0527,15.879,15.8991,20775,ASIANPAINT
2002-11-12,16.0453,16.2018,15.9014,16.1847,33360,ASIANPAINT
2002-11-13,16.1526,16.699,16.1526,16.5075,60870,ASIANPAINT
2002-11-14,16.5052,16.6223,16.2018,16.3338,13110,ASIANPAINT
2002-11-17,16.2518,16.3763,16.0527,16.0878,27525,ASIANPAINT
2002-11-18,16.0878,16.0878,16.0878,16.0878,0,ASIANPAINT
2002-11-19,16.0654,16.1973,15.9536,15.9707,46080,ASIANPAINT
2002-11-20,16.0527,16.4009,16.0527,16.2272,45675,ASIANPAINT
2002-11-21,16.4009,16.4754,16.3986,16.4061,19215,ASIANPAINT
2002-11-24,16.4031,16.5,16.4008,16.418,34650,ASIANPAINT
2002-11-25,16.5,16.5969,16.4009,16.4754,27495,ASIANPAINT
2002-11-26,16.55,16.5999,16.4061,16.4307,24015,ASIANPAINT
2002-11-27,16.4031,16.4627,16.3785,16.4329,21945,ASIANPAINT
2002-11-28,16.254,16.4478,16.0527,16.1996,194625,ASIANPAINT
2002-12-01,16.3509,16.4135,16.1548,16.2942,171555,ASIANPAINT
2002-12-02,16.4009,16.4009,16.1601,16.2443,925215,ASIANPAINT
2002-12-03,16.2518,16.4009,16.1772,16.3315,6705,ASIANPAINT
2002-12-04,16.699,18.8856,16.3188,16.418,23775,ASIANPAINT
2002-12-05,16.5254,16.55,16.3539,16.4232,61455,ASIANPAINT
2002-12-08,16.4009,16.5872,16.3509,16.4381,35655,ASIANPAINT
2002-12-09,16.1101,16.4754,16.1101,16.4009,2556705,ASIANPAINT
2002-12-10,16.4627,16.6491,16.3092,16.4031,1027050,ASIANPAINT
2002-12-11,16.3539,16.6491,16.2517,16.4851,281640,ASIANPAINT
2002-12-12,16.4008,16.9972,16.3039,16.5924,179070,ASIANPAINT
2002-12-15,16.5,16.55,16.2764,16.3986,49470,ASIANPAINT
2002-12-16,16.3263,16.4754,16.3017,16.3733,23265,ASIANPAINT
2002-12-17,16.8481,16.8481,16.4008,16.5,33705,ASIANPAINT
2002-12-18,16.4008,16.5701,16.4008,16.5,662415,ASIANPAINT
2002-12-19,15.6829,16.5746,15.6829,16.3658,25080,ASIANPAINT
2002-12-22,16.4009,16.4255,16.1526,16.1623,36885,ASIANPAINT
2002-12-23,16.3859,16.3859,16.0035,16.0333,147645,ASIANPAINT
2002-12-24,16.0333,16.0333,16.0333,16.0333,0,ASIANPAINT
2002-12-25,16.1027,16.4009,15.9036,16.2443,83250,ASIANPAINT
2002-12-26,16.1571,16.3017,16.0781,16.1847,9375,ASIANPAINT
2002-12-29,16.3509,16.3807,16.1571,16.172,26310,ASIANPAINT
2002-12-30,16.2018,16.3017,16.1422,16.1645,82995,ASIANPAINT
2002-12-31,16.1526,16.2145,16.1526,16.1601,12885,ASIANPAINT
2003-01-01,16.1526,16.3017,16.1526,16.254,15960,ASIANPAINT
2003-01-02,16.3039,16.5,16.2764,16.2816,21945,ASIANPAINT
2003-01-05,16.3509,16.3882,16.2018,16.3584,25155,ASIANPAINT
2003-01-06,16.3509,16.4702,16.3017,16.4478,33825,ASIANPAINT
2003-01-07,16.4508,16.4679,16.3584,16.4433,114570,ASIANPAINT
2003-01-08,16.4508,16.5,16.2868,16.4508,51555,ASIANPAINT
2003-01-09,16.4478,16.5,16.3509,16.4829,30540,ASIANPAINT
2003-01-12,18.3891,18.3891,16.2517,16.3956,59040,ASIANPAINT
2003-01-13,16.5969,16.749,16.503,16.6938,45600,ASIANPAINT
2003-01-14,16.5999,16.8683,16.1422,16.3315,50295,ASIANPAINT
2003-01-15,15.4071,16.749,15.4071,16.7162,150120,ASIANPAINT
2003-01-16,16.6491,16.7237,16.5999,16.6223,89235,ASIANPAINT
2003-01-19,16.7043,16.7043,16.503,16.632,29775,ASIANPAINT
2003-01-20,15.4563,16.7982,15.4071,16.6297,31245,ASIANPAINT
2003-01-21,16.746,16.746,16.5999,16.6819,207600,ASIANPAINT
2003-01-22,16.7937,16.7937,16.453,16.5723,61650,ASIANPAINT
2003-01-23,16.5,16.6491,16.5,16.6245,60285,ASIANPAINT
2003-01-26,16.453,16.6394,16.2518,16.4732,23250,ASIANPAINT
2003-01-27,16.4255,16.699,16.4255,16.5403,60855,ASIANPAINT
2003-01-28,16.55,16.5969,16.2197,16.3859,33105,ASIANPAINT
2003-01-29,16.4083,16.4605,16.2018,16.4158,17520,ASIANPAINT
