date,open,high,low,close,volume,symbol
2000-12-31,7.15,7.15,6.7078,6.7446,168495,AXISBANK
2001-01-01,6.7078,6.7815,6.6857,6.7815,157760,AXISBANK
2001-01-02,6.7373,6.9658,6.7299,6.9289,492780,AXISBANK
2001-01-03,7.0321,7.0763,6.8257,6.8626,207395,AXISBANK
2001-01-04,6.8331,6.8847,6.7815,6.8257,170575,AXISBANK
2001-01-07,6.951,6.9658,6.7299,6.8773,137565,AXISBANK
2001-01-08,6.8847,6.8994,6.7815,6.7889,69300,AXISBANK
2001-01-09,6.8773,6.9215,6.7594,6.7962,106135,AXISBANK
2001-01-10,6.7815,6.8773,6.7225,6.7962,102530,AXISBANK
2001-01-11,6.8036,6.9068,6.7151,6.8036,214150,AXISBANK
2001-01-14,6.7446,6.8552,6.6488,6.7815,129955,AXISBANK
2001-01-15,6.7373,6.8405,6.7299,6.8183,81880,AXISBANK
2001-01-16,6.9142,7.2459,6.9142,7.0174,247255,AXISBANK
2001-01-17,7.1427,7.209,6.9658,6.9879,202175,AXISBANK
2001-01-18,7.0763,7.15,6.8699,7.0542,205450,AXISBANK
2001-01-21,7.5923,7.5923,7.0911,7.1943,860705,AXISBANK
2001-01-22,7.2238,7.408,6.9658,7.15,771825,AXISBANK
2001-01-23,7.2532,7.5039,7.1943,7.3491,1286250,AXISBANK
2001-01-24,7.3712,7.9314,7.3712,7.9314,621045,AXISBANK
2001-01-25,7.9314,7.9314,7.9314,7.9314,0,AXISBANK
2001-01-28,7.3491,7.7545,7.2975,7.2975,1095280,AXISBANK
2001-01-29,6.8552,6.9953,6.7151,6.7151,794430,AXISBANK
2001-01-30,6.3613,6.811,6.354,6.3908,1225250,AXISBANK
2001-01-31,6.3392,6.612,6.3392,6.4129,298515,AXISBANK
2001-02-01,6.3834,6.5309,6.3097,6.3392,767325,AXISBANK
2001-02-04,6.6341,6.6341,6.0739,6.096,514845,AXISBANK
2001-02-05,6.1918,6.3245,6.1181,6.1181,412845,AXISBANK
2001-02-06,6.1918,6.2286,6.0812,6.0886,223590,AXISBANK
2001-02-07,6.0665,6.5161,6.0075,6.3466,568080,AXISBANK
2001-02-08,6.2065,6.5382,6.2065,6.3245,714020,AXISBANK
2001-02-11,6.612,6.6193,6.2287,6.354,935895,AXISBANK
2001-02-12,6.435,6.4424,6.1328,6.1476,563465,AXISBANK
2001-02-13,6.1255,6.2287,6.1181,6.1255,230460,AXISBANK
2001-02-14,6.1328,6.1918,6.0444,6.0444,199505,AXISBANK
2001-02-15,5.9854,6.096,5.7643,5.8011,727080,AXISBANK
2001-02-18,6.0444,6.1033,5.7569,5.8159,401170,AXISBANK
2001-02-19,5.8969,5.8969,5.639,5.6758,364330,AXISBANK
2001-02-20,5.7348,6.0296,5.6832,5.8527,382550,AXISBANK
2001-02-21,5.7569,5.8675,5.6021,5.6979,194375,AXISBANK
2001-02-22,5.6095,5.639,5.381,5.4694,360365,AXISBANK
2001-02-25,5.7495,5.9043,5.5726,5.58,467945,AXISBANK
2001-02-26,5.6021,5.6537,5.1377,5.263,526480,AXISBANK
2001-02-27,5.3662,5.5947,5.2335,5.4842,566680,AXISBANK
2001-02-28,5.4915,5.8527,5.4104,5.4547,565950,AXISBANK
2001-03-01,5.6758,5.7053,5.1303,5.1451,670635,AXISBANK
2001-03-04,5.2557,5.2557,4.7544,4.8208,805090,AXISBANK
2001-03-05,4.8208,4.8208,4.8208,4.8208,0,AXISBANK
2001-03-06,4.8576,5.1598,4.4817,5.0419,865060,AXISBANK
2001-03-07,5.1377,5.1598,4.7913,4.8576,169055,AXISBANK
2001-03-08,4.806,4.806,4.4743,4.4743,282755,AXISBANK
2001-03-11,4.4891,4.4964,4.1205,4.1205,429165,AXISBANK
2001-03-12,3.7962,4.032,3.7962,3.7962,478765,AXISBANK
2001-03-13,3.693,4.0984,3.6856,4.0984,241800,AXISBANK
2001-03-14,4.0026,4.4227,4.0026,4.4153,310555,AXISBANK
2001-03-15,4.5701,4.6438,4.2384,4.2679,458015,AXISBANK
2001-03-18,4.4227,4.5628,4.1279,4.3343,117545,AXISBANK
2001-03-19,4.2753,4.2753,4.1426,4.2163,92830,AXISBANK
2001-03-20,4.2311,4.2311,4.0247,4.0468,119410,AXISBANK
2001-03-21,4.0247,4.0836,3.9878,4.0247,123500,AXISBANK
2001-03-22,4.1205,4.1573,3.833,3.9067,372680,AXISBANK
2001-03-25,4.0173,4.1279,3.9583,3.9804,187080,AXISBANK
2001-03-26,3.9804,4.0542,3.9215,3.9804,246135,AXISBANK
2001-03-27,4.032,4.0836,3.9436,3.9436,210960,AXISBANK
2001-03-28,3.9288,3.9436,3.8404,3.892,167750,AXISBANK
2001-03-29,3.8551,3.8699,3.5824,3.6193,308605,AXISBANK
2001-04-01,3.5382,3.5382,3.3318,3.5308,150580,AXISBANK
2001-04-02,3.4202,3.774,3.4202,3.7151,254100,AXISBANK
2001-04-03,3.8183,4.0099,3.8183,4.0099,272745,AXISBANK
2001-04-04,4.0099,4.0099,4.0099,4.0099,0,AXISBANK
2001-04-05,4.3269,4.3269,4.2753,4.3269,97240,AXISBANK
