date,open,high,low,close,volume,symbol
2002-06-30,79.2332,81.4255,78.3328,80.9557,114874,BAJAJ-AUTO
2002-07-01,82.1692,82.1692,79.2411,79.7108,70272,BAJAJ-AUTO
2002-07-02,81.4255,83.4924,79.8596,82.7251,158600,BAJAJ-AUTO
2002-07-03,79.703,86.5146,79.703,85.7708,389836,BAJAJ-AUTO
2002-07-04,86.906,86.906,83.555,84.0483,162464,BAJAJ-AUTO
2002-07-07,84.5415,84.6981,83.4767,84.0561,100766,BAJAJ-AUTO
2002-07-08,85.3401,85.4967,83.3202,85.2462,110472,BAJAJ-AUTO
2002-07-09,81.4255,85.8099,81.4255,83.4376,182680,BAJAJ-AUTO
2002-07-10,82.9913,83.5785,82.365,83.2262,68804,BAJAJ-AUTO
2002-07-11,83.1479,83.743,82.8582,83.1871,39310,BAJAJ-AUTO
2002-07-14,82.686,82.96,81.5899,82.2632,34122,BAJAJ-AUTO
2002-07-15,82.3728,82.3728,79.0767,80.1728,80172,BAJAJ-AUTO
2002-07-16,79.3898,79.703,78.1371,79.0688,81806,BAJAJ-AUTO
2002-07-17,76.626,79.8518,76.626,78.051,76988,BAJAJ-AUTO
2002-07-18,76.5791,79.2332,76.5712,78.7087,157674,BAJAJ-AUTO
2002-07-21,78.7635,78.7635,75.9449,77.7222,80436,BAJAJ-AUTO
2002-07-22,74.2224,77.8161,74.2224,76.4225,80816,BAJAJ-AUTO
2002-07-23,75.4203,76.4147,73.4865,73.69,208460,BAJAJ-AUTO
2002-07-24,74.5356,75.9449,71.4978,74.1833,401650,BAJAJ-AUTO
2002-07-25,77.4168,77.5108,68.9298,70.4487,243754,BAJAJ-AUTO
2002-07-28,72.0615,72.8132,65.297,67.7867,259782,BAJAJ-AUTO
2002-07-29,68.1155,69.1803,65.7667,67.4422,143848,BAJAJ-AUTO
2002-07-30,64.2008,67.8023,64.2008,65.9233,225840,BAJAJ-AUTO
2002-07-31,68.1155,68.1155,65.1795,66.6593,211186,BAJAJ-AUTO
2002-08-01,63.1047,66.1425,63.1047,65.3126,96810,BAJAJ-AUTO
2002-08-04,66.393,67.4735,65.1795,67.1212,72298,BAJAJ-AUTO
2002-08-05,71.2473,71.2473,66.4087,68.601,98388,BAJAJ-AUTO
2002-08-06,68.8828,73.1185,67.9589,70.6601,336812,BAJAJ-AUTO
2002-08-07,71.0907,71.8736,68.8985,69.2116,94164,BAJAJ-AUTO
2002-08-08,69.0551,71.075,68.6088,70.3078,101558,BAJAJ-AUTO
2002-08-11,70.48,71.9911,70.48,70.9967,101390,BAJAJ-AUTO
2002-08-12,71.169,71.169,69.7206,70.0494,51326,BAJAJ-AUTO
2002-08-13,65.1404,70.3078,65.1404,68.0842,210438,BAJAJ-AUTO
2002-08-14,68.0842,68.0842,68.0842,68.0842,0,BAJAJ-AUTO
2002-08-15,64.5923,69.0551,64.5923,66.9646,286236,BAJAJ-AUTO
2002-08-18,67.3326,67.5518,66.5575,67.2778,136762,BAJAJ-AUTO
2002-08-19,67.6614,69.3447,66.5496,68.5305,107902,BAJAJ-AUTO
2002-08-20,69.6814,69.6814,67.9668,68.1077,67328,BAJAJ-AUTO
2002-08-21,67.3483,68.7027,66.9098,67.0429,246328,BAJAJ-AUTO
2002-08-22,66.8628,67.1603,65.5318,65.7432,341918,BAJAJ-AUTO
2002-08-25,65.6884,66.5497,64.9055,65.4144,273836,BAJAJ-AUTO
2002-08-26,65.7667,65.7667,65.1795,65.3283,316540,BAJAJ-AUTO
2002-08-27,68.8985,68.8985,64.6706,65.4379,140876,BAJAJ-AUTO
2002-08-28,63.0656,65.7589,63.0656,65.4692,154212,BAJAJ-AUTO
2002-08-29,65.4535,65.7667,64.0442,65.524,109896,BAJAJ-AUTO
2002-09-01,65.7667,66.3774,63.9738,65.109,256338,BAJAJ-AUTO
2002-09-02,65.6101,65.6101,64.608,65.156,219580,BAJAJ-AUTO
2002-09-03,64.9838,65.7667,64.7489,65.4927,132516,BAJAJ-AUTO
2002-09-04,65.7667,66.5497,65.5005,65.7197,165740,BAJAJ-AUTO
2002-09-05,65.7667,65.7667,65.156,65.6336,87022,BAJAJ-AUTO
2002-09-08,65.7667,65.8215,65.2891,65.7511,104510,BAJAJ-AUTO
2002-09-09,65.7511,65.7511,65.7511,65.7511,0,BAJAJ-AUTO
2002-09-10,65.7667,66.2365,65.6101,65.7276,67520,BAJAJ-AUTO
2002-09-11,65.7667,65.9233,65.3361,65.7824,70258,BAJAJ-AUTO
2002-09-12,65.4614,66.5496,65.4614,65.8293,160798,BAJAJ-AUTO
2002-09-15,65.7667,66.3539,65.3361,65.7589,26272,BAJAJ-AUTO
2002-09-16,66.0799,66.0799,63.7702,64.7567,108362,BAJAJ-AUTO
2002-09-17,64.2008,65.1404,61.9616,62.8463,126200,BAJAJ-AUTO
2002-09-18,62.7916,62.9481,58.8064,60.1139,376582,BAJAJ-AUTO
2002-09-19,58.7203,59.8947,58.7203,59.0491,331130,BAJAJ-AUTO
2002-09-22,58.7203,59.7381,57.3501,58.2035,212802,BAJAJ-AUTO
2002-09-23,58.2505,60.1061,58.0783,59.6363,221682,BAJAJ-AUTO
2002-09-24,59.9417,60.662,59.3466,60.2079,90520,BAJAJ-AUTO
2002-09-25,59.5032,61.2257,59.5032,59.8634,61582,BAJAJ-AUTO
2002-09-26,59.5032,62.9481,59.5032,62.4706,247886,BAJAJ-AUTO
2002-09-29,61.8599,63.4179,60.7637,61.0143,172392,BAJAJ-AUTO
2002-09-30,60.294,61.0691,57.6477,59.3858,275562,BAJAJ-AUTO
2002-10-01,59.3858,59.3858,59.3858,59.3858,0,BAJAJ-AUTO
2002-10-02,60.2862,60.2862,57.3423,57.6164,146834,BAJAJ-AUTO
2002-10-03,57.4754,58.689,56.4967,57.3267,152790,BAJAJ-AUTO
2002-10-06,57.1544,58.3288,56.8569,57.585,198760,BAJAJ-AUTO
2002-10-07,57.4676,60.7481,57.4676,60.247,207708,BAJAJ-AUTO
2002-10-08,60.9908,62.0086,60.4662,61.4136,159802,BAJAJ-AUTO
2002-10-09,61.5389,64.0443,61.5389,63.5354,363882,BAJAJ-AUTO
2002-10-10,59.5189,63.5432,59.5189,62.6271,279456,BAJAJ-AUTO
2002-10-13,62.7916,63.5745,62.0399,62.4706,93216,BAJAJ-AUTO
2002-10-14,62.4706,62.4706,62.4706,62.4706,0,BAJAJ-AUTO
2002-10-15,62.5567,62.9482,61.852,62.2827,103742,BAJAJ-AUTO
2002-10-16,61.852,63.3709,61.2648,61.8912,152578,BAJAJ-AUTO
2002-10-17,61.6955,65.6101,61.6955,62.9795,111388,BAJAJ-AUTO
2002-10-20,63.4179,64.193,63.1047,63.3239,159856,BAJAJ-AUTO
2002-10-21,64.2008,64.2008,59.7068,60.5524,309236,BAJAJ-AUTO
2002-10-22,59.8399,63.4336,59.8399,62.8933,761030,BAJAJ-AUTO
2002-10-23,62.7759,64.8115,61.852,64.0364,574866,BAJAJ-AUTO
2002-10-24,64.1852,65.4379,62.9012,64.3339,195340,BAJAJ-AUTO
2002-10-27,64.514,64.9838,63.4257,63.7467,167172,BAJAJ-AUTO
2002-10-28,63.8877,66.8315,63.5745,65.8607,545938,BAJAJ-AUTO
2002-10-29,66.0642,68.1938,62.7916,66.0407,544736,BAJAJ-AUTO
2002-10-30,65.7667,66.5496,64.6706,66.3539,198194,BAJAJ-AUTO
2002-10-31,66.5496,69.838,66.3148,69.2195,897702,BAJAJ-AUTO
2002-11-03,69.055,70.6209,68.7027,70.1981,111062,BAJAJ-AUTO
2002-11-04,70.1512,70.1512,67.8806,68.2799,244632,BAJAJ-AUTO
2002-11-05,68.2799,68.2799,68.2799,68.2799,0,BAJAJ-AUTO
2002-11-06,67.818,67.9276,66.7062,67.2073,283824,BAJAJ-AUTO
2002-11-07,66.7924,68.507,66.7924,67.8023,255454,BAJAJ-AUTO
2002-11-10,68.8985,68.8985,67.3483,68.2721,100102,BAJAJ-AUTO
2002-11-11,67.6536,68.7419,67.6536,68.2486,82852,BAJAJ-AUTO
2002-11-12,67.9746,70.2921,67.9746,69.3839,612194,BAJAJ-AUTO
2002-11-13,69.838,69.838,68.1782,68.7967,267210,BAJAJ-AUTO
2002-11-14,69.4465,72.0302,68.7419,70.9028,753062,BAJAJ-AUTO
2002-11-17,71.0985,71.4039,70.206,70.7305,208750,BAJAJ-AUTO
