date,open,high,low,close,volume,symbol
2002-08-11,440.5921,450.0382,440.5921,443.8224,50600,BAJAJFINSV
2002-08-12,444.8991,444.8991,435.8445,437.9002,25600,BAJAJFINSV
2002-08-13,407.2123,439.5153,407.2123,425.6152,105200,BAJAJFINSV
2002-08-14,425.6152,425.6152,425.6152,425.6152,0,BAJAJFINSV
2002-08-15,403.7864,431.6843,403.7864,418.6163,143100,BAJAJFINSV
2002-08-18,420.9167,422.2871,416.0712,420.5741,68300,BAJAJFINSV
2002-08-19,422.9723,433.4953,416.0223,428.4051,53900,BAJAJFINSV
2002-08-20,435.5998,435.5998,424.8811,425.7621,33600,BAJAJFINSV
2002-08-21,421.0146,429.4819,418.2737,419.1058,123100,BAJAJFINSV
2002-08-22,417.98,419.8399,409.6596,410.9811,170900,BAJAJFINSV
2002-08-25,410.6385,416.0223,405.7441,408.9255,136900,BAJAJFINSV
2002-08-26,411.1279,411.1279,407.4571,408.3871,158200,BAJAJFINSV
2002-08-27,430.7055,430.7055,404.2758,409.0723,70400,BAJAJFINSV
2002-08-28,394.2423,411.079,394.2423,409.268,77100,BAJAJFINSV
2002-08-29,409.1701,411.1279,400.3602,409.6106,54900,BAJAJFINSV
2002-09-01,411.128,414.9456,399.9198,407.0167,128100,BAJAJFINSV
2002-09-02,410.149,410.149,403.8842,407.3103,109700,BAJAJFINSV
2002-09-03,406.2335,411.1279,404.7652,409.4148,66200,BAJAJFINSV
2002-09-04,411.1279,416.0223,409.4638,410.8343,82800,BAJAJFINSV
2002-09-05,411.1279,411.1279,407.3103,410.2959,43500,BAJAJFINSV
2002-09-08,411.128,411.4706,408.1424,411.0301,52200,BAJAJFINSV
2002-09-09,411.0301,411.0301,411.0301,411.0301,0,BAJAJFINSV
2002-09-10,411.1279,414.0646,410.1491,410.8832,33700,BAJAJFINSV
2002-09-11,411.128,412.1068,408.4361,411.2259,35100,BAJAJFINSV
2002-09-12,409.2191,416.0223,409.2191,411.5195,80300,BAJAJFINSV
2002-09-15,411.1279,414.7987,408.436,411.079,13100,BAJAJFINSV
