date,open,high,low,close,volume,symbol
2002-06-30,1.3818,1.4366,1.3714,1.4226,66107844,BEL
2002-07-01,1.4219,1.4426,1.3955,1.4019,53452773,BEL
2002-07-02,1.4095,1.4095,1.3584,1.3708,25342020,BEL
2002-07-03,1.3644,1.3892,1.3507,1.3641,18499041,BEL
2002-07-04,1.3587,1.3838,1.3587,1.3724,16883757,BEL
2002-07-07,1.3828,1.3841,1.3504,1.3587,10296792,BEL
2002-07-08,1.3587,1.3838,1.347,1.3534,20924145,BEL
2002-07-09,1.3564,1.3631,1.3236,1.327,10935639,BEL
2002-07-10,1.327,1.3504,1.2869,1.2926,20377566,BEL
2002-07-11,1.3083,1.3236,1.2946,1.3056,18052551,BEL
2002-07-14,1.3036,1.3103,1.2568,1.2919,13241250,BEL
2002-07-15,1.2829,1.3303,1.2742,1.3129,20203821,BEL
2002-07-16,1.3103,1.3149,1.214,1.2347,33077187,BEL
2002-07-17,1.2361,1.2882,1.2361,1.2762,21906027,BEL
2002-07-18,1.2695,1.4062,1.2544,1.3888,178203861,BEL
2002-07-21,1.3544,1.4166,1.3186,1.3521,241586829,BEL
2002-07-22,1.3363,1.4557,1.3203,1.4373,245092122,BEL
2002-07-23,1.4105,1.4386,1.351,1.3648,153412974,BEL
2002-07-24,1.3905,1.4637,1.3851,1.4363,152682354,BEL
2002-07-25,1.4166,1.4366,1.317,1.3323,72129618,BEL
2002-07-28,1.3417,1.349,1.2401,1.2882,105033753,BEL
2002-07-29,1.3216,1.337,1.1976,1.23,41241321,BEL
2002-07-30,1.2033,1.3103,1.1197,1.2745,119529828,BEL
2002-07-31,1.3223,1.3223,1.2314,1.2417,63843021,BEL
2002-08-01,1.2297,1.2401,1.1716,1.202,48163401,BEL
2002-08-04,1.1993,1.2595,1.1993,1.2324,40581486,BEL
2002-08-05,1.216,1.2969,1.204,1.2909,62228331,BEL
2002-08-06,1.3109,1.4273,1.2969,1.3895,164726298,BEL
2002-08-07,1.3938,1.4032,1.3327,1.3474,67887567,BEL
2002-08-08,1.3771,1.4172,1.3521,1.4082,92680236,BEL
2002-08-11,1.4139,1.4436,1.3805,1.4283,71447013,BEL
2002-08-12,1.4176,1.4473,1.4039,1.4119,61183089,BEL
2002-08-13,1.3965,1.4132,1.3875,1.3968,42146973,BEL
2002-08-14,1.3968,1.3968,1.3968,1.3968,0,BEL
2002-08-15,1.4005,1.4199,1.3678,1.3758,37533573,BEL
2002-08-18,1.3838,1.4015,1.3708,1.3771,26254404,BEL
2002-08-19,1.3898,1.3898,1.339,1.3504,28631097,BEL
2002-08-20,1.3537,1.3838,1.3534,1.3631,20480427,BEL
2002-08-21,1.3698,1.4199,1.3654,1.3995,84163266,BEL
2002-08-22,1.4049,1.4333,1.4029,1.4182,48241116,BEL
2002-08-25,1.4139,1.4507,1.3972,1.4296,32773158,BEL
2002-08-26,1.4239,1.4359,1.3938,1.4159,52630182,BEL
2002-08-27,1.4039,1.444,1.3838,1.4009,43540398,BEL
2002-08-28,1.3965,1.3972,1.345,1.3521,33561891,BEL
2002-08-29,1.3434,1.3574,1.3116,1.346,36358542,BEL
2002-09-01,1.3564,1.3731,1.2936,1.3012,30129264,BEL
2002-09-02,1.3036,1.3263,1.2544,1.2678,56147058,BEL
2002-09-03,1.2501,1.3146,1.2434,1.2939,59432967,BEL
2002-09-04,1.3036,1.322,1.2909,1.2962,19440234,BEL
2002-09-05,1.2952,1.2952,1.2391,1.2571,27017199,BEL
2002-09-08,1.2501,1.2501,1.1365,1.1629,64503648,BEL
2002-09-09,1.1629,1.1629,1.1629,1.1629,0,BEL
2002-09-10,1.1659,1.2167,1.1632,1.2003,61583940,BEL
2002-09-11,1.2302,1.2536,1.2178,1.2213,26577144,BEL
2002-09-12,1.2171,1.2591,1.2034,1.2223,33511500,BEL
2002-09-15,1.2354,1.2392,1.1504,1.1632,31464477,BEL
2002-09-16,1.1742,1.1948,1.1284,1.1477,39577032,BEL
2002-09-17,1.158,1.1786,1.125,1.1343,27768510,BEL
2002-09-18,1.1346,1.1394,1.0745,1.0947,35977491,BEL
2002-09-19,1.0855,1.0954,0.9283,1.0267,70017057,BEL
2002-09-22,1.0318,1.0934,1.0249,1.0762,71299008,BEL
2002-09-23,1.0538,1.0659,1.0329,1.0487,26869095,BEL
2002-09-24,1.0249,1.0521,1.0246,1.0353,21588138,BEL
2002-09-25,1.0452,1.059,1.0329,1.039,13582206,BEL
2002-09-26,1.0514,1.0796,1.0387,1.0604,32126094,BEL
2002-09-29,1.0555,1.0635,0.9988,1.0091,26978490,BEL
2002-09-30,1.004,1.0401,1.0005,1.0318,43738299,BEL
2002-10-01,1.0318,1.0318,1.0318,1.0318,0,BEL
2002-10-02,1.058,1.059,0.9744,0.9868,39446055,BEL
2002-10-03,0.9833,1.0225,0.9734,0.9813,36124605,BEL
2002-10-06,1.0109,1.1274,0.9978,1.104,173671740,BEL
2002-10-07,1.1064,1.1432,1.0755,1.0837,103568256,BEL
2002-10-08,1.0934,1.1202,1.0751,1.0872,49480992,BEL
2002-10-09,1.0865,1.093,1.0432,1.0604,30563973,BEL
2002-10-10,1.0762,1.1126,1.059,1.0951,57587112,BEL
2002-10-13,1.1071,1.1071,1.0315,1.0583,25376769,BEL
2002-10-14,1.0583,1.0583,1.0583,1.0583,0,BEL
2002-10-15,1.0659,1.0659,1.0243,1.0308,21880683,BEL
2002-10-16,1.028,1.0961,1.016,1.0834,39535155,BEL
2002-10-17,1.1119,1.1195,1.0693,1.0765,56166660,BEL
2002-10-20,1.1071,1.1071,1.0614,1.0724,19254114,BEL
2002-10-21,1.0762,1.0813,1.0504,1.0549,13174425,BEL
2002-10-22,1.0507,1.0727,1.0459,1.061,13297878,BEL
2002-10-23,1.0727,1.0813,1.0597,1.0669,10421829,BEL
2002-10-24,1.0659,1.0872,1.0408,1.071,30526947,BEL
2002-10-27,1.0803,1.0831,1.0504,1.0717,13554783,BEL
2002-10-28,1.0772,1.1326,1.0727,1.1198,40620591,BEL
2002-10-29,1.1278,1.1896,1.0889,1.1673,93152862,BEL
2002-10-30,1.1828,1.2013,1.1511,1.1714,57355551,BEL
2002-10-31,1.1745,1.1865,1.1319,1.1498,35399034,BEL
2002-11-03,1.169,1.169,1.1329,1.1449,6936732,BEL
2002-11-04,1.1484,1.1484,1.1123,1.1229,9739818,BEL
2002-11-05,1.1229,1.1229,1.1229,1.1229,0,BEL
2002-11-06,1.1209,1.1209,1.0831,1.0913,10321641,BEL
2002-11-07,1.0934,1.1202,1.0796,1.1119,12071763,BEL
2002-11-10,1.1171,1.1319,1.1002,1.1205,12592206,BEL
2002-11-11,1.1002,1.1484,1.1002,1.1305,12849507,BEL
2002-11-12,1.1443,1.1484,1.1343,1.136,12505581,BEL
2002-11-13,1.1363,1.1687,1.1363,1.1511,30465864,BEL
2002-11-14,1.1422,1.1769,1.1305,1.1618,25679016,BEL
2002-11-17,1.1628,1.1828,1.1278,1.1491,13093245,BEL
2002-11-18,1.1491,1.1491,1.1491,1.1491,0,BEL
2002-11-19,1.1415,1.1621,1.1219,1.1584,9957123,BEL
2002-11-20,1.1553,1.1707,1.1518,1.1645,7728435,BEL
2002-11-21,1.1656,1.1886,1.1621,1.1707,11988504,BEL
2002-11-24,1.1965,1.2134,1.1676,1.181,16101261,BEL
2002-11-25,1.1948,1.2343,1.1697,1.2096,33023529,BEL
2002-11-26,1.2158,1.2367,1.18,1.1838,15728724,BEL
2002-11-27,1.1896,1.2051,1.1243,1.1315,35370423,BEL
2002-11-28,1.1539,1.1683,1.136,1.1618,21718422,BEL
2002-12-01,1.1621,1.2845,1.1621,1.2673,48909267,BEL
2002-12-02,1.2584,1.2859,1.202,1.2072,24381720,BEL
2002-12-03,1.2144,1.2343,1.1793,1.1876,18103041,BEL
2002-12-04,1.1896,1.2171,1.1896,1.2072,24777225,BEL
2002-12-05,1.2722,1.4028,1.255,1.2704,66636009,BEL
2002-12-08,1.2722,1.3065,1.1793,1.2006,48319029,BEL
2002-12-09,1.1728,1.2086,1.169,1.19,17300349,BEL
2002-12-10,1.2268,1.2268,1.1845,1.1886,8739225,BEL
2002-12-11,1.2096,1.2096,1.1828,1.1865,7548453,BEL
2002-12-12,1.2034,1.2268,1.1972,1.2199,15753573,BEL
2002-12-15,1.2354,1.2653,1.2137,1.234,48800664,BEL
2002-12-16,1.2481,1.2481,1.2034,1.2106,14240556,BEL
2002-12-17,1.2154,1.2223,1.2068,1.212,5920794,BEL
2002-12-18,1.1828,1.2233,1.1828,1.2202,5853672,BEL
2002-12-19,1.2144,1.2206,1.1965,1.2041,11265111,BEL
2002-12-22,1.2051,1.2216,1.2017,1.2106,5271354,BEL
2002-12-23,1.223,1.223,1.2034,1.2116,2420253,BEL
2002-12-24,1.2116,1.2116,1.2116,1.2116,0,BEL
2002-12-25,1.2171,1.2326,1.1955,1.202,6296400,BEL
2002-12-26,1.2206,1.2206,1.1783,1.2113,20425086,BEL
2002-12-29,1.1896,1.2092,1.1776,1.2034,14382324,BEL
2002-12-30,1.2103,1.2123,1.1862,1.1924,4818132,BEL
2002-12-31,1.2051,1.2068,1.1828,1.189,6393222,BEL
2003-01-01,1.2034,1.2082,1.1621,1.17,13995927,BEL
2003-01-02,1.181,1.1862,1.1494,1.1642,10335699,BEL
2003-01-05,1.1628,1.2103,1.1628,1.1907,28937997,BEL
2003-01-06,1.2027,1.2165,1.2,1.2048,9248778,BEL
2003-01-07,1.2068,1.234,1.2031,1.2226,12476376,BEL
2003-01-08,1.224,1.2405,1.2034,1.211,5031279,BEL
2003-01-09,1.2447,1.3303,1.2378,1.2856,74421765,BEL
2003-01-12,1.2873,1.3781,1.2863,1.3674,75402459,BEL
2003-01-13,1.3681,1.4083,1.321,1.3292,48507228,BEL
2003-01-14,1.3468,1.3557,1.3241,1.3327,19881477,BEL
2003-01-15,1.3303,1.353,1.3244,1.3354,10238382,BEL
2003-01-16,1.3409,1.3433,1.3141,1.3217,6161067,BEL
2003-01-19,1.3151,1.3416,1.2667,1.277,14155317,BEL
2003-01-20,1.3017,1.3169,1.2722,1.2794,8403219,BEL
2003-01-21,1.2818,1.3117,1.2584,1.2773,18579033,BEL
2003-01-22,1.2818,1.3237,1.2773,1.2928,21559230,BEL
2003-01-23,1.2973,1.3052,1.2749,1.2942,8628147,BEL
2003-01-26,1.3399,1.3399,1.2429,1.2526,10471725,BEL
2003-01-27,1.2673,1.2997,1.2515,1.2887,7275609,BEL
2003-01-28,1.2722,1.3402,1.2722,1.2949,14676552,BEL
2003-01-29,1.3024,1.3585,1.2825,1.3488,30028977,BEL
2003-01-30,1.3822,1.3973,1.3478,1.3794,50168943,BEL
2003-02-02,1.3787,1.4303,1.3787,1.4245,39300822,BEL
2003-02-03,1.4399,1.4406,1.4052,1.4142,22027896,BEL
2003-02-04,1.4001,1.4427,1.3705,1.3791,23315292,BEL
2003-02-05,1.3409,1.3946,1.3409,1.3774,15938703,BEL
2003-02-06,1.3891,1.4056,1.3622,1.3691,19650708,BEL
2003-02-09,1.3684,1.3822,1.3512,1.3557,9523602,BEL
2003-02-10,1.3677,1.3677,1.3478,1.3485,8030682,BEL
2003-02-11,1.3887,1.3887,1.3358,1.3416,5116617,BEL
2003-02-12,1.3416,1.3416,1.3416,1.3416,0,BEL
2003-02-13,1.3409,1.3471,1.2945,1.312,5546871,BEL
2003-02-16,1.3526,1.3612,1.3248,1.3282,10603197,BEL
2003-02-17,1.344,1.4056,1.321,1.3897,31339836,BEL
2003-02-18,1.4441,1.506,1.3911,1.4008,30126888,BEL
2003-02-19,1.4018,1.4152,1.3774,1.3966,15026913,BEL
2003-02-20,1.3952,1.4166,1.3842,1.3973,16965135,BEL
2003-02-23,1.4097,1.4169,1.3997,1.4093,9799317,BEL
2003-02-24,1.3959,1.409,1.3688,1.3757,9215514,BEL
2003-02-25,1.3822,1.3925,1.3248,1.3382,16192935,BEL
2003-02-26,1.3506,1.3925,1.3409,1.3798,36310923,BEL
