date,open,high,low,close,volume,symbol
2000-12-31,69.1389,70.8089,67.8029,68.5844,1904687,CIPLA
2001-01-01,68.2371,70.4081,68.2371,69.5364,2020037,CIPLA
2001-01-02,69.1389,72.4789,64.1288,71.2465,4684975,CIPLA
2001-01-03,72.6627,74.6166,69.5464,70.318,3727962,CIPLA
2001-01-04,70.6753,72.9466,70.2745,71.7976,1971950,CIPLA
2001-01-07,71.4769,77.5358,70.8089,73.7882,4730537,CIPLA
2001-01-08,73.5611,75.0842,72.3119,73.324,2218387,CIPLA
2001-01-09,74.7502,74.7502,71.5504,72.0013,1648887,CIPLA
2001-01-10,72.7462,73.6146,71.8811,72.686,1834075,CIPLA
2001-01-11,73.2137,73.5544,70.2745,71.6005,2413000,CIPLA
2001-01-14,71.2765,72.9432,68.8049,72.479,1314375,CIPLA
2001-01-15,72.8129,73.3473,71.7475,72.0915,1232025,CIPLA
2001-01-16,72.4789,73.0801,71.0761,71.7675,693487,CIPLA
2001-01-17,71.6473,72.1449,71.4769,71.9212,318775,CIPLA
2001-01-18,72.2785,72.813,71.8109,72.1182,1147950,CIPLA
2001-01-21,72.4789,75.151,72.4789,73.0367,1860850,CIPLA
2001-01-22,73.3473,74.2158,72.4923,73.4175,1557512,CIPLA
2001-01-23,73.8817,74.1156,72.8797,73.2538,781275,CIPLA
2001-01-24,73.7481,73.7481,71.8109,72.3387,1208025,CIPLA
2001-01-25,72.3387,72.3387,72.3387,72.3387,0,CIPLA
2001-01-28,71.4769,71.8109,69.1389,71.0327,767625,CIPLA
2001-01-29,71.4101,73.6146,70.9425,73.02,1375337,CIPLA
2001-01-30,74.8838,76.821,74.817,75.141,3065350,CIPLA
2001-01-31,75.2178,76.0795,74.149,74.8737,2034937,CIPLA
2001-02-01,75.0842,77.6894,74.2892,77.1583,3215137,CIPLA
2001-02-04,77.3554,79.0688,77.0882,77.8063,2322825,CIPLA
2001-02-05,78.3574,78.7582,77.3621,78.4509,1760737,CIPLA
2001-02-06,79.493,79.827,78.0268,78.3274,1904962,CIPLA
2001-02-07,78.491,78.6914,77.5558,78.1336,646575,CIPLA
2001-02-08,77.6226,80.0942,77.4957,78.501,1928862,CIPLA
2001-02-11,79.0255,79.8872,78.2238,79.5532,1476775,CIPLA
2001-02-12,79.787,81.4937,79.6934,80.2612,2042575,CIPLA
2001-02-13,80.0942,80.4951,78.6046,79.6868,1490250,CIPLA
2001-02-14,80.1544,80.2279,79.2258,79.5298,559762,CIPLA
2001-02-15,80.1577,80.4216,78.2439,78.6814,844250,CIPLA
2001-02-18,78.6914,78.9586,76.6874,77.6861,681962,CIPLA
2001-02-19,78.157,78.157,77.155,77.2586,850050,CIPLA
2001-02-20,76.9045,77.6894,74.984,75.2579,1072787,CIPLA
2001-02-21,74.2826,75.485,71.8109,73.815,1372887,CIPLA
2001-02-22,74.483,74.5498,68.3373,70.7655,1934887,CIPLA
2001-02-25,69.6132,71.6105,66.1997,68.4776,1413837,CIPLA
2001-02-26,69.3727,71.1429,67.2351,68.2237,2020537,CIPLA
2001-02-27,67.9999,71.8109,65.9325,67.2551,2440300,CIPLA
2001-02-28,68.7381,71.9445,68.7381,71.0895,2107112,CIPLA
2001-03-01,72.1449,72.8129,69.1422,70.1944,1009012,CIPLA
2001-03-04,70.1376,70.7989,67.205,67.8363,1568287,CIPLA
2001-03-05,67.8363,67.8363,67.8363,67.8363,0,CIPLA
2001-03-06,69.2725,70.4081,67.8029,68.1235,1022575,CIPLA
2001-03-07,68.6112,69.1389,68.0133,68.5277,620587,CIPLA
2001-03-08,68.4041,68.4041,63.4708,66.724,990262,CIPLA
2001-03-11,66.7975,66.7975,63.4608,64.3092,1850575,CIPLA
2001-03-12,59.2524,64.8603,59.1655,62.0213,1475012,CIPLA
2001-03-13,61.4568,65.4649,61.4568,65.0073,746337,CIPLA
2001-03-14,63.4608,67.3286,62.7928,66.9211,1426975,CIPLA
2001-03-15,66.1997,68.0701,63.4608,64.5163,1141912,CIPLA
2001-03-18,64.1288,64.386,61.4601,63.1001,507787,CIPLA
2001-03-19,64.1288,64.9972,62.1248,64.3359,677350,CIPLA
2001-03-20,62.9264,66.7274,62.7928,66.1195,582675,CIPLA
2001-03-21,66.1329,66.5671,64.8703,66.4569,645850,CIPLA
2001-03-22,66.4669,66.8009,64.6031,66.4168,964475,CIPLA
2001-03-25,67.4021,67.4021,65.1576,65.8857,240875,CIPLA
2001-03-26,66.4001,67.1349,65.7321,66.7808,530987,CIPLA
2001-03-27,67.4689,70.1409,66.8042,69.5397,467300,CIPLA
2001-03-28,68.6112,69.3393,67.4756,68.2772,352712,CIPLA
2001-03-29,67.4722,67.4722,65.6719,66.6739,509075,CIPLA
2001-04-01,65.5317,65.6586,62.7962,64.7902,381325,CIPLA
2001-04-02,64.1288,68.0701,63.4608,67.3453,443887,CIPLA
2001-04-03,66.4669,68.3373,65.7989,67.1683,340012,CIPLA
2001-04-04,67.1683,67.1683,67.1683,67.1683,0,CIPLA
2001-04-05,68.1369,69.1222,65.3647,67.7595,709125,CIPLA
2001-04-08,66.9345,67.3353,65.0006,66.1295,545050,CIPLA
2001-04-09,66.7875,66.7875,65.0975,66.3633,439675,CIPLA
2001-04-10,65.8657,66.2665,60.6652,61.2197,847512,CIPLA
