date,open,high,low,close,volume,symbol
2010-11-03,96.7387,114.6569,96.7387,113.8757,479716245,COALINDIA
2010-11-07,116.9507,118.3137,109.5374,109.9529,46932779,COALINDIA
2010-11-08,109.7535,110.8339,108.0415,108.3905,23741956,COALINDIA
2010-11-09,108.1744,108.9723,106.3959,107.3101,21057129,COALINDIA
2010-11-10,107.3766,112.0141,106.9943,109.2216,26548372,COALINDIA
2010-11-11,109.7036,110.6843,105.7144,106.4291,15004107,COALINDIA
2010-11-14,106.7782,107.3433,104.7337,105.4484,9917395,COALINDIA
2010-11-15,106.3793,107.6924,105.0828,105.731,12100114,COALINDIA
2010-11-17,106.2463,109.3546,103.0549,108.6731,23983896,COALINDIA
2010-11-18,109.7868,113.0114,109.072,110.8838,51723739,COALINDIA
2010-11-21,111.6983,112.0307,104.7171,110.8173,11494521,COALINDIA
2010-11-22,109.8698,110.5015,105.5482,106.4291,13147667,COALINDIA
2010-11-23,109.4876,109.4876,103.055,103.3209,16243562,COALINDIA
2010-11-24,104.3847,105.8308,103.4206,104.1187,6489260,COALINDIA
2010-11-25,104.7171,105.0496,100.063,103.9525,13657322,COALINDIA
2010-11-28,103.5203,106.2796,102.4566,105.5316,6493219,COALINDIA
2010-11-29,104.7171,106.0468,103.7198,105.4651,6050064,COALINDIA
2010-11-30,105.382,107.2104,104.7171,106.6951,5053942,COALINDIA
2010-12-01,107.1107,108.3573,106.7616,107.9916,6143344,COALINDIA
2010-12-02,105.7476,108.2742,105.7476,107.0275,2453815,COALINDIA
2010-12-05,106.7117,108.0082,105.8806,106.5123,2895539,COALINDIA
2010-12-06,106.5455,107.2935,105.4651,106.3793,3484977,COALINDIA
2010-12-07,105.9139,107.2769,105.4651,105.997,2877153,COALINDIA
2010-12-08,105.7144,106.3793,102.7225,104.1187,5313081,COALINDIA
2010-12-09,103.7198,107.0441,103.7198,105.4817,5799900,COALINDIA
2010-12-12,105.7145,107.8254,105.382,107.4265,2809522,COALINDIA
2010-12-13,107.8586,110.0361,107.2935,108.1412,7075931,COALINDIA
2010-12-14,108.2409,109.7036,107.3766,108.9889,5380352,COALINDIA
2010-12-15,108.6232,108.7063,105.515,106.612,2893052,COALINDIA
2010-12-19,107.3766,107.3766,104.7337,105.0495,2905355,COALINDIA
2010-12-20,105.9804,105.9804,103.4539,104.152,4427901,COALINDIA
2010-12-21,104.7503,106.2796,103.9525,104.4013,5425074,COALINDIA
2010-12-22,104.7337,105.0329,103.7198,104.0356,3326534,COALINDIA
2010-12-23,104.0523,104.3514,103.0882,103.7697,1859093,COALINDIA
2010-12-26,103.7697,104.4844,101.8914,102.1573,5273320,COALINDIA
2010-12-27,102.3901,103.0383,100.063,100.9772,8055446,COALINDIA
2010-12-28,101.7584,103.5203,101.16,103.138,5772875,COALINDIA
2010-12-29,103.3874,103.5868,102.0576,102.4067,2643251,COALINDIA
2010-12-30,102.8887,105.1991,102.4898,104.634,4960987,COALINDIA
2011-01-02,104.8833,105.7144,104.5675,105.4817,2929118,COALINDIA
2011-01-03,106.0136,106.3793,105.0662,106.1133,2716995,COALINDIA
2011-01-04,106.3793,106.3793,102.4731,102.9884,8555905,COALINDIA
2011-01-05,103.3874,104.0522,102.5563,102.7557,2763146,COALINDIA
2011-01-06,103.0549,104.2184,100.4453,102.7557,2298583,COALINDIA
2011-01-09,103.0217,103.0549,100.4287,101.4426,5413595,COALINDIA
2011-01-10,101.7252,104.0356,101.7252,102.7391,2781948,COALINDIA
2011-01-11,103.0217,104.019,101.8083,102.5563,1181115,COALINDIA
2011-01-12,102.8555,104.3681,102.2239,103.2045,2070696,COALINDIA
2011-01-13,103.2045,104.8833,102.3734,103.2211,2244505,COALINDIA
2011-01-16,102.1408,104.3847,101.7917,104.1021,1707118,COALINDIA
2011-01-17,104.2185,104.3681,102.3901,103.4372,844507,COALINDIA
2011-01-18,103.3874,103.9525,102.3735,102.8555,1426048,COALINDIA
2011-01-19,102.656,106.1133,102.4233,104.9498,6121175,COALINDIA
2011-01-20,105.1992,105.1992,103.7198,104.4346,2413133,COALINDIA
2011-01-23,104.6839,104.6839,102.7225,103.2045,1097986,COALINDIA
2011-01-24,103.3874,104.9498,102.5729,103.055,2452476,COALINDIA
2011-01-26,103.3874,104.019,102.1241,102.4898,2455783,COALINDIA
2011-01-27,102.0743,102.9552,100.7445,101.4094,4236476,COALINDIA
2011-01-30,100.3954,102.2238,99.9134,101.1767,3673855,COALINDIA
2011-01-31,101.559,103.0051,100.8941,102.4898,4863055,COALINDIA
2011-02-01,103.0882,104.6839,102.5729,103.886,3374631,COALINDIA
2011-02-02,103.3874,106.3793,103.3541,105.4983,4211492,COALINDIA
2011-02-03,105.4983,105.7476,102.0576,102.4399,1688679,COALINDIA
2011-02-06,102.8555,103.2045,101.1102,101.2764,1799233,COALINDIA
2011-02-07,102.0244,102.2072,98.4673,100.196,3841730,COALINDIA
2011-02-08,100.3954,102.3402,98.7333,99.2984,4490558,COALINDIA
2011-02-09,99.7638,101.0603,97.4866,98.9493,2690945,COALINDIA
2011-02-10,99.099,101.3928,99.0657,101.2598,3292240,COALINDIA
2011-02-13,101.7252,102.0576,99.7638,100.6614,1942474,COALINDIA
2011-02-14,101.2265,102.3402,100.3954,100.545,3035367,COALINDIA
2011-02-15,101.1435,101.21,99.8802,100.0963,1619527,COALINDIA
2011-02-16,100.7113,101.8582,100.3955,101.4094,2752128,COALINDIA
2011-02-17,102.1996,102.6368,100.9217,101.6784,1990388,COALINDIA
2011-02-20,101.3926,102.1997,100.8881,101.5103,953044,COALINDIA
2011-02-21,101.7288,102.0651,100.989,101.3421,1436876,COALINDIA
2011-02-22,101.6952,101.6952,100.5518,101.1067,2131294,COALINDIA
2011-02-23,101.3589,101.897,100.2996,100.6527,2899140,COALINDIA
2011-02-24,100.9218,101.897,97.1889,98.4164,1964843,COALINDIA
2011-02-27,100.5518,111.5655,99.5766,110.2035,20923045,COALINDIA
2011-02-28,109.2955,114.3062,107.8326,113.869,7867356,COALINDIA
2011-03-02,113.6673,113.6673,110.0353,110.6575,4387230,COALINDIA
2011-03-03,111.8849,112.6416,108.707,109.0433,1402888,COALINDIA
2011-03-06,108.2866,115.5337,107.0759,114.6762,7183263,COALINDIA
2011-03-07,115.3488,115.8532,112.7761,113.4151,3110206,COALINDIA
2011-03-08,114.2726,114.7434,113.0115,114.1885,1603527,COALINDIA
2011-03-09,114.2726,114.2726,110.8929,112.423,1612997,COALINDIA
2011-03-10,112.6416,112.6584,110.338,110.9601,856545,COALINDIA
2011-03-13,111.2796,112.9106,109.9849,112.2549,1128910,COALINDIA
2011-03-14,110.6406,115.3151,107.6644,113.8186,4638465,COALINDIA
2011-03-15,114.0372,116.9966,112.154,115.6514,3717632,COALINDIA
2011-03-16,115.0124,116.8621,113.8354,115.3319,1815524,COALINDIA
2011-03-17,115.5169,116.6939,113.5328,115.8196,2926170,COALINDIA
2011-03-20,115.4665,117.6692,115.4497,116.7444,3943734,COALINDIA
2011-03-21,116.8621,124.8995,116.8284,121.0657,9681241,COALINDIA
2011-03-22,121.4021,122.3437,118.3922,119.0144,2695567,COALINDIA
2011-03-23,119.0144,121.5197,119.0144,120.494,2324343,COALINDIA
2011-03-24,121.0658,121.7383,119.9055,120.4268,2203586,COALINDIA
2011-03-27,121.0153,121.0657,117.4842,118.0223,1128268,COALINDIA
2011-03-28,118.3755,118.3755,114.5585,116.4418,6481785,COALINDIA
2011-03-29,116.6939,117.871,114.3735,114.8107,2449230,COALINDIA
2011-03-30,115.147,117.3329,114.8107,116.5258,3248352,COALINDIA
2011-03-31,116.6939,117.1984,115.2142,116.6603,2169798,COALINDIA
2011-04-03,116.8116,121.3852,116.139,119.7038,2719239,COALINDIA
2011-04-04,118.0727,121.402,118.0727,120.6454,1328250,COALINDIA
2011-04-05,120.6454,123.6889,119.317,123.2349,4513558,COALINDIA
2011-04-06,123.5207,124.6977,120.4941,120.9481,2485182,COALINDIA
2011-04-07,122.0747,122.3101,118.2073,119.4684,2121665,COALINDIA
2011-04-10,119.8551,122.0746,118.5772,120.2586,2751598,COALINDIA
2011-04-12,120.3932,120.864,117.7028,119.0144,1432901,COALINDIA
2011-04-14,119.3843,120.6454,117.871,120.2082,2609120,COALINDIA
2011-04-17,120.7463,120.8136,117.8542,118.6108,979661,COALINDIA
2011-04-18,118.3754,119.317,116.324,117.5683,1488088,COALINDIA
2011-04-19,118.2072,124.0588,118.0391,123.2685,4296720,COALINDIA
2011-04-20,124.3278,124.3446,120.41,121.8392,4895594,COALINDIA
2011-04-24,122.0746,122.8481,120.8976,122.4614,1832622,COALINDIA
2011-04-25,121.587,122.7472,120.4268,122.5623,1277232,COALINDIA
2011-04-26,121.0657,126.7827,120.8808,124.7145,3734876,COALINDIA
2011-04-27,125.1013,128.397,124.6809,126.6819,7546827,COALINDIA
2011-04-28,126.6819,128.9014,125.942,127.9766,3799109,COALINDIA
2011-05-01,121.7383,128.7837,121.7383,127.6907,1855839,COALINDIA
2011-05-02,127.1191,129.305,123.9411,124.9331,2031295,COALINDIA
2011-05-03,124.765,126.0429,121.5029,125.0004,2881731,COALINDIA
2011-05-04,124.7482,126.0934,122.8313,123.857,1537387,COALINDIA
2011-05-05,124.2437,125.4039,122.9322,124.3446,2241153,COALINDIA
2011-05-08,124.4287,132.4661,123.9747,131.928,6109075,COALINDIA
2011-05-09,131.8272,133.29,129.4731,129.8598,3322937,COALINDIA
2011-05-10,130.2466,132.3148,128.2961,129.1872,2854705,COALINDIA
2011-05-11,129.7757,132.2307,127.9093,128.4137,2726810,COALINDIA
2011-05-12,128.8005,131.6758,128.481,130.0952,2281880,COALINDIA
2011-05-15,130.4819,132.2475,129.8094,130.7846,1551570,COALINDIA
2011-05-16,131.1546,134.9883,130.9864,133.7104,5674815,COALINDIA
2011-05-17,134.383,134.383,124.5632,125.673,8642834,COALINDIA
2011-05-18,126.127,129.389,122.9154,126.4801,11416019,COALINDIA
2011-05-19,125.1013,125.6393,121.9569,122.7304,5400664,COALINDIA
2011-05-22,122.4109,125.5889,121.8897,122.8817,1974392,COALINDIA
2011-05-23,123.4198,126.2447,120.8135,124.6641,3890213,COALINDIA
2011-05-24,125.6394,129.4395,124.765,126.9005,3824128,COALINDIA
2011-05-25,127.7916,131.4236,127.7075,130.8015,5232851,COALINDIA
2011-05-26,130.9864,132.6679,129.8094,130.4484,2737715,COALINDIA
2011-05-29,131.1546,133.5086,131.1546,132.8192,2529091,COALINDIA
2011-05-30,132.4998,142.0337,132.4998,137.3592,11708250,COALINDIA
2011-05-31,139.5619,140.1,136.2326,139.377,4496698,COALINDIA
2011-06-01,138.8893,139.0575,134.7193,135.4423,2842746,COALINDIA
2011-06-02,135.3919,137.292,131.1882,131.7095,2764367,COALINDIA
2011-06-05,131.8271,134.4502,131.2723,132.4661,2009110,COALINDIA
2011-06-06,132.8361,135.9636,132.2644,135.5769,1982013,COALINDIA
2011-06-07,135.8795,139.1583,135.4255,137.0901,3290373,COALINDIA
2011-06-08,137.2079,138.3513,136.384,136.9893,1360848,COALINDIA
2011-06-09,137.4769,138.5363,134.7698,136.3167,1845651,COALINDIA
2011-06-12,136.199,136.2158,132.836,133.2732,1548256,COALINDIA
2011-06-13,133.9122,135.3582,131.8944,132.7351,2432283,COALINDIA
2011-06-14,132.7688,133.6263,130.6837,131.205,2682187,COALINDIA
2011-06-15,131.1546,133.4077,130.4652,132.5838,1462308,COALINDIA
2011-06-16,132.6679,135.3919,132.1634,133.0378,3800502,COALINDIA
2011-06-19,134.5679,136.653,132.0962,133.0378,3967696,COALINDIA
2011-06-20,133.4918,134.4502,130.566,131.0705,2133725,COALINDIA
2011-06-21,131.844,132.1635,126.4801,127.3376,2533012,COALINDIA
2011-06-22,127.3376,128.7333,126.1102,126.4801,2255855,COALINDIA
2011-06-23,127.3208,131.659,127.3208,131.1545,2896582,COALINDIA
2011-06-26,137.4096,137.4096,129.7085,133.7776,2439080,COALINDIA
2011-06-27,133.8449,135.0892,131.7094,131.9617,1186089,COALINDIA
2011-06-28,133.2059,133.3405,130.3138,130.6669,2091679,COALINDIA
2011-06-29,131.1546,132.4325,130.9023,132.113,1614539,COALINDIA
2011-06-30,132.113,132.836,128.8005,129.2209,2254393,COALINDIA
2011-07-03,130.1289,133.2396,130.1289,132.8697,1683417,COALINDIA
2011-07-04,132.836,133.4245,131.5917,132.9537,882850,COALINDIA
2011-07-05,133.8281,134.7697,131.5749,131.8776,1853087,COALINDIA
2011-07-06,132.836,133.1387,132.0121,132.5838,1111992,COALINDIA
2011-07-07,124.4287,127.3544,121.402,121.9569,19402497,COALINDIA
2011-07-10,100.5518,123.4198,100.5518,119.9728,8003993,COALINDIA
2011-07-11,119.5524,123.9747,118.7117,122.8481,7031368,COALINDIA
2011-07-12,123.4198,124.5969,122.949,123.8066,4671340,COALINDIA
2011-07-13,123.2012,126.2783,123.2012,124.9163,3791759,COALINDIA
2011-07-14,124.9163,125.6898,122.6799,123.0331,2338930,COALINDIA
2011-07-17,123.8906,125.404,122.7472,124.0588,1928820,COALINDIA
2011-07-18,124.3278,125.0508,122.4445,124.3782,1751354,COALINDIA
2011-07-19,125.4376,125.6394,123.2685,123.4535,1144234,COALINDIA
2011-07-20,123.403,125.7738,123.2684,123.7224,1786938,COALINDIA
2011-07-21,124.4455,125.1013,123.4871,124.0756,1621371,COALINDIA
2011-07-24,124.6641,124.8659,123.5039,124.126,1674691,COALINDIA
2011-07-25,124.6137,126.5978,124.4287,125.7571,2173138,COALINDIA
2011-07-26,126.0597,134.6688,126.0429,134.1644,8304568,COALINDIA
2011-07-27,135.745,137.4433,131.7263,132.3989,5536482,COALINDIA
2011-07-28,131.1546,132.836,129.5067,130.5661,1971794,COALINDIA
2011-07-31,131.659,132.7687,130.1457,131.7431,2027360,COALINDIA
2011-08-01,131.4909,133.9794,131.1546,133.6095,2508279,COALINDIA
2011-08-02,131.4909,133.2732,131.4909,131.8271,2524242,COALINDIA
2011-08-03,133.744,136.7034,132.1802,132.5502,4004932,COALINDIA
2011-08-04,130.9527,133.2396,126.1774,132.1298,3203823,COALINDIA
2011-08-07,128.1615,134.3998,127.1863,131.9112,4596727,COALINDIA
2011-08-08,128.8005,130.482,126.5305,127.4553,4161457,COALINDIA
2011-08-09,130.8014,130.8855,127.8421,128.2288,2365785,COALINDIA
2011-08-10,127.8252,130.6837,127.8252,129.8934,1581039,COALINDIA
2011-08-11,131.1546,132.4325,128.1615,129.5572,2785578,COALINDIA
2011-08-15,131.1882,132.9705,129.8766,130.1625,3817965,COALINDIA
2011-08-16,130.9528,134.1813,130.482,133.8113,4815761,COALINDIA
2011-08-17,135.0219,135.8963,130.566,131.2218,3881299,COALINDIA
2011-08-18,129.4731,133.9963,129.2377,132.3148,4263628,COALINDIA
2011-08-21,132.836,133.8281,131.4909,132.6343,2422421,COALINDIA
2011-08-22,132.6511,132.7351,128.3633,131.9617,5401601,COALINDIA
2011-08-23,130.2634,130.5997,124.5968,125.7402,5263656,COALINDIA
2011-08-24,125.8075,126.9005,121.6206,126.0261,5596203,COALINDIA
2011-08-25,126.7828,128.4306,120.0569,120.864,5864875,COALINDIA
2011-08-28,122.226,125.3031,122.226,124.2101,3603683,COALINDIA
2011-08-29,125.9084,127.4217,124.4623,126.312,2721134,COALINDIA
2011-09-01,128.8006,131.39,126.1775,130.5325,3519216,COALINDIA
2011-09-04,128.8846,130.1289,127.6403,128.1447,1574228,COALINDIA
2011-09-05,127.7244,129.12,126.1942,127.3712,2150209,COALINDIA
2011-09-06,127.9598,132.1635,127.6235,131.575,3479610,COALINDIA
2011-09-07,131.7264,131.7937,129.4709,130.0096,1874028,COALINDIA
2011-09-08,130.9353,132.4502,127.8046,128.2759,2337246,COALINDIA
2011-09-11,127.7204,128.4274,124.6739,127.0808,2230973,COALINDIA
2011-09-12,127.7541,129.1343,125.5659,126.5758,1863685,COALINDIA
2011-09-13,127.2323,128.8313,126.4749,127.1818,2263022,COALINDIA
