date,open,high,low,close,volume,symbol
2000-12-31,54.9325,55.4918,54.5712,54.8616,1433880,DRREDDY
2001-01-01,54.8895,55.3197,54.298,54.5712,1200280,DRREDDY
2001-01-02,54.5884,55.2337,53.9905,54.2464,1524280,DRREDDY
2001-01-03,54.5454,55.8789,53.513,53.8356,2288500,DRREDDY
2001-01-04,53.7711,54.9669,53.556,54.1926,2658320,DRREDDY
2001-01-07,54.5884,55.2336,52.9107,54.5819,2336280,DRREDDY
2001-01-08,54.6099,54.9325,54.0399,54.1776,1757280,DRREDDY
2001-01-09,53.9862,54.8465,53.9001,54.4766,1264860,DRREDDY
2001-01-10,54.782,56.7823,54.4378,56.1628,5946880,DRREDDY
2001-01-11,56.3048,58.7094,56.3048,57.3157,6865480,DRREDDY
2001-01-14,57.4275,59.0191,56.8253,58.9245,3710880,DRREDDY
2001-01-15,58.9331,59.1482,58.0728,58.5459,2201960,DRREDDY
2001-01-16,58.9331,59.1052,58.2878,58.6707,1636880,DRREDDY
2001-01-17,59.0837,59.0966,57.6964,58.4685,1261420,DRREDDY
2001-01-18,58.718,58.8879,57.9996,58.1717,1645060,DRREDDY
2001-01-21,58.6277,59.8795,58.0728,59.0127,1320260,DRREDDY
2001-01-22,59.5353,59.5353,58.5072,58.6406,1057060,DRREDDY
2001-01-23,58.718,59.2342,58.2878,58.3803,668440,DRREDDY
2001-01-24,57.6942,58.0642,55.2874,56.3542,1794120,DRREDDY
2001-01-25,56.3542,56.3542,56.3542,56.3542,0,DRREDDY
2001-01-28,55.5369,56.2661,53.556,55.2164,939260,DRREDDY
2001-01-29,55.4917,56.9651,55.0616,56.5564,1549980,DRREDDY
2001-01-30,56.5672,56.5672,54.1582,55.9585,2870960,DRREDDY
2001-01-31,55.7068,55.9004,54.6314,55.5283,1262120,DRREDDY
2001-02-01,55.4917,56.3091,55.4917,55.8638,1643220,DRREDDY
2001-02-04,56.137,56.5672,55.4487,55.7047,1570400,DRREDDY
2001-02-05,55.7176,56.3521,55.5864,55.8638,1819160,DRREDDY
2001-02-06,56.1348,57.1264,56.051,56.2037,1585520,DRREDDY
2001-02-07,56.0101,56.7392,55.9649,56.0703,916040,DRREDDY
2001-02-08,56.223,56.5672,55.1046,55.8251,2139700,DRREDDY
2001-02-11,55.9219,58.1072,55.9219,57.4598,3145640,DRREDDY
2001-02-12,57.6426,58.8471,55.8359,56.0402,2262980,DRREDDY
2001-02-13,56.3521,56.9113,55.9907,56.408,1354800,DRREDDY
2001-02-14,56.6941,56.7823,56.1392,56.6511,773880,DRREDDY
2001-02-15,56.7823,56.9113,55.7068,55.8638,1549080,DRREDDY
2001-02-18,56.137,56.2661,55.2874,55.7412,703340,DRREDDY
2001-02-19,55.8079,55.9671,54.8035,55.1025,1784560,DRREDDY
2001-02-20,55.1476,57.2253,55.1476,56.6209,2183520,DRREDDY
2001-02-21,56.3564,56.9973,55.7068,56.3564,1527540,DRREDDY
2001-02-22,56.6532,56.9974,55.8359,55.8832,1369220,DRREDDY
2001-02-25,55.9649,56.5242,55.0616,55.9348,950540,DRREDDY
2001-02-26,56.137,57.4275,55.5864,56.9672,1791680,DRREDDY
2001-02-27,55.9649,58.9288,55.9649,57.1092,3131040,DRREDDY
2001-02-28,57.9437,60.1806,57.2576,58.4341,2822440,DRREDDY
2001-03-01,59.3633,59.3633,57.2554,57.492,938940,DRREDDY
2001-03-04,58.0297,58.0297,55.8402,56.0682,1123120,DRREDDY
2001-03-05,56.0682,56.0682,56.0682,56.0682,0,DRREDDY
2001-03-06,56.5672,57.292,55.5778,57.0145,1288200,DRREDDY
2001-03-07,56.6102,57.4275,56.5672,57.1565,437500,DRREDDY
2001-03-08,57.0038,58.7051,55.7929,57.7308,1119460,DRREDDY
2001-03-11,57.6878,58.5029,55.7821,55.8897,1419820,DRREDDY
2001-03-12,53.1258,55.8359,51.4051,53.5538,1288060,DRREDDY
2001-03-13,52.0504,54.6314,51.6847,54.3367,568980,DRREDDY
2001-03-14,54.2012,56.137,51.8783,55.7972,739240,DRREDDY
2001-03-15,55.496,56.3521,54.8465,55.9843,764480,DRREDDY
2001-03-18,55.9219,55.9219,54.4378,54.9519,1038800,DRREDDY
2001-03-19,55.0616,56.9758,53.9862,56.1069,1011020,DRREDDY
2001-03-20,55.9649,56.3521,54.8465,55.9692,1380020,DRREDDY
2001-03-21,56.3005,56.3005,55.0616,55.8853,892300,DRREDDY
2001-03-22,56.1133,56.137,50.1232,52.0181,1685160,DRREDDY
2001-03-25,52.0504,52.2225,50.1254,51.0675,485840,DRREDDY
2001-03-26,51.4912,53.0828,51.4525,52.487,1957080,DRREDDY
2001-03-27,53.7281,56.3521,53.0398,55.6186,1083020,DRREDDY
2001-03-28,55.281,55.8789,54.2141,55.6165,1415220,DRREDDY
2001-03-29,55.4918,55.4918,51.1901,53.5667,3336240,DRREDDY
2001-04-01,51.8504,52.6957,48.7811,49.8458,2047260,DRREDDY
2001-04-02,49.8996,51.104,48.0004,50.6846,2376960,DRREDDY
2001-04-03,46.8884,49.9426,46.8884,47.6756,1875000,DRREDDY
2001-04-04,47.6756,47.6756,47.6756,47.6756,0,DRREDDY
2001-04-05,47.9638,49.3769,40.737,42.7351,4835420,DRREDDY
2001-04-08,42.5867,42.8448,39.3174,40.866,3589120,DRREDDY
2001-04-09,41.1671,43.6191,40.4143,41.8167,3187680,DRREDDY
2001-04-10,42.8448,42.9308,39.8895,40.5477,1685320,DRREDDY
2001-04-11,40.0057,40.7714,37.3042,40.1541,2645980,DRREDDY
2001-04-12,40.1541,40.1541,40.1541,40.1541,0,DRREDDY
2001-04-15,40.0057,41.3822,39.6616,40.9822,886980,DRREDDY
2001-04-16,40.2638,42.9308,40.2208,41.849,1623760,DRREDDY
2001-04-17,42.5867,46.8454,42.4576,46.1506,1058220,DRREDDY
2001-04-18,47.7487,50.8459,47.1035,48.6177,2503180,DRREDDY
2001-04-19,49.4694,50.4115,46.8023,49.4328,1784180,DRREDDY
2001-04-22,48.6521,48.6521,47.411,48.3509,1027660,DRREDDY
2001-04-23,47.4476,48.9317,47.0002,48.3058,695980,DRREDDY
2001-04-24,49.4694,49.9426,47.6648,47.8369,462820,DRREDDY
2001-04-25,48.5209,48.822,47.7487,48.5854,419600,DRREDDY
2001-04-26,48.1789,49.0822,46.6733,48.622,1251420,DRREDDY
2001-04-29,48.0498,49.0392,47.7487,48.2133,1142100,DRREDDY
2001-04-30,48.2133,48.2133,48.2133,48.2133,0,DRREDDY
2001-05-01,51.1901,51.5772,47.7982,48.5725,1274360,DRREDDY
2001-05-02,49.0392,49.2543,48.6112,48.9682,775620,DRREDDY
2001-05-03,48.6736,49.2543,48.181,48.9145,622360,DRREDDY
2001-05-06,49.4694,49.8243,49.2586,49.5576,299020,DRREDDY
2001-05-07,49.4694,49.8114,49.4393,49.4995,432800,DRREDDY
2001-05-08,49.5984,51.6202,49.5984,50.5384,731920,DRREDDY
2001-05-09,50.6739,50.975,49.6845,50.2846,365040,DRREDDY
2001-05-10,50.1577,50.6308,49.4909,50.2308,621920,DRREDDY
2001-05-13,50.8459,53.8786,50.4179,53.4097,1578340,DRREDDY
2001-05-14,52.4849,53.2076,51.0438,52.9365,685360,DRREDDY
2001-05-15,52.6957,54.6314,52.5709,53.4162,1580620,DRREDDY
2001-05-16,53.6851,53.8141,52.9107,53.1172,495080,DRREDDY
2001-05-17,53.1258,53.9388,52.9688,53.5882,874520,DRREDDY
2001-05-20,53.7711,55.8746,53.3409,54.6916,1222100,DRREDDY
2001-05-21,55.01,59.5741,55.01,58.6105,3092240,DRREDDY
2001-05-22,56.137,58.5029,56.137,57.7028,2804680,DRREDDY
2001-05-23,57.8147,58.2879,56.6188,56.8597,742460,DRREDDY
2001-05-24,57.1694,57.1694,54.5024,56.8941,2430280,DRREDDY
2001-05-27,56.6102,58.8385,56.0079,58.2814,2128420,DRREDDY
2001-05-28,58.0728,60.4387,58.0728,60.0558,2798460,DRREDDY
2001-05-29,64.435,64.8608,58.546,61.2216,5860580,DRREDDY
2001-05-30,61.127,61.127,58.718,60.3462,4004320,DRREDDY
2001-05-31,61.0839,62.667,61.0839,61.8905,4015600,DRREDDY
2001-06-03,62.0303,64.3102,62.0303,63.6521,3957180,DRREDDY
2001-06-04,63.4628,63.4628,61.6001,62.2432,2541600,DRREDDY
2001-06-05,62.9767,62.9767,61.1979,62.0303,1479520,DRREDDY
2001-06-06,62.3228,63.4499,62.0432,62.9466,3232600,DRREDDY
2001-06-07,63.1552,63.9661,62.3744,63.1014,1655980,DRREDDY
2001-06-10,63.3208,63.8757,62.9337,63.7015,1443300,DRREDDY
2001-06-11,63.4542,65.6437,63.3273,65.2049,3451940,DRREDDY
2001-06-12,65.1705,65.2265,63.665,64.1446,1799140,DRREDDY
2001-06-13,63.7983,64.3532,63.2778,64.0973,1593900,DRREDDY
2001-06-14,63.708,63.7101,62.0518,62.3723,2314560,DRREDDY
2001-06-17,61.9873,61.9873,60.3978,61.2453,1262380,DRREDDY
