date,open,high,low,close,volume,symbol
2000-12-31,1.7622,1.8008,1.759,1.8008,19290,EICHERMOT
2001-01-01,1.7719,1.8973,1.7719,1.8459,84930,EICHERMOT
2001-01-02,1.8266,1.9295,1.8266,1.8909,78200,EICHERMOT
2001-01-03,1.8973,1.9262,1.8651,1.8651,51000,EICHERMOT
2001-01-04,1.8619,1.8973,1.8073,1.8973,74930,EICHERMOT
2001-01-07,1.9166,1.9295,1.8844,1.8973,172250,EICHERMOT
2001-01-08,1.9295,1.9295,1.8748,1.9198,171690,EICHERMOT
2001-01-09,1.9295,1.9327,1.833,1.907,20750,EICHERMOT
2001-01-10,1.8684,1.907,1.8587,1.8973,73250,EICHERMOT
2001-01-11,1.8105,1.8651,1.8105,1.8619,37700,EICHERMOT
2001-01-14,1.833,1.8973,1.833,1.8973,183000,EICHERMOT
2001-01-15,1.9295,1.9295,1.8716,1.8909,131150,EICHERMOT
2001-01-16,1.8651,1.9295,1.8651,1.8877,133500,EICHERMOT
2001-01-17,1.8684,1.9198,1.8684,1.8909,27420,EICHERMOT
2001-01-18,1.878,1.952,1.8651,1.9295,68900,EICHERMOT
2001-01-21,1.9295,1.9938,1.9102,1.9134,154000,EICHERMOT
2001-01-22,1.8973,1.9455,1.8973,1.9134,105410,EICHERMOT
2001-01-23,1.9423,1.9423,1.8651,1.9295,54450,EICHERMOT
2001-01-24,1.9295,1.9295,1.8748,1.9295,55310,EICHERMOT
2001-01-25,1.9295,1.9295,1.9295,1.9295,0,EICHERMOT
2001-01-28,1.8651,1.9166,1.8362,1.8909,52860,EICHERMOT
2001-01-29,1.8362,1.9166,1.833,1.8877,65400,EICHERMOT
2001-01-30,1.8684,1.8909,1.8651,1.8716,33300,EICHERMOT
2001-01-31,1.833,1.8651,1.8298,1.8459,112660,EICHERMOT
2001-02-01,1.8973,1.9134,1.8651,1.9134,117260,EICHERMOT
2001-02-04,1.8651,1.8748,1.8169,1.8748,35350,EICHERMOT
2001-02-05,1.9134,2.0195,1.8973,1.9681,70370,EICHERMOT
2001-02-06,1.9745,2.0195,1.9295,1.9552,136590,EICHERMOT
2001-02-07,1.9681,1.9745,1.9295,1.9359,59000,EICHERMOT
2001-02-08,1.9295,1.9777,1.8877,1.9391,187640,EICHERMOT
2001-02-11,1.9648,1.9809,1.9005,1.9037,91440,EICHERMOT
2001-02-12,1.9005,1.9295,1.8973,1.907,133820,EICHERMOT
2001-02-13,1.9262,2.0581,1.8973,2.0291,93000,EICHERMOT
2001-02-14,2.0581,2.1932,2.0099,2.1578,493280,EICHERMOT
2001-02-15,2.2189,2.2478,2.0259,2.0935,435100,EICHERMOT
2001-02-18,1.9295,2.1095,1.9295,2.0099,294490,EICHERMOT
2001-02-19,2.0099,2.0902,1.9552,1.9938,295700,EICHERMOT
2001-02-20,2.0517,2.0517,1.9262,1.9391,143930,EICHERMOT
2001-02-21,1.9327,1.9488,1.9102,1.9262,155130,EICHERMOT
2001-02-22,1.9295,1.952,1.8651,1.8844,233620,EICHERMOT
2001-02-25,1.833,1.9295,1.8266,1.8844,125250,EICHERMOT
2001-02-26,1.9198,2.0356,1.8523,1.9616,323490,EICHERMOT
2001-02-27,2.0227,2.116,1.9616,1.9873,263500,EICHERMOT
2001-02-28,1.9938,2.0581,1.9295,1.9488,101950,EICHERMOT
2001-03-01,1.9455,1.9938,1.8716,1.8716,132300,EICHERMOT
2001-03-04,1.8716,1.8748,1.7526,1.7558,292310,EICHERMOT
2001-03-05,1.7558,1.7558,1.7558,1.7558,0,EICHERMOT
2001-03-06,1.7944,1.8073,1.6561,1.7687,119000,EICHERMOT
2001-03-07,1.7526,1.7848,1.7365,1.7687,28950,EICHERMOT
2001-03-08,1.6722,1.7558,1.6497,1.7108,101380,EICHERMOT
2001-03-11,1.7365,1.8137,1.624,1.669,89820,EICHERMOT
2001-03-12,1.5404,1.6047,1.5404,1.5404,167210,EICHERMOT
2001-03-13,1.6336,1.6593,1.6079,1.6497,58000,EICHERMOT
2001-03-14,1.624,1.6979,1.55,1.6979,13000,EICHERMOT
2001-03-15,1.7365,1.7365,1.624,1.6722,22760,EICHERMOT
2001-03-18,1.6722,1.6722,1.5918,1.5982,38990,EICHERMOT
2001-03-19,1.6079,1.6079,1.5275,1.5404,252850,EICHERMOT
2001-03-20,1.5532,1.5757,1.5436,1.5757,8500,EICHERMOT
2001-03-21,1.5982,1.6015,1.5661,1.5822,13700,EICHERMOT
2001-03-22,1.5661,1.5693,1.5596,1.5596,25700,EICHERMOT
2001-03-25,1.4985,1.6015,1.4793,1.6015,3000,EICHERMOT
2001-03-26,1.5629,1.5886,1.5532,1.5661,30650,EICHERMOT
2001-03-27,1.5468,1.6079,1.5436,1.55,38290,EICHERMOT
2001-03-28,1.5307,1.5371,1.5114,1.5114,50980,EICHERMOT
2001-03-29,1.4889,1.5211,1.4728,1.4953,26500,EICHERMOT
2001-04-01,1.4374,1.4696,1.4149,1.4471,41640,EICHERMOT
2001-04-02,1.4921,1.4921,1.4278,1.4632,32350,EICHERMOT
2001-04-03,1.5307,1.5307,1.4985,1.5018,18710,EICHERMOT
2001-04-04,1.5018,1.5018,1.5018,1.5018,0,EICHERMOT
2001-04-05,1.4953,1.5307,1.4921,1.5307,10000,EICHERMOT
2001-04-08,1.6015,1.6015,1.4953,1.5339,16000,EICHERMOT
2001-04-09,1.5339,1.5339,1.4793,1.5339,47850,EICHERMOT
2001-04-10,1.5436,1.5436,1.4985,1.5018,16370,EICHERMOT
2001-04-11,1.4374,1.5211,1.4374,1.4793,32900,EICHERMOT
2001-04-12,1.4793,1.4793,1.4793,1.4793,0,EICHERMOT
2001-04-15,1.4246,1.4567,1.4149,1.4471,42400,EICHERMOT
