date,open,high,low,close,volume,symbol
2017-11-16,302.8918,360.539,299.9606,336.6985,168836552,HDFCLIFE
2017-11-19,336.7962,350.6706,336.1122,347.202,14650240,HDFCLIFE
2017-11-20,348.2279,409.2948,344.4173,376.4652,43078194,HDFCLIFE
2017-11-21,379.1033,398.6447,378.0285,386.1382,15227642,HDFCLIFE
2017-11-22,381.0575,383.0116,362.5908,366.2549,12300150,HDFCLIFE
2017-11-23,367.4273,374.218,357.7055,362.2,9463228,HDFCLIFE
2017-11-26,362.4931,375.6836,362.4931,371.6287,3832223,HDFCLIFE
2017-11-27,374.218,377.54,369.4303,373.4363,2409447,HDFCLIFE
2017-11-28,373.6317,375.879,367.4762,369.1372,1657909,HDFCLIFE
2017-11-29,371.0914,371.0914,362.2977,362.9817,2536960,HDFCLIFE
2017-11-30,365.1312,370.847,359.5619,364.203,1904781,HDFCLIFE
2017-12-03,365.4732,366.3037,353.6995,354.4812,1323453,HDFCLIFE
2017-12-04,352.7224,357.51,348.9607,354.0414,1806017,HDFCLIFE
2017-12-05,352.6247,363.1771,350.3286,359.9039,3331373,HDFCLIFE
2017-12-06,361.5649,380.9597,361.5649,379.3964,3350792,HDFCLIFE
2017-12-07,381.0575,386.7245,376.7584,380.3735,2494845,HDFCLIFE
2017-12-10,378.1263,383.2559,370.3585,372.0684,1029719,HDFCLIFE
2017-12-11,372.1661,378.1263,368.4044,374.9996,2564559,HDFCLIFE
2017-12-12,377.5889,380.3247,369.8212,372.0684,747787,HDFCLIFE
2017-12-13,374.0714,377.1492,368.3556,375.4882,1261422,HDFCLIFE
2017-12-14,380.4497,383.1462,372.7034,373.9781,1698848,HDFCLIFE
2017-12-17,372.6054,375.8411,365.0062,370.105,1399027,HDFCLIFE
2017-12-18,370.6443,373.5369,365.0062,367.6046,1641589,HDFCLIFE
2017-12-19,370.1051,370.3502,364.2708,367.8498,2251770,HDFCLIFE
2017-12-20,371.87,374.3703,367.7027,368.7322,1448962,HDFCLIFE
2017-12-21,368.9283,372.9976,366.9182,367.2614,775946,HDFCLIFE
2017-12-25,368.6832,371.2326,366.1338,369.2225,1310649,HDFCLIFE
2017-12-26,367.8007,370.5953,366.526,367.5556,589597,HDFCLIFE
2017-12-27,367.7027,372.6054,365.1533,370.5953,912189,HDFCLIFE
2017-12-28,371.6248,383.1952,368.34,378.4886,1611972,HDFCLIFE
2017-12-31,380.9399,392.02,379.0279,382.0675,1445743,HDFCLIFE
2018-01-01,384.0777,390.2551,376.8708,387.8038,1219713,HDFCLIFE
2018-01-02,390.2551,390.5492,376.6256,378.1454,2275082,HDFCLIFE
2018-01-03,382.4108,394.1283,379.7143,391.2357,2974278,HDFCLIFE
2018-01-04,393.1967,403.9827,390.2551,399.08,3554479,HDFCLIFE
2018-01-07,402.0216,419.9655,401.5803,413.8861,3806105,HDFCLIFE
2018-01-08,415.7492,438.939,414.4254,427.0254,6183645,HDFCLIFE
2018-01-09,429.4767,433.3008,418.6908,420.897,2374166,HDFCLIFE
2018-01-10,415.7492,441.0471,415.7492,438.0074,2604294,HDFCLIFE
2018-01-11,440.9981,449.7739,435.6541,447.0775,5364763,HDFCLIFE
2018-01-14,451.0486,478.5038,448.107,465.6096,5635852,HDFCLIFE
2018-01-15,470.5614,484.6811,462.0797,473.2578,8288750,HDFCLIFE
2018-01-16,475.9543,478.6999,460.854,469.0905,5691140,HDFCLIFE
2018-01-17,473.7972,480.2687,468.6984,475.6112,1772870,HDFCLIFE
2018-01-18,479.7294,481.7885,467.7178,472.1302,3488403,HDFCLIFE
2018-01-21,472.1302,479.3372,459.8735,461.0501,3825798,HDFCLIFE
2018-01-22,465.0213,465.0213,445.6556,449.6268,3561221,HDFCLIFE
2018-01-23,448.5973,451.0487,439.2822,446.3911,2072037,HDFCLIFE
2018-01-24,446.1459,451.0486,438.3016,439.7724,1194340,HDFCLIFE
