date,open,high,low,close,volume,symbol
2000-12-31,46.929,49.0789,46.929,48.4375,167349,HINDALCO
2001-01-01,48.1201,48.9545,48.1037,48.3164,419455,HINDALCO
2001-01-02,48.2346,49.7366,48.2346,49.2196,851470,HINDALCO
2001-01-03,49.6875,50.8525,49.2818,49.6875,1102776,HINDALCO
2001-01-04,50.0541,50.3093,49.092,49.4258,640450,HINDALCO
2001-01-07,48.4964,50.3878,48.4964,49.4029,501438,HINDALCO
2001-01-08,50.3257,50.5122,49.2327,49.9101,562802,HINDALCO
2001-01-09,52.3578,52.3578,50.0671,51.1503,1210289,HINDALCO
2001-01-10,50.9834,51.7033,50.0671,50.5842,801737,HINDALCO
2001-01-11,51.3695,51.9978,50.0671,50.5645,1149619,HINDALCO
2001-01-14,50.3944,51.0488,50.0802,50.3649,420724,HINDALCO
2001-01-15,50.8394,50.9114,50.0671,50.4206,641201,HINDALCO
2001-01-16,50.918,50.918,49.7726,49.9919,318028,HINDALCO
2001-01-17,50.0671,53.994,49.9362,53.4082,2302915,HINDALCO
2001-01-18,54.3212,54.4521,52.0306,52.3087,1817244,HINDALCO
2001-01-21,52.685,53.2708,51.8342,52.3054,895175,HINDALCO
2001-01-22,51.8669,52.2923,50.2144,50.4402,815847,HINDALCO
2001-01-23,51.0489,51.7033,50.3944,50.6104,657756,HINDALCO
2001-01-24,50.846,50.846,48.6273,49.1018,755611,HINDALCO
2001-01-25,49.1018,49.1018,49.1018,49.1018,0,HINDALCO
2001-01-28,47.9728,49.969,45.8785,48.984,832284,HINDALCO
2001-01-29,47.4493,50.0671,47.4493,48.9382,636490,HINDALCO
2001-01-30,49.5436,50.8525,49.3014,50.2308,1030063,HINDALCO
2001-01-31,50.7216,51.1797,50.0344,50.7576,1028254,HINDALCO
2001-02-01,50.2635,51.6968,50.2635,50.8721,921974,HINDALCO
2001-02-04,51.5724,51.6673,50.1326,50.9376,1390927,HINDALCO
2001-02-05,50.4598,51.1143,49.8053,50.7838,1180530,HINDALCO
2001-02-06,51.0488,51.3761,50.3027,50.5351,799728,HINDALCO
2001-02-07,50.1653,52.3185,50.1653,51.9848,2071852,HINDALCO
2001-02-08,52.3578,54.4521,52.0306,52.7996,5928275,HINDALCO
2001-02-11,53.0123,55.2898,53.0123,55.028,4351387,HINDALCO
2001-02-12,55.1066,56.4712,55.1066,56.0719,3912629,HINDALCO
