date,open,high,low,close,volume,symbol
2000-12-31,116.2547,116.2547,110.7746,111.6134,1474383,HINDUNILVR
2001-01-01,110.9983,112.1446,109.1809,111.0542,1763322,HINDUNILVR
2001-01-02,110.7187,114.633,110.3552,112.7597,2902583,HINDUNILVR
2001-01-03,113.235,119.4979,113.235,117.8483,4811808,HINDUNILVR
2001-01-04,117.8762,118.9666,114.9405,116.003,2775531,HINDUNILVR
2001-01-07,116.3106,119.3861,116.3106,117.4289,2678148,HINDUNILVR
2001-01-08,117.2332,121.7347,117.2332,121.0636,3466904,HINDUNILVR
2001-01-09,121.7346,121.7346,114.9964,115.5836,2632399,HINDUNILVR
2001-01-10,115.304,116.5901,113.1232,114.3813,1641569,HINDUNILVR
2001-01-11,115.1922,115.4718,112.0328,112.4801,1495326,HINDUNILVR
2001-01-14,112.9554,113.5146,107.727,108.4819,1605565,HINDUNILVR
2001-01-15,107.9227,112.8156,106.8603,111.7811,2713400,HINDUNILVR
2001-01-16,112.3962,117.9881,110.7746,114.1577,5394911,HINDUNILVR
2001-01-17,114.1018,116.702,111.1381,111.7252,3234752,HINDUNILVR
2001-01-18,111.893,112.9555,109.6563,111.9769,2502164,HINDUNILVR
2001-01-21,112.3963,114.4652,111.5575,112.3963,1647927,HINDUNILVR
2001-01-22,112.6199,114.5771,111.9769,112.5081,2307519,HINDUNILVR
2001-01-23,112.6759,115.8912,112.6759,113.5706,2184433,HINDUNILVR
2001-01-24,114.0179,115.7514,113.5705,115.1083,2298576,HINDUNILVR
2001-01-25,115.1083,115.1083,115.1083,115.1083,0,HINDUNILVR
2001-01-28,114.0738,114.8007,109.097,113.8501,2313586,HINDUNILVR
2001-01-29,114.3534,118.5752,113.5985,118.0999,2664657,HINDUNILVR
2001-01-30,119.1064,120.2248,115.3599,115.6954,2438572,HINDUNILVR
2001-01-31,115.4717,115.7513,112.9554,113.934,1969827,HINDUNILVR
2001-02-01,113.0952,114.2695,110.8864,111.837,2568777,HINDUNILVR
2001-02-04,111.7252,114.0179,110.6069,111.865,3589463,HINDUNILVR
2001-02-05,112.1167,114.0738,111.8371,112.6759,2648803,HINDUNILVR
2001-02-06,112.6758,115.9471,112.6758,113.4307,3062075,HINDUNILVR
2001-02-07,114.0738,117.9322,113.5146,117.1493,4999631,HINDUNILVR
2001-02-08,117.5966,120.1689,117.4289,119.2462,3595382,HINDUNILVR
2001-02-11,119.6097,122.9648,119.6097,120.6442,3075247,HINDUNILVR
2001-02-12,121.2314,121.2873,116.0869,116.5901,3243712,HINDUNILVR
2001-02-13,116.8697,116.8697,114.2975,116.031,2041585,HINDUNILVR
2001-02-14,116.2546,124.6423,114.4931,123.3283,12586429,HINDUNILVR
2001-02-15,122.7412,124.0832,120.3367,120.8679,4888989,HINDUNILVR
2001-02-18,121.7906,123.552,119.442,120.8959,2550131,HINDUNILVR
2001-02-19,121.3432,124.5585,120.113,122.2658,5106702,HINDUNILVR
2001-02-20,122.4616,125.621,121.9024,124.3628,5297019,HINDUNILVR
2001-02-21,124.1951,125.7049,120.8679,121.8465,3580828,HINDUNILVR
2001-02-22,121.3432,123.0208,119.6656,121.3432,3232618,HINDUNILVR
2001-02-25,120.5044,122.182,115.3879,116.3105,2929069,HINDUNILVR
2001-02-26,117.1493,117.2891,112.1446,115.2761,2766683,HINDUNILVR
2001-02-27,116.0589,133.7291,114.0738,128.4448,7934229,HINDUNILVR
2001-02-28,129.6192,133.5894,127.4943,129.2277,5750629,HINDUNILVR
2001-03-01,130.2902,132.5269,127.4942,129.06,4187270,HINDUNILVR
2001-03-04,129.1718,130.5698,125.4532,125.9285,3994650,HINDUNILVR
2001-03-05,125.9285,125.9285,125.9285,125.9285,0,HINDUNILVR
2001-03-06,128.0255,128.0534,123.2165,126.0683,2665613,HINDUNILVR
2001-03-07,127.2146,130.8493,125.8726,127.4663,1790820,HINDUNILVR
2001-03-08,126.1242,128.5567,122.2099,125.4252,1379511,HINDUNILVR
2001-03-11,123.6079,125.1177,119.7215,120.6442,786827,HINDUNILVR
2001-03-12,119.6377,125.0897,114.633,118.1838,1465036,HINDUNILVR
2001-03-13,118.9946,122.4616,114.6889,121.2873,1175770,HINDUNILVR
2001-03-14,120.3646,124.9779,119.6656,123.7477,622369,HINDUNILVR
2001-03-15,123.1326,124.5585,121.1196,122.7412,663163,HINDUNILVR
2001-03-18,123.0208,123.0208,121.0637,121.9024,359606,HINDUNILVR
2001-03-19,122.4336,122.4336,119.386,120.113,466468,HINDUNILVR
2001-03-20,120.2248,125.8167,119.1064,125.0059,1044334,HINDUNILVR
2001-03-21,125.2575,125.7048,121.9024,122.5734,491346,HINDUNILVR
2001-03-22,123.0208,123.3004,117.1493,120.3367,1229821,HINDUNILVR
2001-03-25,120.784,120.784,117.4849,118.044,469827,HINDUNILVR
2001-03-26,119.6811,120.2174,118.1851,118.5803,1297768,HINDUNILVR
2001-03-27,120.2457,125.8628,119.6811,124.5361,1082490,HINDUNILVR
2001-03-28,123.8022,130.6331,123.0683,127.8387,2600279,HINDUNILVR
2001-03-29,127.5846,127.5846,123.0684,123.774,1106225,HINDUNILVR
2001-04-01,123.0684,126.1169,119.1731,125.4394,1412896,HINDUNILVR
2001-04-02,126.4555,126.9354,124.2256,125.4676,708138,HINDUNILVR
2001-04-03,124.2538,124.7901,121.4594,123.2659,490293,HINDUNILVR
2001-04-04,123.2659,123.2659,123.2659,123.2659,0,HINDUNILVR
2001-04-05,124.141,125.891,122.5038,123.6611,684320,HINDUNILVR
2001-04-08,123.0684,123.6329,120.2457,120.9514,479046,HINDUNILVR
2001-04-09,120.8385,122.899,119.7658,121.8829,676780,HINDUNILVR
2001-04-10,123.4917,123.8587,119.6811,120.6408,617431,HINDUNILVR
2001-04-11,119.907,120.8102,115.3342,118.6367,1129518,HINDUNILVR
2001-04-12,118.6367,118.6367,118.6367,118.6367,0,HINDUNILVR
2001-04-15,118.2698,118.5521,104.0154,116.4916,2556648,HINDUNILVR
2001-04-16,115.7294,120.0198,112.3704,119.1448,2118926,HINDUNILVR
2001-04-17,119.6812,119.6812,114.4875,118.411,2406941,HINDUNILVR
2001-04-18,119.1166,124.141,117.7053,120.782,1785553,HINDUNILVR
2001-04-19,121.657,124.0563,111.2414,123.6611,1536132,HINDUNILVR
2001-04-22,122.7861,126.4556,122.7861,124.3668,1197168,HINDUNILVR
2001-04-23,123.6329,125.0443,119.8223,121.403,1117131,HINDUNILVR
2001-04-24,121.5159,121.5159,118.5521,120.5562,398626,HINDUNILVR
2001-04-25,120.8102,121.3465,117.1689,117.9875,660870,HINDUNILVR
2001-04-26,116.9432,119.8223,112.9632,119.2578,1411033,HINDUNILVR
2001-04-29,118.5521,120.3586,118.2698,118.7779,543955,HINDUNILVR
2001-04-30,118.7779,118.7779,118.7779,118.7779,0,HINDUNILVR
2001-05-01,120.4715,120.4715,117.4795,118.6086,366383,HINDUNILVR
2001-05-02,117.9876,120.1328,117.9876,119.2578,655419,HINDUNILVR
2001-05-03,118.8344,119.2296,118.2699,118.7215,573227,HINDUNILVR
2001-05-06,119.1166,119.6529,118.665,119.0037,206062,HINDUNILVR
2001-05-07,118.6368,121.0925,118.6368,120.3304,555974,HINDUNILVR
2001-05-08,120.2457,122.3909,119.6812,121.6288,671244,HINDUNILVR
2001-05-09,120.9513,120.9795,118.552,118.6649,854527,HINDUNILVR
2001-05-10,118.1004,119.3424,117.9875,118.6649,418497,HINDUNILVR
2001-05-13,118.5521,119.6812,118.411,119.2578,330169,HINDUNILVR
2001-05-14,118.6086,119.032,114.1488,118.7215,276059,HINDUNILVR
2001-05-15,119.2578,120.528,118.8344,119.8788,587661,HINDUNILVR
2001-05-16,120.3868,121.2336,118.6085,119.4836,463929,HINDUNILVR
2001-05-17,120.1045,120.1045,116.2939,116.9996,908940,HINDUNILVR
2001-05-20,116.294,116.294,111.2696,113.7253,1086304,HINDUNILVR
2001-05-21,114.5721,114.5721,112.9914,114.064,638702,HINDUNILVR
2001-05-22,115.673,115.673,113.3302,113.81,1014663,HINDUNILVR
2001-05-23,114.0358,114.6003,113.2455,113.9511,443224,HINDUNILVR
2001-05-24,114.2899,114.6004,112.9068,113.0479,652840,HINDUNILVR
2001-05-27,113.4713,113.8947,112.3704,112.9914,518811,HINDUNILVR
2001-05-28,112.3987,114.4592,112.3422,113.0479,1301997,HINDUNILVR
2001-05-29,114.0359,114.2899,113.0197,113.3867,535823,HINDUNILVR
2001-05-30,113.1326,113.4713,110.3664,111.7495,644766,HINDUNILVR
2001-05-31,112.0599,112.0599,108.5316,109.0397,970843,HINDUNILVR
2001-06-03,109.8018,109.8018,105.2009,105.8219,1007144,HINDUNILVR
2001-06-04,105.5678,105.5678,99.6402,103.3379,1936765,HINDUNILVR
2001-06-05,104.4387,106.6969,103.1403,103.9871,1070281,HINDUNILVR
2001-06-06,104.2976,105.5114,103.3097,105.0315,735367,HINDUNILVR
2001-06-07,105.0033,106.0759,104.2129,105.2291,715996,HINDUNILVR
2001-06-10,105.0033,108.334,104.721,107.713,1212642,HINDUNILVR
2001-06-11,107.2614,109.2373,107.2614,108.7856,895742,HINDUNILVR
2001-06-12,108.3905,109.5195,108.08,109.0679,519781,HINDUNILVR
2001-06-13,108.4187,110.0841,105.5678,109.2091,1100030,HINDUNILVR
2001-06-14,109.0114,112.2857,108.2211,111.8906,1243482,HINDUNILVR
2001-06-17,111.2696,112.7656,110.0841,111.6083,821891,HINDUNILVR
2001-06-18,111.2132,114.177,110.7051,113.3867,1220998,HINDUNILVR
2001-06-19,114.6004,117.3948,111.8906,116.6609,1456888,HINDUNILVR
2001-06-20,116.8585,116.8585,114.0923,115.8424,764230,HINDUNILVR
2001-06-21,116.1246,116.2375,114.4028,115.2496,393803,HINDUNILVR
2001-06-24,114.685,115.0237,112.7374,113.0761,912052,HINDUNILVR
2001-06-25,112.4269,113.4431,110.7615,111.7495,1196738,HINDUNILVR
2001-06-26,111.7495,113.3866,109.9147,111.4672,1075539,HINDUNILVR
2001-06-27,111.6366,112.1164,110.1406,111.1285,472337,HINDUNILVR
2001-06-28,111.2131,116.5198,111.2131,115.9552,1095258,HINDUNILVR
2001-07-01,115.7294,116.0117,111.2132,112.06,202420,HINDUNILVR
2001-07-02,110.6486,116.8585,110.451,114.5721,608972,HINDUNILVR
2001-07-03,111.4672,112.314,110.6768,111.3543,386129,HINDUNILVR
2001-07-04,111.7777,112.8785,110.0841,111.3543,249355,HINDUNILVR
2001-07-05,110.1405,112.9068,110.1405,111.5801,137253,HINDUNILVR
2001-07-08,110.6486,112.9067,110.2534,111.947,95442,HINDUNILVR
2001-07-09,111.7777,114.0076,111.2696,113.2737,251405,HINDUNILVR
2001-07-10,112.9068,115.9835,112.2011,115.306,800486,HINDUNILVR
2001-07-11,115.7294,121.8829,115.7294,120.782,1413565,HINDUNILVR
2001-07-12,122.5038,126.9636,121.0925,126.2297,2242918,HINDUNILVR
2001-07-15,127.2003,128.4563,123.6035,128.228,1357948,HINDUNILVR
2001-07-16,126.2583,128.7132,125.145,128.3136,1997926,HINDUNILVR
2001-07-17,127.4287,128.4563,124.2315,125.0023,1140854,HINDUNILVR
2001-07-18,122.7471,124.0032,120.7775,121.5768,1673135,HINDUNILVR
2001-07-19,122.1762,124.7454,121.6053,123.3752,1655262,HINDUNILVR
2001-07-22,122.6045,123.6607,122.319,122.9185,54505,HINDUNILVR
2001-07-23,122.8043,125.9729,122.319,124.1459,1597347,HINDUNILVR
2001-07-24,124.517,128.2565,123.9175,127.5714,2486348,HINDUNILVR
2001-07-25,127.7712,128.4563,124.4599,124.8881,2264045,HINDUNILVR
2001-07-26,123.3751,125.6017,123.3751,124.203,1358988,HINDUNILVR
2001-07-29,124.1174,125.5161,122.4617,124.2601,1491332,HINDUNILVR
2001-07-30,123.261,127.3145,122.0049,126.0585,875108,HINDUNILVR
2001-07-31,125.6303,126.6865,119.8925,120.8346,844208,HINDUNILVR
2001-08-01,121.0344,122.1763,119.8926,120.3779,563428,HINDUNILVR
2001-08-02,120.7489,122.7471,120.4349,121.8908,508671,HINDUNILVR
2001-08-05,122.1762,123.6035,121.6624,122.1762,583610,HINDUNILVR
2001-08-06,122.69,122.9755,120.0638,120.5776,367981,HINDUNILVR
2001-08-07,120.9773,121.8622,120.0067,121.434,483135,HINDUNILVR
2001-08-08,121.3199,124.2887,121.3199,124.0317,653332,HINDUNILVR
2001-08-09,124.7454,125.6018,121.6053,122.6901,428043,HINDUNILVR
