date,open,high,low,close,volume,symbol
2002-06-30,18.1944,18.4807,17.7649,17.9861,2047540,ICICIBANK
2002-07-01,18.2204,19.7821,18.0642,19.1444,5546354,ICICIBANK
2002-07-02,19.1314,20.1726,19.0729,20.1075,5745267,ICICIBANK
2002-07-03,20.1726,20.6151,19.3527,19.6065,3896601,ICICIBANK
2002-07-04,19.3917,19.9448,19.2876,19.8082,3261038,ICICIBANK
2002-07-07,19.9578,19.9644,19.4503,19.5023,2092667,ICICIBANK
2002-07-08,19.613,19.8147,19.2746,19.3917,1026800,ICICIBANK
2002-07-09,19.4958,19.5219,19.2616,19.3201,1513611,ICICIBANK
2002-07-10,19.3852,19.3852,19.0013,19.177,1454750,ICICIBANK
2002-07-11,19.5219,19.6195,19.0924,19.177,475040,ICICIBANK
2002-07-14,19.2486,19.2616,18.741,18.8776,535634,ICICIBANK
2002-07-15,18.741,18.8711,18.5393,18.715,1400542,ICICIBANK
2002-07-16,18.741,18.9622,18.6108,18.8451,1242741,ICICIBANK
2002-07-17,18.8841,18.9948,18.741,18.8646,1076009,ICICIBANK
2002-07-18,18.6108,19.5219,18.2204,18.9427,4412276,ICICIBANK
2002-07-21,18.741,18.8711,18.3636,18.8061,1842252,ICICIBANK
2002-07-22,18.8581,18.9752,18.6889,18.8972,2576926,ICICIBANK
2002-07-23,18.6239,18.7735,18.305,18.4286,1909121,ICICIBANK
2002-07-24,18.8711,19.1054,18.0512,18.1879,2055350,ICICIBANK
2002-07-25,17.83,17.9926,17.6087,17.869,1349804,ICICIBANK
2002-07-28,18.0252,18.741,17.5697,18.4547,1999052,ICICIBANK
2002-07-29,18.9883,18.9883,17.5697,17.9536,3601317,ICICIBANK
2002-07-30,17.7649,18.4807,17.4786,18.2985,1734975,ICICIBANK
2002-07-31,18.4677,18.9818,18.318,18.8386,2501174,ICICIBANK
2002-08-01,18.8711,18.8711,16.932,18.305,987239,ICICIBANK
2002-08-04,18.2204,18.3505,17.6738,17.843,1550274,ICICIBANK
2002-08-05,17.8235,17.9081,17.5632,17.7454,1488140,ICICIBANK
2002-08-06,17.9601,18.1553,17.6413,17.8039,1053602,ICICIBANK
2002-08-07,17.843,17.895,17.5892,17.6673,881501,ICICIBANK
2002-08-08,17.6347,17.6998,17.5241,17.6543,1368873,ICICIBANK
2002-08-11,17.5697,17.817,17.3419,17.4851,467516,ICICIBANK
2002-08-12,17.5697,17.6998,17.1792,17.4786,710748,ICICIBANK
2002-08-13,17.5176,17.6998,17.1207,17.2183,573578,ICICIBANK
2002-08-14,17.2183,17.2183,17.2183,17.2183,0,ICICIBANK
2002-08-15,17.2443,17.5567,17.2443,17.4656,416421,ICICIBANK
2002-08-18,17.446,17.7649,17.446,17.6868,297099,ICICIBANK
2002-08-19,17.9536,17.9601,17.5371,17.5697,533890,ICICIBANK
2002-08-20,17.5697,17.6673,17.5436,17.6087,326172,ICICIBANK
2002-08-21,17.5697,17.5697,17.2443,17.4916,1088593,ICICIBANK
2002-08-22,17.4395,18.3505,17.4395,18.1358,1992430,ICICIBANK
2002-08-25,18.3375,18.6108,18.0317,18.1358,1476348,ICICIBANK
2002-08-26,18.3115,18.4156,17.895,18.1879,2143086,ICICIBANK
2002-08-27,18.0707,18.5978,18.0382,18.1228,1792769,ICICIBANK
2002-08-28,18.1228,18.2204,17.9146,18.0772,680449,ICICIBANK
2002-08-29,18.3505,18.7995,18.2204,18.6889,2018241,ICICIBANK
2002-09-01,18.741,18.9362,18.3831,18.5132,559938,ICICIBANK
