date,open,high,low,close,volume,symbol
2015-11-09,809.9215,851.2788,803.486,830.2216,27351793,INDIGO
2015-11-12,868.787,976.6756,867.8407,950.2713,8446622,INDIGO
2015-11-15,956.8014,984.2467,914.4504,935.9335,3358159,INDIGO
2015-11-16,936.9272,993.6161,923.867,981.313,3694092,INDIGO
2015-11-17,962.7163,1011.5028,960.8708,989.5938,3621593,INDIGO
2015-11-18,998.4427,1104.1546,995.6035,1082.4823,4320971,INDIGO
2015-11-19,1094.0281,1100.5582,1029.8628,1046.1407,3636764,INDIGO
2015-11-22,1041.0302,1064.5007,975.9184,990.7295,2115930,INDIGO
2015-11-23,993.6633,1040.0838,977.0068,1031.3771,2080065,INDIGO
2015-11-25,1041.0303,1054.2797,1005.162,1029.8628,1278254,INDIGO
2015-11-26,1034.6894,1050.3048,1014.1054,1032.0394,830213,INDIGO
2015-11-29,1035.1628,1061.8509,1023.5695,1049.5479,953967,INDIGO
2015-11-30,1053.2858,1055.226,1027.544,1034.642,566179,INDIGO
2015-12-01,1033.4591,1064.5954,1005.0674,1040.2731,1820435,INDIGO
2015-12-02,1037.2447,1083.0973,1032.5127,1053.9957,2008650,INDIGO
2015-12-03,1043.8693,1061.8507,1014.2472,1021.8184,738821,INDIGO
2015-12-06,993.7106,1027.3075,976.8648,988.5529,1975506,INDIGO
2015-12-07,994.373,1011.1242,955.8549,963.5207,1221937,INDIGO
2015-12-08,966.2653,991.6286,942.085,958.4576,1037663,INDIGO
2015-12-09,967.1645,973.8365,929.3561,946.2492,1524682,INDIGO
2015-12-10,959.6406,987.7483,951.123,979.5148,1853964,INDIGO
2015-12-13,977.622,1044.7212,970.8081,1034.4529,1875740,INDIGO
2015-12-14,1036.109,1132.7355,1026.8344,1121.8993,3012286,INDIGO
2015-12-15,1128.0982,1167.8466,1119.1548,1128.7606,2239135,INDIGO
2015-12-16,1139.3602,1165.7172,1116.8361,1127.0098,1460277,INDIGO
2015-12-17,1130.4169,1141.537,1065.6365,1078.1761,1615029,INDIGO
2015-12-20,1075.1948,1094.5013,1019.6417,1023.9951,1692348,INDIGO
2015-12-21,1039.5159,1116.1736,1038.6642,1102.309,2866202,INDIGO
2015-12-22,1109.1704,1124.2653,1078.8859,1119.6281,1833276,INDIGO
2015-12-23,1121.4735,1128.0983,1090.2426,1102.0251,959214,INDIGO
2015-12-27,1107.7508,1143.2404,1084.1856,1130.1329,1752379,INDIGO
2015-12-28,1133.7764,1142.7672,1112.7666,1122.8456,1051880,INDIGO
2015-12-29,1126.5841,1137.8461,1113.4292,1129.2812,735717,INDIGO
2015-12-30,1130.9373,1178.2569,1121.4734,1168.6984,2337650,INDIGO
2015-12-31,1177.3105,1320.0736,1176.4115,1271.4291,4914713,INDIGO
2016-01-03,1255.8611,1298.2121,1183.9354,1194.4403,2601131,INDIGO
2016-01-04,1202.0113,1217.9107,1167.2788,1185.7806,1794052,INDIGO
2016-01-05,1191.0334,1213.0843,1164.0612,1169.1718,1324225,INDIGO
2016-01-06,1165.9064,1211.3806,1130.9373,1183.5094,2676791,INDIGO
2016-01-07,1209.4878,1224.5354,1193.3991,1203.9987,1885516,INDIGO
2016-01-10,1199.0774,1199.0774,1161.2691,1171.774,1466002,INDIGO
2016-01-11,1185.7334,1212.3269,1176.9319,1183.604,1461663,INDIGO
2016-01-12,1200.024,1211.2861,1083.6179,1162.9255,2422026,INDIGO
2016-01-13,1158.3352,1163.1145,1118.9181,1135.6692,1367813,INDIGO
2016-01-14,1145.1333,1158.998,1103.2555,1113.1926,1016860,INDIGO
2016-01-17,1116.7414,1123.1769,1052.1502,1071.1254,1168284,INDIGO
2016-01-18,1082.5294,1152.1365,1061.3302,1142.0574,1803043,INDIGO
2016-01-19,1119.4388,1149.8653,1088.3499,1137.6569,1715446,INDIGO
2016-01-20,1159.471,1172.5785,1121.4734,1133.6345,1408475,INDIGO
2016-01-21,1112.0096,1112.0096,906.9267,916.3906,10529075,INDIGO
2016-01-24,888.6612,901.3902,839.2596,854.3073,6958344,INDIGO
2016-01-26,861.2159,910.1443,861.2159,885.9641,3802299,INDIGO
2016-01-27,887.7148,896.2324,837.6507,854.9224,2430726,INDIGO
2016-01-28,857.4304,864.7649,811.8616,827.8083,2256173,INDIGO
