date,open,high,low,close,volume,symbol
2000-12-31,54.5042,55.4108,53.1189,53.4399,59981248,INFY
2001-01-01,53.5106,54.743,52.5457,54.2735,68767872,INFY
2001-01-02,53.501,53.9787,52.3899,53.6377,64125952,INFY
2001-01-03,53.7877,59.1378,53.7877,58.2908,71192960,INFY
2001-01-04,58.2684,61.1345,57.8767,60.9663,67941888,INFY
2001-01-07,60.3033,60.6186,56.6633,57.1759,76229504,INFY
2001-01-08,56.7111,58.0391,55.7576,56.6337,64873024,INFY
2001-01-09,57.3235,57.5967,53.8082,54.1325,91550336,INFY
2001-01-10,54.2176,54.8386,52.7654,53.0076,68442560,INFY
2001-01-11,53.1189,55.8895,53.0449,55.418,92083584,INFY
2001-01-14,55.6506,59.3733,55.6029,58.9405,102845952,INFY
2001-01-15,59.1368,59.6059,57.6674,58.2607,41221824,INFY
2001-01-16,60.6663,60.7523,59.3307,60.1681,51214528,INFY
2001-01-17,60.4275,61.9561,60.4275,61.4335,43274496,INFY
2001-01-18,61.6026,64.9144,61.6026,64.4874,56089536,INFY
2001-01-21,64.9178,66.1597,64.5069,65.3152,46704576,INFY
2001-01-22,64.7845,65.0601,63.82,64.5456,32817280,INFY
2001-01-23,64.87,65.4432,64.2118,65.2397,40703168,INFY
2001-01-24,64.9756,65.3468,63.5358,64.8423,30341568,INFY
2001-01-25,64.8423,64.8423,64.8423,64.8423,0,INFY
2001-01-28,64.4974,64.4974,61.765,63.3973,32839808,INFY
2001-01-29,63.7236,66.3002,63.7236,65.812,32835392,INFY
2001-01-30,65.4657,65.8923,64.6025,64.8963,32945152,INFY
2001-01-31,64.5929,64.784,63.3438,64.5012,32992448,INFY
2001-02-01,64.2586,66.0165,64.2543,65.5736,36933888,INFY
2001-02-04,65.2999,65.2999,63.4465,63.6739,27276480,INFY
2001-02-05,63.554,64.2968,63.4465,63.767,21435776,INFY
2001-02-06,64.2013,64.2013,61.7178,62.0655,35805888,INFY
2001-02-07,61.6695,62.6631,60.6764,62.441,34458240,INFY
2001-02-08,62.195,62.5007,61.1445,61.3853,27061504,INFY
2001-02-11,61.1631,61.1631,60.0454,60.8479,27284224,INFY
2001-02-12,61.0485,62.195,60.4963,60.8928,29327680,INFY
2001-02-13,60.5278,61.144,60.213,60.8417,21451776,INFY
2001-02-14,60.6788,62.2876,60.6663,62.0574,29909440,INFY
2001-02-15,62.3192,62.5007,59.6155,60.1366,40206656,INFY
2001-02-18,59.6155,60.5899,58.9142,60.1529,30336704,INFY
2001-02-19,60.2364,60.5231,59.5772,59.8223,23045696,INFY
2001-02-20,59.2333,59.2333,55.985,56.456,65310336,INFY
2001-02-21,56.2716,56.2716,53.0711,55.3516,54486912,INFY
2001-02-22,55.2207,55.7749,53.4103,53.717,46992000,INFY
2001-02-25,53.8832,55.4022,53.5966,54.6833,40402176,INFY
2001-02-26,54.6188,55.4022,52.8925,53.833,50862080,INFY
2001-02-27,53.7418,60.6664,53.0711,59.6312,77895168,INFY
2001-02-28,59.711,59.711,52.9278,54.101,63365312,INFY
2001-03-01,54.9341,56.3194,46.8612,47.3895,74829568,INFY
2001-03-04,46.8244,47.721,44.0428,45.8031,81282816,INFY
2001-03-05,45.8031,45.8031,45.8031,45.8031,0,INFY
2001-03-06,47.8519,49.8706,46.4026,49.6074,68337792,INFY
2001-03-07,50.1095,50.7305,47.9121,49.0222,36073088,INFY
2001-03-08,48.1509,48.1509,45.1004,46.908,31186368,INFY
2001-03-11,46.3357,46.6797,41.8474,42.5204,28695744,INFY
2001-03-12,41.5684,44.8931,35.9713,40.0508,43740032,INFY
2001-03-13,41.1767,45.8485,40.4133,45.1085,27935360,INFY
2001-03-14,44.1384,47.0045,43.2785,46.5454,26508288,INFY
2001-03-15,46.7656,47.721,44.0619,44.8998,26217472,INFY
2001-03-18,44.253,45.3803,41.4743,42.5682,26609344,INFY
2001-03-19,42.4674,43.7084,40.4224,41.7131,21592512,INFY
2001-03-20,40.8901,43.6416,38.4156,42.7965,32702976,INFY
2001-03-21,42.562,42.7531,40.4888,41.1614,22650624,INFY
2001-03-22,41.1767,42.4187,38.215,40.2471,34882176,INFY
2001-03-25,39.6959,41.5206,39.4116,41.2541,20275776,INFY
2001-03-26,40.9283,45.4377,40.6068,44.5014,40293184,INFY
2001-03-27,46.3357,47.0522,44.6351,44.9877,29183360,INFY
2001-03-28,44.4985,44.4985,41.7996,42.1402,31557248,INFY
2001-03-29,41.7977,41.7977,38.7978,39.0152,30498944,INFY
2001-04-01,38.8074,39.8296,35.8939,39.2932,40333248,INFY
2001-04-02,38.75,39.9156,37.8902,38.9268,28847232,INFY
2001-04-03,37.7374,37.7374,36.5909,37.3972,20771456,INFY
2001-04-04,37.3972,37.3972,37.3972,37.3972,0,INFY
2001-04-05,37.7373,40.389,37.7373,38.493,32048448,INFY
2001-04-08,37.7373,38.3583,36.8039,37.9308,15911040,INFY
2001-04-09,38.215,38.6832,34.8965,36.5723,35273920,INFY
2001-04-10,38.3583,39.1546,30.7211,30.7211,41200640,INFY
2001-04-11,28.2634,29.0148,25.8057,27.3371,80036608,INFY
