date,open,high,low,close,volume,symbol
2000-12-31,9.8842,9.9832,9.7567,9.8276,25667819,ITC
2001-01-01,9.849,10.0052,9.849,9.9738,32659042,ITC
2001-01-02,9.9392,10.4972,9.8952,10.3834,170953690,ITC
2001-01-03,10.4395,10.5549,10.1327,10.1756,65803922,ITC
2001-01-04,10.1481,10.3702,10.0937,10.2954,77735953,ITC
2001-01-07,10.2498,10.401,9.9238,10.0085,75883874,ITC
2001-01-08,10.0052,10.2141,9.9722,10.0909,49277981,ITC
2001-01-09,10.0931,10.2251,9.9436,9.9942,39263689,ITC
2001-01-10,10.0052,10.0271,9.8402,9.8837,34134873,ITC
2001-01-11,9.9216,9.9491,9.5544,9.5885,50113289,ITC
2001-01-14,9.6203,9.6973,9.4774,9.5318,26349328,ITC
2001-01-15,9.5544,9.7166,9.4785,9.5121,33996870,ITC
2001-01-16,9.7633,9.8117,9.545,9.6022,52828481,ITC
2001-01-17,9.6368,9.9172,9.5654,9.8694,73706814,ITC
2001-01-18,9.948,10.191,9.9172,10.0667,66393647,ITC
2001-01-21,10.0931,10.1679,9.9573,10.0365,24171052,ITC
2001-01-22,10.0381,10.2119,9.9832,10.0222,45612378,ITC
2001-01-23,9.9986,10.1354,9.8952,10.003,36703604,ITC
2001-01-24,10.0052,10.0821,9.8073,9.9232,36206410,ITC
2001-01-25,9.9232,9.9232,9.9232,9.9232,0,ITC
2001-01-28,9.8402,9.8501,9.5901,9.7105,30150083,ITC
2001-01-29,9.7451,9.9821,9.7314,9.9441,31544224,ITC
2001-01-30,10.0052,10.142,9.9062,10.0156,44969658,ITC
2001-01-31,10.0271,10.1365,9.7748,9.8248,56564464,ITC
2001-02-01,9.7974,9.9502,9.7017,9.8963,27510458,ITC
2001-02-04,9.9062,10.0151,9.744,9.8106,21861924,ITC
2001-02-05,9.8078,9.9216,9.3455,9.6495,29753179,ITC
2001-02-06,9.4554,9.4879,8.5132,8.6693,213573002,ITC
2001-02-07,8.7562,9.0783,8.6319,8.9887,89436376,ITC
2001-02-08,9.0266,9.0695,8.8177,8.9282,40949632,ITC
2001-02-11,8.9057,8.9827,8.7144,8.9255,39783641,ITC
2001-02-12,8.9277,8.9497,8.7435,8.8067,47130549,ITC
2001-02-13,8.7946,8.8947,8.7188,8.8689,27564341,ITC
2001-02-14,8.8991,9.0541,8.8733,9.0222,39375381,ITC
2001-02-15,9.0376,9.1025,8.8738,8.9282,29668592,ITC
2001-02-18,8.9277,8.9497,8.6319,8.7342,32327564,ITC
2001-02-19,8.7397,8.7397,8.5264,8.5643,32832655,ITC
2001-02-20,8.4879,8.7303,8.4219,8.6869,49192787,ITC
2001-02-21,8.6858,9.0701,8.6638,9.0112,97064617,ITC
2001-02-22,9.0156,9.147,8.8287,8.8898,55387912,ITC
2001-02-25,8.8177,8.9607,8.6995,8.9211,37033773,ITC
2001-02-26,8.9387,9.1454,8.9277,9.1074,75353641,ITC
2001-02-27,9.0712,9.1256,8.356,8.5341,193253971,ITC
2001-02-28,8.4109,8.5841,8.224,8.3433,82257426,ITC
2001-03-01,8.4109,8.5539,8.213,8.2916,58328544,ITC
2001-03-04,8.2999,8.367,7.9008,8.0954,82155922,ITC
2001-03-05,8.0954,8.0954,8.0954,8.0954,0,ITC
2001-03-06,8.279,8.323,8.0151,8.1927,34629356,ITC
2001-03-07,8.301,8.8271,8.213,8.7551,50887889,ITC
2001-03-08,8.6858,8.8177,8.356,8.7017,28186920,ITC
2001-03-11,8.7298,8.7408,8.3895,8.406,17132535,ITC
2001-03-12,8.257,8.257,7.6853,7.7287,21435017,ITC
2001-03-13,7.5863,8.345,7.5643,8.2784,16377422,ITC
2001-03-14,8.246,8.5852,8.235,8.506,13076197,ITC
2001-03-15,8.4769,8.6308,8.4549,8.5802,11148598,ITC
2001-03-18,8.5759,8.6418,8.4796,8.6237,6893831,ITC
2001-03-19,8.6418,8.6858,8.4824,8.6231,10860395,ITC
2001-03-20,8.5319,8.8144,8.4824,8.7875,16472618,ITC
2001-03-21,8.8265,8.9497,8.7738,8.8963,12955859,ITC
2001-03-22,8.9497,8.9497,8.7628,8.8985,10816933,ITC
2001-03-25,8.8177,9.069,8.8177,8.9623,11036952,ITC
2001-03-26,8.9607,9.0057,8.9172,8.97,11370673,ITC
2001-03-27,8.9882,9.263,8.9827,9.2267,21550307,ITC
2001-03-28,9.1503,9.2124,8.8947,8.9266,12778274,ITC
2001-03-29,8.8947,9.0376,8.8903,8.9497,11596441,ITC
2001-04-01,8.8205,9.0145,8.6088,8.9596,21527922,ITC
2001-04-02,8.9277,9.0376,8.9167,8.9909,7650813,ITC
2001-04-03,8.9634,9.2905,8.8727,9.2509,25474251,ITC
2001-04-04,9.2509,9.2509,9.2509,9.2509,0,ITC
2001-04-05,9.3345,9.3675,9.1586,9.219,14142459,ITC
2001-04-08,9.2355,9.3675,9.1916,9.2949,14354253,ITC
2001-04-09,9.2817,9.4114,9.1476,9.3862,18110192,ITC
2001-04-10,9.3895,9.4219,9.0607,9.1806,21798180,ITC
2001-04-11,9.1256,9.1261,8.8507,8.9266,29816689,ITC
2001-04-12,8.9266,8.9266,8.9266,8.9266,0,ITC
2001-04-15,8.8628,9.0706,8.8249,9.0552,12117655,ITC
2001-04-16,9.0156,9.0926,8.9167,9.0244,9667860,ITC
2001-04-17,9.0046,9.1916,8.9607,9.1525,14105540,ITC
2001-04-18,9.2168,9.3972,9.1476,9.2971,26023972,ITC
2001-04-19,9.3785,9.5984,9.1377,9.5329,32459959,ITC
2001-04-22,9.5544,9.7083,9.4791,9.6566,15206899,ITC
2001-04-23,9.6742,9.6753,9.4554,9.6192,9754877,ITC
2001-04-24,9.622,9.622,9.5104,9.5665,6247559,ITC
2001-04-25,9.6423,9.7523,9.2575,9.3625,14859391,ITC
2001-04-26,9.1806,9.2784,8.9277,9.2152,19198558,ITC
2001-04-29,9.1806,9.2564,9.1256,9.2267,4965623,ITC
2001-04-30,9.2267,9.2267,9.2267,9.2267,0,ITC
2001-05-01,9.2339,9.3444,9.1476,9.2042,6645538,ITC
2001-05-02,9.1806,9.2575,9.1586,9.191,4296032,ITC
2001-05-03,9.219,9.219,9.0629,9.1344,6006089,ITC
2001-05-06,9.1256,9.274,9.1256,9.1855,4457308,ITC
2001-05-07,9.2135,9.219,9.0156,9.0844,5523944,ITC
2001-05-08,9.0816,9.2905,8.9068,9.1668,8375924,ITC
2001-05-09,9.1696,9.2014,8.9057,9.1283,5766675,ITC
2001-05-10,9.1256,9.1256,8.8188,8.8777,8101320,ITC
2001-05-13,8.964,8.964,8.3571,8.5088,19347730,ITC
2001-05-14,8.4769,8.5539,8.1811,8.4753,6113902,ITC
2001-05-15,8.4989,8.6281,8.268,8.4687,11794542,ITC
2001-05-16,8.5209,8.5978,8.334,8.4626,12130133,ITC
2001-05-17,8.4769,8.738,8.4769,8.6424,19991525,ITC
2001-05-20,8.5759,8.6748,8.4659,8.5478,9240673,ITC
2001-05-21,8.5868,8.6198,8.45,8.4791,8019070,ITC
2001-05-22,8.5192,8.5841,8.4989,8.5247,5824624,ITC
2001-05-23,8.4879,8.5627,8.4335,8.4626,4327530,ITC
2001-05-24,8.4659,8.5429,8.379,8.4511,5922717,ITC
2001-05-27,8.5209,8.5539,8.4549,8.5022,5306401,ITC
2001-05-28,8.5319,8.7298,8.4895,8.5451,26628838,ITC
2001-05-29,8.7902,8.7902,8.5429,8.5753,37998297,ITC
2001-05-30,8.6308,8.8342,8.5429,8.7523,34295588,ITC
2001-05-31,8.7611,8.7957,8.4549,8.4879,18714263,ITC
2001-06-03,8.3779,8.5154,8.3147,8.356,7942147,ITC
2001-06-04,8.323,8.3411,8.0591,8.1548,12740467,ITC
2001-06-05,8.279,8.301,8.191,8.2438,6710777,ITC
2001-06-06,8.2037,8.29,8.0267,8.1322,12515353,ITC
2001-06-07,8.0591,8.1245,7.9492,8.0531,13869071,ITC
2001-06-10,8.1086,8.323,8.0481,8.2532,18340212,ITC
2001-06-11,8.246,8.301,8.1927,8.2493,7057443,ITC
2001-06-12,8.1361,8.345,8.1361,8.2581,6460895,ITC
2001-06-13,8.2576,8.3785,8.1614,8.1998,18635378,ITC
2001-06-14,8.1471,8.1471,7.9162,7.9475,12223832,ITC
2001-06-17,7.8749,8.29,7.8749,8.2169,14086099,ITC
2001-06-18,8.2999,8.7782,8.213,8.6792,20361792,ITC
2001-06-19,8.7397,8.7397,8.4241,8.5484,15877846,ITC
