date,open,high,low,close,volume,symbol
2023-08-20,261.5921,261.642,248.5125,248.5125,74715306,JIOFIN
2023-08-21,236.0819,236.0819,236.0819,236.0819,7281398,JIOFIN
2023-08-22,224.3002,224.3002,224.3002,224.3002,4289046,JIOFIN
2023-08-23,213.1177,213.1177,213.1177,213.1177,27673350,JIOFIN
2023-08-24,202.4843,223.7511,202.4843,214.166,281040100,JIOFIN
2023-08-27,213.0178,221.904,207.2269,210.8212,87522120,JIOFIN
2023-08-28,211.6699,221.3548,206.9273,219.9071,92693420,JIOFIN
2023-08-29,224.5498,230.89,224.3501,230.89,21403170,JIOFIN
2023-08-30,241.3237,242.422,230.7901,233.1365,124122100,JIOFIN
2023-08-31,234.6341,244.7683,233.8354,244.7683,39481020,JIOFIN
2023-09-03,254.9025,266.5344,248.6123,253.0554,99246730,JIOFIN
2023-09-04,256.5999,259.5952,252.6061,254.6529,47127070,JIOFIN
2023-09-05,246.6154,259.3955,245.6669,252.4563,225413100,JIOFIN
2023-09-06,251.6077,256.8994,250.8588,251.408,43856830,JIOFIN
2023-09-07,253.6045,254.603,249.1115,252.8058,36090000,JIOFIN
2023-09-10,256.55,257.2988,249.6108,249.7605,24982850,JIOFIN
2023-09-11,251.358,251.6077,240.5249,243.8697,39500710,JIOFIN
2023-09-12,244.4189,247.4142,236.2316,239.826,27810990,JIOFIN
2023-09-13,241.6232,244.1692,240.8744,242.1724,14055230,JIOFIN
2023-09-14,243.4204,244.2691,237.28,239.0273,27416100,JIOFIN
2023-09-17,239.6263,240.475,231.7386,232.8369,24694410,JIOFIN
2023-09-19,230.0413,231.6388,228.6435,229.2924,18317600,JIOFIN
2023-09-20,229.6419,235.2332,226.4469,227.2956,33101550,JIOFIN
2023-09-21,227.5951,231.8884,225.9976,227.4453,38327550,JIOFIN
2023-09-24,229.6419,230.4906,227.1458,229.3923,13392150,JIOFIN
2023-09-25,230.7402,231.3393,229.6419,230.0413,8058261,JIOFIN
2023-09-26,230.84,230.84,226.6466,226.996,10984320,JIOFIN
2023-09-27,227.645,228.4937,224.4001,224.6996,9143582,JIOFIN
2023-09-28,225.5483,232.5374,224.6497,230.84,12411230,JIOFIN
2023-10-02,231.1396,233.5358,230.1911,231.0397,13185430,JIOFIN
2023-10-03,229.6419,229.6419,223.152,224.3002,23296540,JIOFIN
2023-10-04,225.5483,227.5452,223.8509,225.0491,13894930,JIOFIN
2023-10-05,226.1474,227.2956,223.3517,224.7495,7531900,JIOFIN
2023-10-08,222.6528,222.6528,218.5093,219.308,9696908,JIOFIN
2023-10-09,220.6559,223.5514,219.4079,219.8072,10451280,JIOFIN
2023-10-10,221.6544,227.3455,220.2565,224.7495,11765080,JIOFIN
2023-10-11,226.6466,227.046,224.4001,224.7995,7780605,JIOFIN
2023-10-12,223.6512,225.5483,221.6544,224.2004,10137210,JIOFIN
2023-10-15,224.5498,225.5982,223.6512,224.45,10850720,JIOFIN
2023-10-16,231.1396,232.6372,220.1567,220.606,34190040,JIOFIN
2023-10-17,221.255,222.5529,215.2144,215.6637,27712060,JIOFIN
2023-10-18,215.6637,215.6637,208.7245,213.8665,42127110,JIOFIN
2023-10-19,215.1645,216.6621,212.6684,213.8665,11101460,JIOFIN
2023-10-22,213.6668,213.8665,203.932,206.2784,17817780,JIOFIN
2023-10-24,206.2783,211.4702,206.1785,209.8228,22079260,JIOFIN
2023-10-25,207.6762,216.6621,206.1286,215.5139,23734030,JIOFIN
2023-10-26,219.2581,225.2488,216.113,222.5529,20929440,JIOFIN
2023-10-29,224.1505,225.8478,217.8103,218.659,13508660,JIOFIN
2023-10-30,221.6544,222.8525,215.2144,218.659,17538200,JIOFIN
2023-10-31,215.6637,221.7043,214.9648,217.3111,15862620,JIOFIN
2023-11-01,218.1598,219.2581,216.3626,217.0116,13261560,JIOFIN
2023-11-02,218.659,220.3065,217.3111,218.709,8569115,JIOFIN
2023-11-05,220.0568,220.3564,216.4125,216.8119,11494090,JIOFIN
2023-11-06,217.5607,218.4593,216.1629,216.8618,7558170,JIOFIN
2023-11-07,217.4609,217.5607,213.4671,213.8166,17101600,JIOFIN
2023-11-08,214.5155,217.3611,214.5155,214.815,17250090,JIOFIN
2023-11-09,214.5155,222.6029,214.0163,221.6044,18467210,JIOFIN
2023-11-12,222.6528,225.5483,221.904,224.4001,12086990,JIOFIN
2023-11-14,226.5967,226.996,222.8525,223.801,15782000,JIOFIN
2023-11-15,225.1489,228.943,223.5015,226.5966,17856030,JIOFIN
2023-11-16,225.6481,225.6481,220.0569,220.4562,19607100,JIOFIN
2023-11-19,221.4047,221.4047,214.7152,215.1645,20403360,JIOFIN
2023-11-20,217.0615,222.8026,216.2129,219.8572,25625460,JIOFIN
2023-11-21,219.3579,223.0522,218.1598,221.5545,15012270,JIOFIN
2023-11-22,222.1536,222.9024,219.2581,220.9055,11267950,JIOFIN
2023-11-23,221.5545,227.4953,220.1567,226.1474,31420610,JIOFIN
2023-11-27,227.6949,231.9383,224.9492,225.9976,25668670,JIOFIN
2023-11-28,228.9929,228.9929,223.8509,225.6981,14007700,JIOFIN
2023-11-29,225.6981,231.4391,222.3033,229.0428,45432210,JIOFIN
2023-11-30,231.0896,231.2394,224.4999,225.1489,17634910,JIOFIN
2023-12-03,229.3923,231.6388,227.5452,229.7418,21079660,JIOFIN
2023-12-04,230.6403,245.617,229.0428,242.1224,60847480,JIOFIN
2023-12-05,244.5187,251.2083,242.6217,246.6654,45262700,JIOFIN
2023-12-06,248.6123,250.3097,244.7184,248.7621,23000400,JIOFIN
2023-12-07,248.6123,250.11,239.6263,243.8697,19056790,JIOFIN
2023-12-10,244.4688,246.6154,242.6716,245.2176,8875953,JIOFIN
2023-12-11,245.6669,246.915,237.929,240.1755,12749590,JIOFIN
2023-12-12,241.6232,242.0226,234.9836,239.3767,13774940,JIOFIN
2023-12-13,242.5218,243.3705,237.6794,238.2285,14352890,JIOFIN
2023-12-14,239.6263,242.2223,236.0319,237.28,26225280,JIOFIN
2023-12-17,240.6248,241.8229,237.2301,239.7761,17001750,JIOFIN
2023-12-18,239.9259,240.4251,237.5296,237.929,13053450,JIOFIN
2023-12-19,238.528,247.8136,229.6918,231.7386,44628840,JIOFIN
2023-12-20,230.4906,238.3284,228.6435,237.6295,17015300,JIOFIN
2023-12-21,238.3783,239.3767,234.2347,236.3814,10871310,JIOFIN
2023-12-25,236.8806,237.6294,233.3361,234.3346,11865880,JIOFIN
2023-12-26,235.6326,236.8806,232.6372,233.6357,12430460,JIOFIN
2023-12-27,234.6341,235.982,232.1879,232.9867,10533950,JIOFIN
2023-12-28,233.5358,234.8338,231.8884,232.5873,11614920,JIOFIN
2023-12-31,232.9867,236.0319,232.9368,234.1848,7919961,JIOFIN
2024-01-01,234.6341,235.6326,231.6388,234.9836,9216592,JIOFIN
2024-01-02,235.0335,235.6326,233.1864,234.1349,9864949,JIOFIN
2024-01-03,238.4781,242.8713,236.4313,241.0242,32808930,JIOFIN
2024-01-04,244.1193,247.8136,241.124,243.2706,29722060,JIOFIN
2024-01-07,246.4657,246.5156,239.9259,242.0226,21118010,JIOFIN
2024-01-08,243.5203,244.2691,241.124,241.773,10689240,JIOFIN
2024-01-09,241.6232,241.9228,238.9274,240.5749,11798540,JIOFIN
2024-01-10,242.6217,253.0055,240.2753,251.1584,45792810,JIOFIN
2024-01-11,254.603,258.9462,253.305,254.6529,46763290,JIOFIN
2024-01-14,257.5983,269.2801,256.6498,266.3347,68617370,JIOFIN
2024-01-15,253.7044,257.5983,246.1162,248.4626,70456850,JIOFIN
2024-01-16,246.6154,246.6154,241.773,242.1724,28318080,JIOFIN
2024-01-18,245.4672,248.7621,245.0179,245.8666,16563070,JIOFIN
2024-01-22,247.4641,247.6638,239.6263,240.0257,13184700,JIOFIN
2024-01-23,239.6263,241.1739,236.7309,239.3767,15276800,JIOFIN
2024-01-24,240.0257,242.2722,238.528,239.4766,12352490,JIOFIN
2024-01-28,241.6232,254.0039,239.6263,250.6092,41148260,JIOFIN
2024-01-29,252.7559,253.5546,246.7153,247.3143,15292450,JIOFIN
2024-01-30,247.2644,250.2098,245.7168,247.8635,15183900,JIOFIN
2024-01-31,250.6092,254.3034,248.812,252.007,24323320,JIOFIN
2024-02-01,252.1069,256.8994,250.2098,253.4048,30218950,JIOFIN
2024-02-04,255.9509,295.2396,255.3019,288.6499,211028600,JIOFIN
2024-02-05,285.2552,285.2552,265.6358,270.5282,86635610,JIOFIN
2024-02-06,273.0243,275.2708,266.9837,268.082,30963700,JIOFIN
2024-02-07,269.5796,269.979,261.5422,262.3908,21948920,JIOFIN
2024-02-08,263.9883,275.8698,257.9977,272.575,51120880,JIOFIN
2024-02-11,275.6701,280.6623,267.2832,271.0274,47043870,JIOFIN
2024-02-12,270.0289,274.9712,263.2895,272.3253,31220100,JIOFIN
2024-02-13,269.4798,274.5718,268.1319,272.575,21374190,JIOFIN
2024-02-14,274.5719,278.5656,272.575,273.6233,19477720,JIOFIN
2024-02-15,274.8714,276.3191,270.5781,271.4767,14337050,JIOFIN
2024-02-18,272.8246,276.6686,271.4767,273.5734,18390280,JIOFIN
2024-02-19,273.7731,288.8496,273.174,281.2614,55688590,JIOFIN
2024-02-20,283.5578,294.0415,282.7591,289.6483,64130100,JIOFIN
2024-02-21,291.2458,304.8246,290.6468,302.3785,75689290,JIOFIN
2024-02-22,305.3239,346.4598,304.8746,333.4301,270077100,JIOFIN
2024-02-25,339.9199,347.4582,325.2428,327.2896,107359700,JIOFIN
2024-02-26,328.7873,338.1727,316.0571,318.0041,57002010,JIOFIN
2024-02-27,319.5018,321.948,305.5735,307.82,48176150,JIOFIN
2024-02-28,311.5143,321.4987,307.5205,309.5174,81356670,JIOFIN
2024-02-29,313.0119,321.0993,311.0649,317.4051,37623310,JIOFIN
2024-03-03,329.4363,330.9839,320.1009,322.0977,24183880,JIOFIN
2024-03-04,323.4956,327.3895,319.0026,321.1992,18301430,JIOFIN
2024-03-05,322.4472,333.3801,320.8497,325.8419,53717380,JIOFIN
2024-03-06,328.4878,336.8747,323.6952,333.3801,35988720,JIOFIN
2024-03-10,336.3755,359.2898,331.9324,355.0963,121739300,JIOFIN
2024-03-11,359.4395,373.9169,358.1914,361.2866,111054000,JIOFIN
2024-03-12,363.1338,366.3288,323.9948,327.689,99102080,JIOFIN
2024-03-13,327.4893,340.9683,317.5049,337.8232,74698600,JIOFIN
2024-03-14,339.4707,348.3069,335.9262,344.2133,55087410,JIOFIN
2024-03-17,346.4098,359.14,341.9668,352.0011,48365400,JIOFIN
2024-03-18,352.8498,357.3428,346.4597,352.7499,42007910,JIOFIN
2024-03-19,352.7499,355.7952,335.1274,336.9745,50983690,JIOFIN
2024-03-20,343.9636,347.7577,336.5752,338.1727,28731850,JIOFIN
2024-03-21,337.4738,346.3599,336.1758,344.1134,20548120,JIOFIN
2024-03-25,344.4629,351.9512,343.0151,345.6111,27168980,JIOFIN
2024-03-26,347.7078,355.0464,347.4582,350.154,50090700,JIOFIN
2024-03-27,354.2975,357.193,349.8545,353.1992,22677060,JIOFIN
2024-03-31,356.4442,363.633,355.0464,356.3943,23644470,JIOFIN
2024-04-01,358.4411,362.2851,355.945,356.544,29684720,JIOFIN
2024-04-02,355.945,359.2398,352.6501,356.544,17920490,JIOFIN
2024-04-03,358.8404,367.2273,357.4426,360.7375,33926420,JIOFIN
2024-04-04,360.4379,374.2664,358.491,372.619,46979670,JIOFIN
2024-04-07,375.4146,378.1104,366.9777,368.6751,32853740,JIOFIN
2024-04-08,370.4224,374.1166,364.8311,367.1275,23367020,JIOFIN
2024-04-09,369.0745,371.8202,366.9778,369.8733,16540320,JIOFIN
2024-04-11,369.5737,378.2602,367.6267,371.6205,32481000,JIOFIN
2024-04-14,361.4364,362.3849,350.4535,353.7484,46281480,JIOFIN
2024-04-15,364.3319,371.3709,359.5393,361.2866,48921020,JIOFIN
2024-04-17,368.5753,383.8015,366.4286,377.8109,75356220,JIOFIN
2024-04-18,377.4115,377.5113,368.076,369.5238,39515720,JIOFIN
2024-04-21,377.4115,384.2508,374.6658,382.1042,48640720,JIOFIN
