date,open,high,low,close,volume,symbol
2003-05-07,8.3357,8.5094,7.7279,7.9015,187943,JSWSTEEL
2003-05-08,8.0752,8.162,7.9015,8.162,114799,JSWSTEEL
2003-05-11,8.162,8.9435,8.162,8.683,752170,JSWSTEEL
2003-05-12,8.9435,9.0303,8.5962,8.683,526229,JSWSTEEL
2003-05-13,8.8567,9.9855,8.683,9.4645,797615,JSWSTEEL
2003-05-14,9.5513,9.725,9.3777,9.4645,868012,JSWSTEEL
2003-05-15,9.5513,9.725,9.204,9.3776,446810,JSWSTEEL
2003-05-18,9.5513,9.6381,9.1172,9.204,445551,JSWSTEEL
2003-05-19,9.1172,9.2908,8.8567,8.9435,262185,JSWSTEEL
2003-05-20,9.1172,9.8986,9.0303,9.725,598363,JSWSTEEL
2003-05-21,9.9855,10.5064,9.4645,10.4196,1612429,JSWSTEEL
2003-05-22,10.7669,10.9406,10.4196,10.8538,904729,JSWSTEEL
2003-05-25,11.0274,11.6352,10.9406,11.4616,1251600,JSWSTEEL
2003-05-26,11.8089,11.8089,10.8538,10.9406,1049293,JSWSTEEL
2003-05-27,11.2879,11.3747,10.9406,11.1143,574205,JSWSTEEL
2003-05-28,11.2879,11.7221,11.2011,11.5484,1040854,JSWSTEEL
2003-05-29,11.6352,12.243,11.6352,11.8957,1371874,JSWSTEEL
2003-06-01,12.0694,12.764,11.9826,12.243,1529006,JSWSTEEL
2003-06-02,12.5035,12.5904,11.7221,11.8957,894201,JSWSTEEL
2003-06-03,12.1562,12.3299,11.8957,12.1562,810372,JSWSTEEL
2003-06-04,11.9826,12.4167,11.8957,11.8957,815897,JSWSTEEL
2003-06-05,11.8957,12.243,11.8089,11.8957,473320,JSWSTEEL
2003-06-08,12.0694,13.1113,11.8089,12.9377,2252565,JSWSTEEL
2003-06-09,13.1982,13.4587,11.8089,11.9826,3064916,JSWSTEEL
2003-06-10,12.3299,12.8509,12.1562,12.243,1080908,JSWSTEEL
2003-06-11,12.243,12.8509,12.243,12.5035,1091158,JSWSTEEL
2003-06-12,13.1982,13.1982,12.3299,12.4167,513633,JSWSTEEL
2003-06-15,12.5904,12.5904,12.0694,12.243,494274,JSWSTEEL
2003-06-16,12.5035,12.5035,12.1562,12.243,397431,JSWSTEEL
2003-06-17,12.3299,12.4167,12.0694,12.1562,771932,JSWSTEEL
2003-06-18,12.1562,12.5904,12.1562,12.3299,876131,JSWSTEEL
2003-06-19,12.3299,12.6772,12.243,12.5035,978983,JSWSTEEL
2003-06-22,12.5904,13.4587,12.4167,12.764,2939241,JSWSTEEL
2003-06-23,12.764,14.5875,12.764,14.4138,4740127,JSWSTEEL
2003-06-24,15.3689,15.5426,14.5006,15.1084,4424727,JSWSTEEL
2003-06-25,15.4558,15.7162,14.9348,15.0216,2194324,JSWSTEEL
2003-06-26,15.2821,15.4558,14.4138,15.2821,2389118,JSWSTEEL
2003-06-29,16.4977,16.6714,15.5426,16.2372,2949997,JSWSTEEL
2003-06-30,16.6714,18.0607,16.0636,17.7133,4565927,JSWSTEEL
