date,open,high,low,close,volume,symbol
2001-07-01,0.4436,0.457,0.4432,0.4436,554000,KOTAKBANK
2001-07-02,0.457,0.457,0.4386,0.4432,387600,KOTAKBANK
2001-07-03,0.4478,0.4524,0.4409,0.4469,246800,KOTAKBANK
2001-07-04,0.4524,0.4566,0.4432,0.446,313500,KOTAKBANK
2001-07-05,0.4478,0.4478,0.434,0.4432,589000,KOTAKBANK
2001-07-08,0.4386,0.4478,0.434,0.4395,710900,KOTAKBANK
2001-07-09,0.4344,0.4432,0.4247,0.4321,473000,KOTAKBANK
2001-07-10,0.457,0.457,0.4247,0.4247,388900,KOTAKBANK
2001-07-11,0.4293,0.434,0.4247,0.4247,177000,KOTAKBANK
2001-07-12,0.4247,0.4423,0.4155,0.4155,400000,KOTAKBANK
2001-07-15,0.4155,0.4247,0.4109,0.4109,209500,KOTAKBANK
2001-07-16,0.4063,0.4247,0.4063,0.4169,448900,KOTAKBANK
2001-07-17,0.4155,0.4196,0.3887,0.4146,304000,KOTAKBANK
2001-07-18,0.4127,0.4155,0.4072,0.4113,345500,KOTAKBANK
2001-07-19,0.4063,0.415,0.4021,0.4026,285300,KOTAKBANK
2001-07-22,0.3846,0.4063,0.3846,0.4063,10500,KOTAKBANK
2001-07-23,0.3278,0.4016,0.3278,0.3689,470600,KOTAKBANK
2001-07-24,0.367,0.3915,0.3573,0.3846,723900,KOTAKBANK
2001-07-25,0.3878,0.391,0.3753,0.3878,372400,KOTAKBANK
2001-07-26,0.3873,0.3924,0.3795,0.3906,470300,KOTAKBANK
2001-07-29,0.3702,0.3901,0.3702,0.3827,339200,KOTAKBANK
2001-07-30,0.379,0.3924,0.379,0.3878,277600,KOTAKBANK
2001-07-31,0.3882,0.397,0.3878,0.3919,448500,KOTAKBANK
2001-08-01,0.3887,0.3924,0.3832,0.3896,186700,KOTAKBANK
2001-08-02,0.397,0.3984,0.3878,0.3975,466800,KOTAKBANK
2001-08-05,0.397,0.3993,0.397,0.397,10110100,KOTAKBANK
2001-08-06,0.397,0.4016,0.3924,0.3952,632600,KOTAKBANK
2001-08-07,0.3979,0.4039,0.3933,0.3989,277000,KOTAKBANK
2001-08-08,0.397,0.4007,0.397,0.3998,194800,KOTAKBANK
2001-08-09,0.3984,0.4012,0.397,0.397,138400,KOTAKBANK
2001-08-12,0.4063,0.4063,0.397,0.397,108500,KOTAKBANK
2001-08-13,0.4016,0.4039,0.397,0.397,393100,KOTAKBANK
2001-08-14,0.397,0.397,0.397,0.397,0,KOTAKBANK
2001-08-15,0.397,0.4053,0.397,0.3979,421400,KOTAKBANK
2001-08-16,0.397,0.4016,0.397,0.397,398500,KOTAKBANK
2001-08-19,0.397,0.4007,0.397,0.397,78500,KOTAKBANK
2001-08-20,0.397,0.4012,0.397,0.397,174500,KOTAKBANK
2001-08-21,0.397,0.397,0.397,0.397,0,KOTAKBANK
2001-08-22,0.3961,0.4003,0.3961,0.397,320500,KOTAKBANK
2001-08-23,0.397,0.3993,0.397,0.397,284800,KOTAKBANK
2001-08-26,0.397,0.4012,0.397,0.3993,279400,KOTAKBANK
2001-08-27,0.397,0.3993,0.397,0.3975,258000,KOTAKBANK
2001-08-28,0.4016,0.4016,0.397,0.3975,133100,KOTAKBANK
2001-08-29,0.397,0.3993,0.397,0.397,100800,KOTAKBANK
2001-08-30,0.397,0.4016,0.397,0.3979,362200,KOTAKBANK
2001-09-02,0.4049,0.4063,0.397,0.3984,351000,KOTAKBANK
2001-09-03,0.4196,0.4196,0.397,0.397,105100,KOTAKBANK
2001-09-04,0.397,0.3993,0.397,0.397,247800,KOTAKBANK
2001-09-05,0.4053,0.4053,0.397,0.397,377000,KOTAKBANK
2001-09-06,0.397,0.4007,0.397,0.3984,246200,KOTAKBANK
2001-09-09,0.397,0.4007,0.397,0.397,266400,KOTAKBANK
2001-09-10,0.397,0.4003,0.3924,0.397,1542500,KOTAKBANK
2001-09-11,0.3841,0.3841,0.3324,0.3485,1187800,KOTAKBANK
2001-09-12,0.3555,0.3592,0.3485,0.3485,359100,KOTAKBANK
2001-09-13,0.3485,0.3485,0.2908,0.2964,530700,KOTAKBANK
2001-09-16,0.277,0.277,0.2447,0.2521,1470800,KOTAKBANK
2001-09-17,0.2488,0.3024,0.2401,0.2968,784300,KOTAKBANK
2001-09-18,0.2964,0.3407,0.2959,0.3301,750200,KOTAKBANK
2001-09-19,0.3324,0.337,0.3047,0.319,482600,KOTAKBANK
2001-09-20,0.319,0.3832,0.319,0.349,1705000,KOTAKBANK
2001-09-23,0.3869,0.3869,0.3509,0.3693,1149000,KOTAKBANK
2001-09-24,0.3693,0.3712,0.3693,0.3693,858300,KOTAKBANK
2001-09-25,0.3712,0.3776,0.3679,0.3702,645600,KOTAKBANK
2001-09-26,0.3712,0.3832,0.3693,0.3693,346000,KOTAKBANK
2001-09-27,0.3735,0.3739,0.3693,0.3698,463900,KOTAKBANK
2001-09-30,0.3693,0.3702,0.3693,0.3693,321400,KOTAKBANK
2001-10-01,0.3693,0.3693,0.3693,0.3693,0,KOTAKBANK
2001-10-02,0.3716,0.3721,0.3693,0.3693,243100,KOTAKBANK
2001-10-03,0.3698,0.3716,0.3693,0.3698,239500,KOTAKBANK
2001-10-04,0.3693,0.373,0.3693,0.3726,173900,KOTAKBANK
2001-10-07,0.3509,0.3739,0.3509,0.3702,881700,KOTAKBANK
2001-10-08,0.3693,0.385,0.3693,0.3739,333200,KOTAKBANK
2001-10-09,0.3693,0.3776,0.3693,0.3772,194200,KOTAKBANK
2001-10-10,0.3739,0.3786,0.3693,0.3712,195500,KOTAKBANK
