date,open,high,low,close,volume,symbol
2003-07-08,141.5107,146.2305,133.0149,140.9958,35164284,MARUTI
2003-07-09,143.3128,144.7717,141.1674,143.3128,10464179,MARUTI
2003-07-10,143.9564,150.0494,142.6692,148.7621,11740117,MARUTI
2003-07-13,149.5344,153.8253,149.5344,152.7096,5982324,MARUTI
2003-07-14,171.6321,171.6321,148.4618,151.2079,6173689,MARUTI
2003-07-15,151.4224,153.6965,150.4784,151.9802,3759085,MARUTI
2003-07-16,152.3235,152.7526,146.4451,147.7752,3814181,MARUTI
2003-07-17,141.5965,147.5178,137.3057,143.6561,5375212,MARUTI
2003-07-20,145.0292,145.3724,139.9231,141.5107,3315845,MARUTI
2003-07-21,140.7383,145.1579,139.1078,143.5274,4627992,MARUTI
2003-07-22,146.3164,152.7526,145.7157,149.9207,13262249,MARUTI
2003-07-23,150.9504,151.8944,148.3331,149.4058,4305936,MARUTI
2003-07-24,149.6632,150.1781,147.6894,149.0196,2832967,MARUTI
2003-07-27,161.3342,161.3342,150.264,153.4821,5415867,MARUTI
2003-07-28,154.426,156.9575,153.6965,154.7263,5229181,MARUTI
2003-07-29,155.5416,158.5452,154.5547,155.4129,4632246,MARUTI
2003-07-30,155.9278,157.6012,154.1685,155.1983,3562717,MARUTI
2003-07-31,156.1852,162.1923,153.3962,160.6047,8027285,MARUTI
2003-08-03,161.2055,170.3449,158.7597,169.5725,9982429,MARUTI
2003-08-04,170.7739,174.5928,165.4963,166.1399,9651327,MARUTI
2003-08-05,164.3377,169.4867,162.9218,164.4235,7451054,MARUTI
2003-08-06,166.054,168.1994,164.9813,167.6845,3223676,MARUTI
2003-08-07,169.0576,170.6881,168.1995,169.1864,2530289,MARUTI
2003-08-10,170.0016,174.8931,168.1995,173.5201,5651311,MARUTI
2003-08-11,174.8931,181.9301,174.6357,180.5999,8215213,MARUTI
2003-08-12,182.7882,188.3662,181.93,186.9073,7839204,MARUTI
2003-08-13,191.3698,192.5712,184.5045,185.8347,6298655,MARUTI
2003-08-14,185.8347,185.8347,185.8347,185.8347,0,MARUTI
2003-08-17,187.1649,189.6535,184.8478,186.1351,3382031,MARUTI
2003-08-18,188.6666,188.7095,184.5045,185.0623,3080091,MARUTI
2003-08-19,186.5641,194.3305,186.4783,193.0861,6049174,MARUTI
2003-08-20,194.8024,196.4329,191.6272,195.6177,4012069,MARUTI
2003-08-21,195.7035,199.7798,193.8584,196.7762,4436016,MARUTI
2003-08-24,197.3769,198.6213,185.4485,189.6964,4827198,MARUTI
2003-08-25,186.2209,201.6677,186.2209,199.4794,3968069,MARUTI
2003-08-26,202.011,203.8989,199.9514,201.067,2267859,MARUTI
2003-08-27,202.3113,202.3113,193.9443,195.7035,3554363,MARUTI
2003-08-28,199.1362,204.6713,198.6642,202.011,3212067,MARUTI
2003-08-31,202.8692,203.3841,198.8358,202.1397,2478236,MARUTI
2003-09-01,201.539,201.539,192.3138,194.4163,3975812,MARUTI
