date,open,high,low,close,volume,symbol
2020-08-20,105.9676,111.2436,105.9676,111.2436,807716,MAXHEALTH
2020-08-23,116.7684,116.7684,116.7684,116.7684,56263,MAXHEALTH
2020-08-24,122.5919,122.5919,122.5919,122.5919,45326,MAXHEALTH
2020-08-25,128.714,128.714,116.4698,123.4381,3240477,MAXHEALTH
2020-08-26,122.4426,122.4426,117.2662,117.2662,771809,MAXHEALTH
2020-08-27,111.4427,116.4698,111.4427,111.4427,820058,MAXHEALTH
2020-08-30,106.7142,106.8137,105.9178,105.9178,519749,MAXHEALTH
2020-08-31,100.6418,109.9992,100.6418,105.221,803353,MAXHEALTH
2020-09-01,100.6418,109.5015,100.6418,105.9676,181669,MAXHEALTH
2020-09-02,106.5151,111.2436,102.6328,111.2436,849547,MAXHEALTH
2020-09-03,106.5151,120.3521,104.8228,114.7277,1513362,MAXHEALTH
2020-09-06,115.1259,118.1621,112.1395,112.8363,740174,MAXHEALTH
2020-09-07,114.0807,115.7232,106.9631,109.5015,845613,MAXHEALTH
2020-09-08,105.5196,114.4291,105.1214,110.9449,798343,MAXHEALTH
2020-09-09,112.7368,115.4245,110.497,111.1938,731283,MAXHEALTH
2020-09-10,119.9041,133.343,119.7548,130.9538,11027186,MAXHEALTH
2020-09-13,126.4245,128.7638,119.6055,120.3521,3503925,MAXHEALTH
2020-09-14,121.4471,124.8317,116.7684,118.2119,1262738,MAXHEALTH
2020-09-15,119.3566,121.4471,116.3702,120.153,749709,MAXHEALTH
2020-09-16,119.4562,120.8001,115.5739,117.1666,616594,MAXHEALTH
2020-09-17,118.0625,120.3521,114.7277,116.3205,1105400,MAXHEALTH
2020-09-20,117.4155,118.7594,107.3612,110.3974,1758904,MAXHEALTH
2020-09-21,110.4472,111.8906,106.5151,108.5558,574753,MAXHEALTH
2020-09-22,110.3974,115.3748,108.0581,110.4472,1230845,MAXHEALTH
2020-09-23,109.5015,112.4381,107.5106,108.2572,388647,MAXHEALTH
2020-09-24,109.6011,111.4924,108.7549,109.402,473902,MAXHEALTH
2020-09-27,111.0445,118.9584,110.8454,116.0218,5291935,MAXHEALTH
2020-09-28,116.4698,116.9675,111.2436,112.9359,1304995,MAXHEALTH
2020-09-29,112.4879,117.3657,112.239,114.8273,1287726,MAXHEALTH
2020-09-30,116.1711,118.5603,113.8318,115.3748,1655056,MAXHEALTH
2020-10-04,115.5241,117.1168,113.0852,113.4834,319039,MAXHEALTH
2020-10-05,113.6327,116.7684,113.5829,115.0264,440115,MAXHEALTH
2020-10-06,115.2254,115.2254,111.4427,113.782,407920,MAXHEALTH
2020-10-07,114.9268,115.3748,111.592,112.1395,550754,MAXHEALTH
2020-10-08,112.6372,113.0852,109.0536,110.1983,545283,MAXHEALTH
2020-10-11,110.7458,112.2888,107.1124,108.0581,415407,MAXHEALTH
2020-10-12,109.1033,112.8861,108.307,112.1395,547097,MAXHEALTH
2020-10-13,113.0852,113.0852,109.0038,109.4517,305686,MAXHEALTH
2020-10-14,109.5015,113.9811,105.8183,106.6644,479087,MAXHEALTH
2020-10-15,107.0128,108.6554,106.1169,107.6101,170235,MAXHEALTH
2020-10-18,108.2074,109.3024,106.5151,108.1078,216811,MAXHEALTH
2020-10-19,108.3069,108.4065,106.0671,106.4653,156582,MAXHEALTH
2020-10-20,106.2662,107.6101,105.3205,105.7187,157747,MAXHEALTH
2020-10-21,106.0671,106.5151,103.9269,105.1712,265310,MAXHEALTH
2020-10-22,105.9676,106.0174,104.3251,104.8228,244630,MAXHEALTH
2020-10-25,104.5739,106.1169,103.5287,104.7233,240894,MAXHEALTH
2020-10-26,105.9178,106.9133,104.1758,105.5694,294750,MAXHEALTH
2020-10-27,105.7685,106.1667,103.5287,104.0762,152173,MAXHEALTH
2020-10-28,103.6282,104.6237,101.8862,103.1803,173696,MAXHEALTH
2020-10-29,104.5242,110.3974,103.6282,106.0671,383823,MAXHEALTH
2020-11-01,106.0174,109.5015,105.7685,106.6644,171594,MAXHEALTH
2020-11-02,107.5603,107.5603,106.6644,107.3115,123402,MAXHEALTH
2020-11-03,107.3115,113.7322,107.0128,112.687,755686,MAXHEALTH
2020-11-04,114.5286,116.2707,112.4879,114.0309,1087721,MAXHEALTH
2020-11-05,113.6825,115.0264,111.8906,113.9811,239902,MAXHEALTH
2020-11-08,115.1757,122.1439,115.0264,119.4562,1570566,MAXHEALTH
2020-11-09,118.7096,120.4517,113.9811,114.7277,442920,MAXHEALTH
2020-11-10,114.8273,122.4426,114.5784,120.6507,1567207,MAXHEALTH
2020-11-11,119.4562,119.4562,96.7097,117.6146,568369,MAXHEALTH
2020-11-12,117.3657,124.2344,116.3702,121.6462,987877,MAXHEALTH
2020-11-13,123.4381,124.1847,120.9494,121.696,188082,MAXHEALTH
