date,open,high,low,close,volume,symbol
2002-08-11,419.1324,422.8032,416.5752,416.6989,7100,NESTLEIND
2002-08-12,415.3378,424.8242,415.3378,419.916,8800,NESTLEIND
2002-08-13,414.183,424.8242,414.183,424.3293,18700,NESTLEIND
2002-08-14,424.3293,424.3293,424.3293,424.3293,0,NESTLEIND
2002-08-15,425.6492,426.3503,420.6998,421.5247,9400,NESTLEIND
2002-08-18,424.8242,428.0826,422.3908,423.1744,9100,NESTLEIND
2002-08-19,426.0615,451.5097,423.4219,431.6709,87200,NESTLEIND
2002-08-20,437.1978,440.3324,427.299,428.7013,26000,NESTLEIND
2002-08-21,429.7737,438.0227,426.1029,432.9495,17700,NESTLEIND
2002-08-22,441.3223,471.8437,441.3223,463.5122,701900,NESTLEIND
2002-08-25,461.9446,461.9446,437.1976,450.726,50100,NESTLEIND
2002-08-26,450.396,460.2948,450.396,455.3454,29100,NESTLEIND
2002-08-27,446.2715,459.4699,446.2715,458.1088,20100,NESTLEIND
2002-08-28,457.8203,468.5028,452.046,456.8716,138400,NESTLEIND
2002-08-29,457.9027,461.8622,456.1704,457.8614,39400,NESTLEIND
2002-09-01,460.7073,463.182,459.4699,461.0785,22900,NESTLEIND
2002-09-02,461.9447,462.3571,458.6451,460.5011,8400,NESTLEIND
2002-09-03,455.3867,461.9447,455.3867,461.2848,7800,NESTLEIND
2002-09-04,471.0187,476.793,465.2444,471.1837,974200,NESTLEIND
2002-09-05,470.1938,470.1938,463.5946,466.3993,14500,NESTLEIND
2002-09-08,461.9447,464.9969,458.3564,462.0272,16800,NESTLEIND
2002-09-09,462.0272,462.0272,462.0272,462.0272,0,NESTLEIND
2002-09-10,464.8318,464.8318,458.6451,462.3984,32400,NESTLEIND
2002-09-11,459.5937,462.7696,459.5937,461.9447,13200,NESTLEIND
2002-09-12,461.9447,461.9447,457.4077,459.5112,1900,NESTLEIND
2002-09-15,454.5205,461.7384,454.5205,460.4598,5300,NESTLEIND
2002-09-16,460.2951,462.7285,457.0779,462.3161,7300,NESTLEIND
2002-09-17,458.8514,462.7697,458.8514,462.5222,7800,NESTLEIND
2002-09-18,461.9447,461.9447,455.7579,457.8614,23800,NESTLEIND
2002-09-19,454.1081,462.7695,454.1081,455.6754,2900,NESTLEIND
2002-09-22,454.0258,461.9449,454.0258,459.9651,6000,NESTLEIND
2002-09-23,460.2537,478.4428,456.1704,470.8949,195900,NESTLEIND
2002-09-24,468.5027,469.3689,461.1198,463.3058,16700,NESTLEIND
2002-09-25,462.0271,464.4194,459.9649,461.2435,4700,NESTLEIND
2002-09-26,469.2863,469.2863,457.8202,464.0894,58000,NESTLEIND
2002-09-29,466.894,471.3485,464.6667,470.1936,151700,NESTLEIND
2002-09-30,464.4194,466.5229,460.2949,462.4809,7000,NESTLEIND
2002-10-01,462.4809,462.4809,462.4809,462.4809,0,NESTLEIND
2002-10-02,461.9447,468.049,461.9447,465.2443,8900,NESTLEIND
2002-10-03,469.245,469.3687,465.2442,466.6878,6800,NESTLEIND
2002-10-06,459.47,469.8637,459.47,466.9353,13700,NESTLEIND
2002-10-07,458.6452,468.544,458.6452,467.3067,8200,NESTLEIND
2002-10-08,463.5945,467.6778,463.5945,465.8217,8800,NESTLEIND
2002-10-09,464.0482,469.3689,463.8008,467.3478,37100,NESTLEIND
2002-10-10,464.0069,465.2442,461.9446,462.9345,10600,NESTLEIND
2002-10-13,474.3183,474.3183,461.986,462.0685,1600,NESTLEIND
2002-10-14,462.0685,462.0685,462.0685,462.0685,0,NESTLEIND
2002-10-15,461.9448,462.7697,459.0576,462.0685,5600,NESTLEIND
2002-10-16,458.0264,465.6567,457.4077,462.8933,12400,NESTLEIND
2002-10-17,459.5524,468.3789,459.5524,464.0894,34500,NESTLEIND
2002-10-20,460.3774,465.2443,449.7362,452.3346,29200,NESTLEIND
2002-10-21,482.5673,487.5167,453.6958,455.593,13400,NESTLEIND
2002-10-22,457.8202,460.2949,452.4583,458.0676,20400,NESTLEIND
2002-10-23,452.0871,465.6567,452.0871,462.6046,10700,NESTLEIND
2002-10-24,451.6334,464.4194,451.6334,461.6147,30200,NESTLEIND
2002-10-27,463.182,466.0692,452.7883,464.0894,31600,NESTLEIND
2002-10-28,459.0576,464.1308,459.0576,462.5222,4300,NESTLEIND
2002-10-29,452.912,464.3369,452.912,458.6451,16900,NESTLEIND
2002-10-30,456.2941,457.0365,453.6957,454.1081,25100,NESTLEIND
2002-10-31,446.354,451.8396,429.8147,440.291,49900,NESTLEIND
2002-11-03,439.8374,442.972,436.909,441.7759,4000,NESTLEIND
2002-11-04,449.4888,449.4888,437.2389,438.3113,5300,NESTLEIND
2002-11-05,438.3113,438.3113,438.3113,438.3113,0,NESTLEIND
2002-11-06,438.0226,441.7759,433.0732,439.4662,32100,NESTLEIND
2002-11-07,436.4965,437.1976,433.0731,434.063,6900,NESTLEIND
2002-11-10,433.2794,435.5479,431.0934,432.7019,5800,NESTLEIND
2002-11-11,456.9953,456.9953,432.6607,435.6716,12600,NESTLEIND
2002-11-12,437.1565,440.3324,428.1239,428.6188,16700,NESTLEIND
2002-11-13,425.7316,428.9487,423.2156,425.4429,30500,NESTLEIND
2002-11-14,424.8242,427.2165,423.1744,424.618,13400,NESTLEIND
2002-11-17,425.6491,432.4957,423.9993,426.3915,15400,NESTLEIND
2002-11-18,426.3915,426.3915,426.3915,426.3915,0,NESTLEIND
2002-11-19,430.5985,435.1355,425.7316,427.1339,24100,NESTLEIND
2002-11-20,428.9487,428.9487,423.9993,425.6491,6000,NESTLEIND
2002-11-21,425.6491,436.3728,424.1643,427.0515,13400,NESTLEIND
2002-11-24,428.9487,437.1977,426.7627,433.1969,6800,NESTLEIND
2002-11-25,444.6218,447.9214,434.8055,441.6522,22200,NESTLEIND
2002-11-26,439.6724,439.6724,428.9899,432.6195,6300,NESTLEIND
2002-11-27,439.5899,443.7144,435.7128,441.1159,5800,NESTLEIND
2002-11-28,441.1159,441.1159,441.1159,441.1159,0,NESTLEIND
2002-12-01,449.4474,449.4474,444.333,448.0038,7500,NESTLEIND
2002-12-02,447.9214,451.6334,447.1377,449.6536,7700,NESTLEIND
2002-12-03,451.1386,452.0459,444.993,449.3238,23300,NESTLEIND
2002-12-04,449.5712,450.3961,438.0226,440.4973,12300,NESTLEIND
2002-12-05,449.5712,487.5167,441.4047,445.2405,13500,NESTLEIND
2002-12-08,437.1977,441.3222,424.9066,427.3813,30100,NESTLEIND
2002-12-09,428.9487,435.9604,428.2888,430.7223,9800,NESTLEIND
2002-12-10,426.4739,431.4234,420.9059,430.2272,33200,NESTLEIND
2002-12-11,427.7525,430.9284,427.6288,430.2685,4500,NESTLEIND
2002-12-12,429.0724,431.0109,428.1237,430.2272,6500,NESTLEIND
2002-12-15,429.0312,431.4234,422.3495,425.9791,29200,NESTLEIND
2002-12-16,426.2678,431.011,425.2779,426.8453,2600,NESTLEIND
2002-12-17,427.2988,430.5159,425.7314,426.5976,3000,NESTLEIND
2002-12-18,423.7519,428.9075,420.6997,422.3495,17700,NESTLEIND
2002-12-19,426.474,427.2989,424.4118,425.6491,13500,NESTLEIND
2002-12-22,427.7113,429.7736,425.8553,428.495,22400,NESTLEIND
2002-12-23,431.4234,432.0833,427.2989,428.66,2700,NESTLEIND
2002-12-24,428.66,428.66,428.66,428.66,0,NESTLEIND
2002-12-25,431.2585,431.2585,426.4741,429.1962,3000,NESTLEIND
2002-12-26,428.9487,435.5479,410.8421,431.5472,5000,NESTLEIND
