date,open,high,low,close,volume,symbol
2004-11-04,38.1509,38.1509,30.3473,32.7534,279042883,NTPC
2004-11-07,33.2953,34.0757,32.515,32.6017,82638332,NTPC
2004-11-08,32.5583,32.9919,32.3199,32.645,44953063,NTPC
2004-11-09,32.7317,32.9268,32.515,32.5367,20896119,NTPC
2004-11-10,32.6667,32.6884,32.2115,32.2765,19153711,NTPC
2004-11-11,32.515,35.7231,31.9297,32.3632,5104155,NTPC
2004-11-14,32.3632,32.3632,32.3632,32.3632,0,NTPC
2004-11-15,32.3849,32.4283,31.7346,31.9297,15905272,NTPC
2004-11-16,31.9514,32.6017,31.8647,31.908,24043420,NTPC
2004-11-17,32.515,34.6176,31.8647,31.9297,21545230,NTPC
2004-11-18,31.9297,32.4499,31.8647,31.8863,19074889,NTPC
2004-11-21,31.908,32.5367,31.2144,32.2765,33741682,NTPC
2004-11-22,32.515,33.1653,32.4933,32.8835,35706926,NTPC
2004-11-23,33.187,33.8156,33.0352,33.7289,36985500,NTPC
2004-11-24,33.7722,34.2491,33.2953,33.4037,28246130,NTPC
2004-11-25,33.4037,33.4037,33.4037,33.4037,0,NTPC
2004-11-28,33.4688,33.8156,33.2737,33.5121,17041910,NTPC
2004-11-29,33.7722,34.5526,33.317,34.2925,47944693,NTPC
2004-11-30,34.4659,34.8994,34.2491,34.5526,40466184,NTPC
2004-12-01,34.8994,35.2679,34.661,34.8777,21840421,NTPC
2004-12-02,35.0078,35.0728,34.3575,34.5092,15302190,NTPC
2004-12-05,35.3763,35.5931,34.5309,34.6393,13179942,NTPC
2004-12-06,34.7694,35.4413,34.4876,34.8777,25779588,NTPC
2004-12-07,34.9861,35.2029,34.4876,34.6826,26046708,NTPC
2004-12-08,34.6393,34.8344,34.5092,34.6826,11302275,NTPC
2004-12-09,35.3763,35.3763,34.1191,34.2491,11900146,NTPC
2004-12-12,34.3142,34.6827,34.1841,34.5092,8461089,NTPC
2004-12-13,34.726,35.4413,34.5959,35.3763,19229175,NTPC
2004-12-14,35.5497,36.6335,35.528,36.4601,28750713,NTPC
2004-12-15,36.6335,36.8503,36.2,36.3301,11662995,NTPC
2004-12-16,36.4601,36.5035,35.7665,35.9832,10503541,NTPC
2004-12-19,35.9832,36.3951,35.9832,36.0916,7543022,NTPC
2004-12-20,36.2,36.7636,36.1783,36.6335,12386305,NTPC
2004-12-21,36.8286,36.8286,35.9399,36.0483,10146313,NTPC
2004-12-22,35.9832,36.4168,35.9832,36.0916,6996610,NTPC
2004-12-23,36.3084,36.5902,36.1133,36.265,6717558,NTPC
2004-12-26,36.2,37.0671,35.9832,36.872,13158428,NTPC
