date,open,high,low,close,volume,symbol
2000-12-31,4.1012,4.1815,4.0175,4.1062,54837,ONGC
2001-01-01,4.1983,4.2016,4.0845,4.1598,84726,ONGC
2001-01-02,4.0878,4.4812,4.0845,4.3992,652050,ONGC
2001-01-03,4.4025,4.4778,4.3021,4.3992,407628,ONGC
2001-01-04,4.3523,4.364,4.2853,4.3004,344835,ONGC
2001-01-07,4.3355,4.3523,4.22,4.3138,422694,ONGC
2001-01-08,4.2853,4.2853,4.0895,4.1481,326502,ONGC
2001-01-09,4.2016,4.2669,4.1347,4.1682,305712,ONGC
2001-01-10,4.2184,4.2837,4.1765,4.1916,391158,ONGC
2001-01-11,4.123,4.4159,3.8585,4.2719,498078,ONGC
2001-01-14,4.3355,4.4393,4.22,4.4126,776070,ONGC
2001-01-15,4.4494,4.4695,4.3021,4.3238,315972,ONGC
2001-01-16,4.4176,4.436,4.3657,4.4025,319887,ONGC
2001-01-17,4.4192,4.5532,4.3908,4.5096,333207,ONGC
2001-01-18,4.5197,4.6168,4.4644,4.5716,356625,ONGC
2001-01-21,4.5532,4.821,4.5063,4.7641,472113,ONGC
2001-01-22,4.7825,4.8578,4.6921,4.7373,391464,ONGC
2001-01-23,4.7641,4.8662,4.7641,4.8461,382545,ONGC
2001-01-24,4.9114,4.9382,4.7641,4.893,437607,ONGC
2001-01-25,4.893,4.893,4.893,4.893,0,ONGC
2001-01-28,4.7055,4.7055,4.5197,4.6118,185130,ONGC
2001-01-29,4.5565,4.6536,4.5565,4.6184,268110,ONGC
2001-01-30,4.6536,4.8176,4.6536,4.7222,493353,ONGC
2001-01-31,4.6536,4.9549,4.6536,4.8863,617373,ONGC
2001-02-01,4.9482,5.1223,4.898,5.0102,563913,ONGC
2001-02-04,5.1223,5.2227,5.0219,5.1056,459261,ONGC
2001-02-05,5.1558,5.1893,4.9951,5.1273,535095,ONGC
2001-02-06,5.0554,5.1876,5.0554,5.1524,301770,ONGC
2001-02-07,5.0972,5.1876,5.0654,5.1775,248409,ONGC
2001-02-08,5.1893,5.3567,5.0553,5.1759,555642,ONGC
2001-02-11,5.2479,5.591,5.2479,5.5374,874377,ONGC
2001-02-12,5.5408,5.5877,5.36,5.4923,557658,ONGC
2001-02-13,5.4906,5.6245,5.1591,5.2495,680445,ONGC
2001-02-14,5.3399,5.35,5.2144,5.2897,354825,ONGC
2001-02-15,5.2244,5.2311,4.9214,5.0118,1177821,ONGC
2001-02-18,4.9398,5.1223,4.7222,4.8377,420237,ONGC
2001-02-19,4.9214,4.9951,4.5632,4.5967,740835,ONGC
2001-02-20,4.754,4.8846,4.5532,4.8143,665460,ONGC
2001-02-21,4.7875,4.8545,4.6369,4.8344,358119,ONGC
2001-02-22,4.888,4.888,4.6871,4.7222,294615,ONGC
2001-02-25,4.8026,4.8026,4.5565,4.672,307467,ONGC
2001-02-26,4.6955,4.821,4.5582,4.7088,483516,ONGC
2001-02-27,4.6201,5.0185,4.5866,4.8076,428967,ONGC
2001-02-28,4.9516,5.1926,4.888,5.0972,712971,ONGC
2001-03-01,5.1859,5.3232,4.9633,5.042,520542,ONGC
2001-03-04,4.9549,5.0888,4.6703,4.7842,409230,ONGC
2001-03-05,4.7842,4.7842,4.7842,4.7842,0,ONGC
2001-03-06,4.8243,4.9884,4.6904,4.9281,302013,ONGC
2001-03-07,4.9465,4.9516,4.8043,4.8846,201780,ONGC
2001-03-08,4.7206,4.7842,4.5866,4.754,266076,ONGC
2001-03-11,4.7875,4.7875,4.5615,4.6754,245070,ONGC
2001-03-12,4.3858,4.3858,4.3021,4.3021,480519,ONGC
2001-03-13,4.2837,4.4192,4.0845,4.364,194922,ONGC
2001-03-14,4.3121,4.4176,4.1665,4.4008,147942,ONGC
2001-03-15,4.3874,4.4829,4.215,4.3188,420975,ONGC
2001-03-18,4.1665,4.4862,4.1514,4.4544,83781,ONGC
2001-03-19,4.4109,4.5548,4.3305,4.5348,171351,ONGC
2001-03-20,4.3205,4.6201,4.3205,4.5883,40383,ONGC
2001-03-21,4.5347,4.6201,4.3523,4.4544,139410,ONGC
2001-03-22,4.3188,4.3858,4.22,4.2954,194364,ONGC
2001-03-25,4.1849,4.3088,4.1849,4.2602,101241,ONGC
2001-03-26,4.2,4.292,4.2,4.2719,52137,ONGC
2001-03-27,4.3021,4.4762,4.2184,4.3841,31113,ONGC
2001-03-28,4.5113,4.6201,4.354,4.5331,86265,ONGC
2001-03-29,4.4862,4.4862,4.3556,4.4427,59418,ONGC
2001-04-01,4.1548,4.2853,4.1497,4.2067,51669,ONGC
2001-04-02,4.1514,4.3523,4.051,4.2837,241731,ONGC
2001-04-03,4.2184,4.4444,4.1849,4.4126,60183,ONGC
2001-04-04,4.4126,4.4126,4.4126,4.4126,0,ONGC
2001-04-05,4.4192,4.5163,4.2853,4.3088,106659,ONGC
2001-04-08,4.4527,4.5013,4.3355,4.3355,236799,ONGC
2001-04-09,4.4176,4.4326,4.2937,4.3858,94068,ONGC
2001-04-10,4.5348,4.5515,4.2853,4.5214,179127,ONGC
2001-04-11,4.4042,4.4845,4.2887,4.4326,112032,ONGC
2001-04-12,4.4326,4.4326,4.4326,4.4326,0,ONGC
2001-04-15,4.4192,4.4192,4.3355,4.4059,87381,ONGC
2001-04-16,4.3556,4.5666,4.3556,4.5297,109809,ONGC
2001-04-17,4.5833,4.6687,4.4611,4.6469,138402,ONGC
2001-04-18,4.6285,4.7825,4.5866,4.6168,194409,ONGC
2001-04-19,4.5699,4.6503,4.508,4.6235,46404,ONGC
2001-04-22,4.5532,4.6854,4.5197,4.667,63072,ONGC
2001-04-23,4.5866,4.7206,4.5548,4.7005,89802,ONGC
2001-04-24,4.6218,4.821,4.6218,4.7925,83880,ONGC
2001-04-25,4.8327,4.8327,4.6369,4.6754,59724,ONGC
2001-04-26,4.6235,4.6235,4.3188,4.523,95310,ONGC
2001-04-29,4.4192,4.6452,4.4059,4.6151,103419,ONGC
2001-04-30,4.6151,4.6151,4.6151,4.6151,0,ONGC
2001-05-01,4.6285,4.6888,4.6218,4.6804,53703,ONGC
2001-05-02,4.6871,4.6871,4.6201,4.6754,36324,ONGC
2001-05-03,4.6201,4.6837,4.6051,4.672,164331,ONGC
2001-05-06,4.6871,4.6871,4.6469,4.6519,20466,ONGC
2001-05-07,4.6536,4.667,4.6285,4.6335,42822,ONGC
2001-05-08,4.6369,4.6737,4.5565,4.6385,162810,ONGC
2001-05-09,4.6201,4.677,4.5866,4.5933,78966,ONGC
2001-05-10,4.6,4.6285,4.5699,4.5984,206352,ONGC
2001-05-13,4.6201,4.6201,4.5264,4.6,24849,ONGC
2001-05-14,4.5197,4.5532,4.4862,4.5498,95967,ONGC
2001-05-15,4.5331,4.5866,4.5197,4.5649,125595,ONGC
2001-05-16,4.5866,4.6536,4.5699,4.6402,62253,ONGC
2001-05-17,4.6536,4.8545,4.6536,4.7842,168858,ONGC
2001-05-20,4.9214,5.0821,4.7909,5.0051,214659,ONGC
2001-05-21,5.1056,5.1508,4.9549,4.9867,231309,ONGC
2001-05-22,5.0219,5.0386,4.8545,4.9198,124128,ONGC
2001-05-23,4.9114,4.9884,4.8277,4.8561,79749,ONGC
2001-05-24,4.8361,4.8377,4.6251,4.6821,238725,ONGC
2001-05-27,4.6335,4.8377,4.6335,4.7858,130950,ONGC
2001-05-28,4.7708,4.9382,4.7206,4.8896,255888,ONGC
2001-05-29,4.8729,4.9884,4.8227,4.8779,110205,ONGC
2001-05-30,4.826,5.0185,4.7976,4.9415,149913,ONGC
2001-05-31,5.0185,5.2562,5.0185,5.1156,293301,ONGC
2001-06-03,5.1625,5.1625,4.8545,4.8846,96183,ONGC
2001-06-04,4.8377,5.0888,4.8377,4.9783,332235,ONGC
2001-06-05,5.0554,5.2328,4.9917,5.0922,327825,ONGC
2001-06-06,5.139,5.2529,5.0051,5.1307,343530,ONGC
2001-06-07,5.2227,5.283,5.139,5.1943,560223,ONGC
2001-06-10,5.2897,5.2897,5.1558,5.2161,233064,ONGC
2001-06-11,5.1725,5.2562,5.1625,5.2278,289044,ONGC
2001-06-12,5.3901,5.5241,5.2395,5.4722,354114,ONGC
2001-06-13,5.4236,5.5676,5.4086,5.5492,230373,ONGC
2001-06-14,5.4872,5.6747,5.4236,5.6145,318105,ONGC
2001-06-17,5.591,5.6412,5.432,5.5224,143622,ONGC
2001-06-18,5.5073,5.8588,5.5073,5.8438,478809,ONGC
2001-06-19,5.6915,6.1602,5.658,6.0514,581130,ONGC
2001-06-20,6.0765,6.0899,5.6245,5.6429,416187,ONGC
2001-06-21,5.591,5.8421,5.2646,5.3115,412326,ONGC
2001-06-24,5.3064,5.4203,5.1926,5.3081,249912,ONGC
2001-06-25,5.2897,5.4069,5.2897,5.3617,352584,ONGC
2001-06-26,5.3567,5.4119,5.2679,5.3332,199737,ONGC
2001-06-27,5.3483,5.3533,5.2562,5.3048,30303,ONGC
2001-06-28,5.2378,5.273,5.0989,5.2127,210465,ONGC
2001-07-01,4.7725,5.3567,4.6871,5.1876,111780,ONGC
2001-07-02,5.1725,5.2177,5.0888,5.1976,34398,ONGC
2001-07-03,5.0888,5.2562,5.0888,5.2495,21096,ONGC
2001-07-04,5.1591,5.3734,5.1591,5.3382,26343,ONGC
2001-07-05,5.355,5.4889,5.1608,5.2227,36675,ONGC
2001-07-08,5.2278,5.2278,5.1474,5.1759,207405,ONGC
2001-07-09,5.1474,5.2897,5.1407,5.2864,45711,ONGC
2001-07-10,5.2897,5.3567,5.2077,5.3332,37179,ONGC
2001-07-11,5.3516,5.3516,5.1976,5.2294,10926,ONGC
2001-07-12,5.2278,6.0262,5.2261,5.7182,60660,ONGC
2001-07-15,5.7685,5.7685,5.5977,5.6764,69912,ONGC
2001-07-16,5.591,5.6915,5.5274,5.6178,144495,ONGC
2001-07-17,5.658,5.7534,5.5308,5.5475,64674,ONGC
2001-07-18,5.6412,5.658,5.509,5.6178,54000,ONGC
2001-07-19,5.5241,5.6245,5.4989,5.586,22185,ONGC
2001-07-22,5.365,5.365,5.365,5.365,450,ONGC
2001-07-23,5.3567,5.5241,5.3567,5.4086,19593,ONGC
2001-07-24,5.3131,5.3567,5.2261,5.3048,32085,ONGC
2001-07-25,5.1558,5.2897,5.1558,5.2746,61713,ONGC
