date,open,high,low,close,volume,symbol
2000-12-31,18.311,18.5075,18.2571,18.4052,42128577,RELIANCE
2001-01-01,18.3298,19.3342,18.3244,19.0811,92764775,RELIANCE
2001-01-02,19.1188,19.4796,19.0111,19.3908,123856212,RELIANCE
2001-01-03,19.3396,19.7597,19.1834,19.2696,83784183,RELIANCE
2001-01-04,19.1996,19.7543,19.1996,19.6197,104474953,RELIANCE
2001-01-07,19.5227,19.7893,19.24,19.3988,95828393,RELIANCE
2001-01-08,19.3558,19.485,19.2319,19.2777,63211442,RELIANCE
2001-01-09,19.31,19.4662,18.8037,18.9411,66251757,RELIANCE
2001-01-10,18.9842,19.2427,18.9034,19.1619,57008778,RELIANCE
2001-01-11,19.2238,19.3019,19.0649,19.0946,33646611,RELIANCE
2001-01-14,19.0676,19.1996,18.9572,19.1484,27697623,RELIANCE
2001-01-15,19.1484,19.9482,19.1484,19.8405,145605043,RELIANCE
2001-01-16,19.9859,20.0047,19.4554,19.4985,58317336,RELIANCE
2001-01-17,19.5496,19.7381,19.4608,19.6439,38235547,RELIANCE
2001-01-18,19.6627,20.1313,19.6627,19.8782,91923124,RELIANCE
2001-01-21,19.8728,20.2444,19.8243,20.169,106260122,RELIANCE
2001-01-22,20.1824,20.6941,20.1824,20.554,115872538,RELIANCE
2001-01-23,20.7022,20.7075,20.3844,20.484,76479540,RELIANCE
2001-01-24,20.546,20.6537,20.2848,20.5567,62876484,RELIANCE
2001-01-25,20.5567,20.5567,20.5567,20.5567,0,RELIANCE
2001-01-28,20.4652,20.4652,19.4419,20.3386,71061907,RELIANCE
2001-01-29,20.3871,21.0576,20.3871,20.9849,147232440,RELIANCE
2001-01-30,21.8116,21.8116,20.519,20.7129,82628245,RELIANCE
2001-01-31,20.6537,20.9283,20.072,20.7964,178438559,RELIANCE
2001-02-01,20.7075,21.3215,20.6779,21.2461,141852072,RELIANCE
2001-02-04,21.1707,21.5692,21.0172,21.4965,149430501,RELIANCE
2001-02-05,21.5423,21.6769,21.3403,21.4265,84708376,RELIANCE
2001-02-06,21.308,21.4319,21.1115,21.1895,50935108,RELIANCE
2001-02-07,21.0684,21.405,21.0307,21.3242,66988585,RELIANCE
2001-02-08,21.3807,21.65,21.2326,21.4831,97611280,RELIANCE
2001-02-11,21.3403,21.887,21.2865,21.5719,92278010,RELIANCE
2001-02-12,21.65,22.1832,21.4077,22.0836,119497901,RELIANCE
2001-02-13,22.3421,22.4794,22.0566,22.3798,125432815,RELIANCE
2001-02-14,22.3501,22.9102,22.2424,22.7648,205960791,RELIANCE
2001-02-15,22.8295,23.123,22.6194,22.7514,177636541,RELIANCE
2001-02-18,22.781,22.9991,22.5386,22.9075,89147661,RELIANCE
2001-02-19,22.8348,22.9722,22.6733,22.7702,100213930,RELIANCE
2001-02-20,22.7837,22.8806,22.194,22.3017,110495812,RELIANCE
2001-02-21,22.2424,22.5656,22.0055,22.3313,109056397,RELIANCE
2001-02-22,22.3528,22.6517,22.0593,22.1509,108219311,RELIANCE
2001-02-25,22.0916,22.237,21.7173,21.8789,87129836,RELIANCE
2001-02-26,21.9462,22.0405,21.3969,21.6554,78573731,RELIANCE
2001-02-27,21.65,22.6194,21.5773,22.3017,154742009,RELIANCE
2001-02-28,22.404,24.0197,22.404,23.5996,223194307,RELIANCE
2001-03-01,23.6965,24.2889,22.3582,22.5709,187886955,RELIANCE
2001-03-04,22.6463,22.8887,21.6769,22.0082,132200024,RELIANCE
2001-03-05,22.0082,22.0082,22.0082,22.0082,0,RELIANCE
2001-03-06,22.1886,22.8725,21.4669,22.1886,105663297,RELIANCE
2001-03-07,22.2667,22.6275,22.0297,22.264,62047073,RELIANCE
2001-03-08,22.1401,22.1401,21.4696,22.0539,54988278,RELIANCE
2001-03-11,22.0324,22.1886,21.65,21.9731,51412616,RELIANCE
2001-03-12,21.5989,22.5386,20.2175,20.9014,73733177,RELIANCE
2001-03-13,20.9499,21.8062,20.7425,21.51,47229178,RELIANCE
2001-03-14,21.1653,21.6204,20.9014,21.3942,34790561,RELIANCE
2001-03-15,21.2192,21.5019,20.4167,20.6806,44860430,RELIANCE
2001-03-18,20.519,20.896,20.2282,20.5998,31633267,RELIANCE
2001-03-19,20.6806,20.721,19.9536,20.107,25515540,RELIANCE
2001-03-20,20.2767,21.7173,19.6708,21.6123,46522683,RELIANCE
2001-03-21,21.8304,22.0162,21.0576,21.1869,40167819,RELIANCE
2001-03-22,21.2192,21.5773,20.1582,20.441,49623609,RELIANCE
2001-03-25,20.4652,20.8206,20.2552,20.6914,24811230,RELIANCE
2001-03-26,20.6268,21.2407,20.5567,21.0414,41114839,RELIANCE
2001-03-27,21.273,21.8116,21.1976,21.65,37356183,RELIANCE
2001-03-28,21.6096,21.8574,21.2192,21.3511,53399898,RELIANCE
2001-03-29,21.2246,21.3646,20.8233,20.9795,34400048,RELIANCE
2001-04-01,20.8153,21.2084,20.1717,21.0603,39069902,RELIANCE
2001-04-02,21.0037,21.273,20.7883,21.0495,21535935,RELIANCE
2001-04-03,20.4733,20.8799,20.3709,20.6321,20329316,RELIANCE
2001-04-04,20.6321,20.6321,20.6321,20.6321,0,RELIANCE
2001-04-05,20.6268,21.1626,20.519,20.6133,16347064,RELIANCE
2001-04-08,20.476,20.6645,18.9438,19.24,68517838,RELIANCE
2001-04-09,19.1296,19.1296,17.5731,17.697,51180311,RELIANCE
2001-04-10,17.7724,18.179,16.5149,17.4627,79577889,RELIANCE
2001-04-11,17.1261,17.1261,15.7313,16.014,91028313,RELIANCE
2001-04-12,16.014,16.014,16.014,16.014,0,RELIANCE
2001-04-15,15.7582,16.8569,15.6182,16.5957,63144487,RELIANCE
2001-04-16,16.5337,17.3308,16.4799,16.9753,55346202,RELIANCE
2001-04-17,16.9107,17.767,16.3183,17.6216,92069344,RELIANCE
2001-04-18,17.7697,20.3898,17.7697,19.9132,148974490,RELIANCE
2001-04-19,19.9212,20.1905,19.0165,19.3261,80686282,RELIANCE
2001-04-22,19.1188,19.5712,18.8899,19.0703,45602314,RELIANCE
2001-04-23,18.9141,19.0111,18.5533,18.8199,37334378,RELIANCE
2001-04-24,18.8495,19.5496,18.7418,19.3154,69473779,RELIANCE
2001-04-25,19.8196,20.1193,19.344,19.5117,71457307,RELIANCE
2001-04-26,19.3,19.3,18.2882,18.9893,72373573,RELIANCE
2001-04-29,19.1735,19.4319,18.3652,18.8326,46574990,RELIANCE
2001-04-30,18.8326,18.8326,18.8326,18.8326,0,RELIANCE
2001-05-01,18.8051,19.0525,18.4862,18.8216,31688179,RELIANCE
2001-05-02,18.7501,19.179,18.6759,18.9123,32772960,RELIANCE
2001-05-03,18.8683,19.025,18.7501,18.8986,17594955,RELIANCE
2001-05-06,18.8601,19.102,18.6704,18.7446,15749006,RELIANCE
2001-05-07,18.7226,19.146,18.6979,19.0305,30808142,RELIANCE
2001-05-08,19.08,19.6739,19.0553,19.3412,62306141,RELIANCE
2001-05-09,19.3495,19.6134,19.278,19.5282,30532185,RELIANCE
