date,open,high,low,close,volume,symbol
2017-10-02,721.6108,726.5197,688.9174,694.6608,35367877,SBILIFE
2017-10-03,697.2135,697.8025,686.2666,690.8319,3613280,SBILIFE
2017-10-04,691.7155,691.7155,673.6016,681.8976,2680742,SBILIFE
2017-10-05,681.2596,689.212,676.4488,684.0576,1416485,SBILIFE
2017-10-08,681.4558,689.7028,681.4558,685.923,951473,SBILIFE
2017-10-09,685.6284,688.4266,682.8795,687.2484,555002,SBILIFE
2017-10-10,687.2484,690.1937,673.5034,677.3324,1077409,SBILIFE
2017-10-11,678.5105,681.3577,672.5217,675.1725,439314,SBILIFE
2017-10-12,676.3997,682.3886,667.6127,677.136,1344510,SBILIFE
2017-10-15,673.5034,676.8905,656.8131,657.893,971834,SBILIFE
2017-10-16,658.2858,661.7221,656.8132,660.7894,664335,SBILIFE
2017-10-17,658.7767,660.5929,652.0515,656.2241,415712,SBILIFE
2017-10-18,653.9659,665.8946,653.9659,662.8019,93358,SBILIFE
2017-10-22,657.7948,661.5256,652.8859,653.6713,292330,SBILIFE
2017-10-23,651.7078,659.2185,650.9224,653.7205,350373,SBILIFE
2017-10-24,654.8495,661.182,646.1116,657.6967,583868,SBILIFE
2017-10-25,657.6968,657.6968,648.468,654.7023,242175,SBILIFE
2017-10-26,651.1188,653.9169,646.9953,650.137,396395,SBILIFE
2017-10-29,652.886,652.886,638.0611,643.0682,1164020,SBILIFE
2017-10-30,643.8535,656.813,643.8535,650.0387,1402840,SBILIFE
2017-10-31,651.9041,652.7386,630.5503,635.2629,859011,SBILIFE
2017-11-01,635.2629,641.6935,629.5194,631.0412,574130,SBILIFE
2017-11-02,631.3358,641.5954,629.4213,630.5504,672547,SBILIFE
2017-11-05,630.9431,647.8788,630.9431,644.7862,483071,SBILIFE
2017-11-06,646.9953,646.9953,627.8996,630.6486,763293,SBILIFE
2017-11-07,637.1774,637.1774,617.5417,620.0943,843603,SBILIFE
2017-11-08,621.4688,658.1876,621.4688,645.9644,356798,SBILIFE
2017-11-09,643.1663,666.8273,643.1663,664.2255,784443,SBILIFE
2017-11-12,652.886,668.3982,650.9224,652.886,192279,SBILIFE
2017-11-13,643.2644,655.5858,642.0863,647.977,350594,SBILIFE
2017-11-14,638.2573,648.0261,632.6612,637.521,269314,SBILIFE
2017-11-15,636.7846,647.1915,631.0903,638.061,261879,SBILIFE
2017-11-16,641.1046,651.6097,633.3485,647.5353,3200674,SBILIFE
2017-11-19,645.3262,652.886,644.5408,649.4006,712433,SBILIFE
2017-11-20,647.977,683.714,647.977,674.927,2077453,SBILIFE
2017-11-21,676.4488,686.2175,668.7418,680.5232,669175,SBILIFE
2017-11-22,676.4488,676.4488,651.9042,654.1623,827451,SBILIFE
2017-11-23,655.8314,658.2367,643.0682,643.7554,599114,SBILIFE
2017-11-26,643.6081,650.6279,639.9755,641.7918,239417,SBILIFE
2017-11-27,641.1046,654.8005,640.1228,641.5464,269211,SBILIFE
2017-11-28,642.1354,646.4062,638.9446,644.2462,258606,SBILIFE
2017-11-29,653.8187,653.8187,641.9391,642.97,316178,SBILIFE
2017-11-30,646.0135,646.0135,640.3682,643.9518,86648,SBILIFE
