date,open,high,low,close,volume,symbol
2002-06-30,1.2525,1.2525,1.2003,1.2055,64627,SHRIRAMFIN
2002-07-01,1.2107,1.2525,1.2055,1.242,67809,SHRIRAMFIN
2002-07-02,1.2003,1.242,1.1846,1.2003,350504,SHRIRAMFIN
2002-07-03,1.2055,1.2368,1.2003,1.2055,71611,SHRIRAMFIN
2002-07-04,1.2629,1.2629,1.1951,1.2264,109523,SHRIRAMFIN
2002-07-07,1.2211,1.2368,1.2055,1.2159,48232,SHRIRAMFIN
2002-07-08,1.2994,1.2994,1.2159,1.242,59013,SHRIRAMFIN
2002-07-09,1.2577,1.2681,1.2211,1.2264,88510,SHRIRAMFIN
2002-07-10,1.2316,1.2525,1.2107,1.2316,40498,SHRIRAMFIN
2002-07-11,1.2107,1.2316,1.1898,1.1951,42771,SHRIRAMFIN
2002-07-14,1.2211,1.2211,1.169,1.1898,48601,SHRIRAMFIN
2002-07-15,1.2107,1.2107,1.169,1.2055,31944,SHRIRAMFIN
2002-07-16,1.1742,1.1951,1.1533,1.1794,37204,SHRIRAMFIN
2002-07-17,1.169,1.4195,1.169,1.4195,248765,SHRIRAMFIN
2002-07-18,1.4612,1.7065,1.3673,1.7065,1821085,SHRIRAMFIN
2002-07-21,1.7065,1.8787,1.5708,1.6699,1296691,SHRIRAMFIN
2002-07-22,1.6021,1.7273,1.3568,1.4508,905236,SHRIRAMFIN
2002-07-23,1.4351,1.4351,1.3307,1.3516,91665,SHRIRAMFIN
2002-07-24,1.409,1.503,1.3412,1.3568,116754,SHRIRAMFIN
2002-07-25,1.3568,1.3881,1.2107,1.2525,146409,SHRIRAMFIN
2002-07-28,1.2525,1.409,1.2264,1.2681,59624,SHRIRAMFIN
2002-07-29,1.2733,1.2733,1.2316,1.2368,38281,SHRIRAMFIN
2002-07-30,1.1898,1.2525,1.1898,1.2472,102683,SHRIRAMFIN
2002-07-31,1.2316,1.2629,1.2264,1.2316,49776,SHRIRAMFIN
2002-08-01,1.2629,1.2629,1.2264,1.242,12767,SHRIRAMFIN
2002-08-04,1.242,1.2629,1.2316,1.2472,16646,SHRIRAMFIN
2002-08-05,1.2525,1.3307,1.2525,1.3307,25031,SHRIRAMFIN
2002-08-06,1.3046,1.3464,1.3046,1.3151,60024,SHRIRAMFIN
2002-08-07,1.3046,1.3046,1.2316,1.2525,26828,SHRIRAMFIN
2002-08-08,1.2681,1.2681,1.242,1.2525,69020,SHRIRAMFIN
2002-08-11,1.242,1.2733,1.242,1.2681,9447,SHRIRAMFIN
2002-08-12,1.2525,1.2786,1.2525,1.2629,14548,SHRIRAMFIN
2002-08-13,1.2525,1.2786,1.242,1.2577,13254,SHRIRAMFIN
2002-08-14,1.2577,1.2577,1.2577,1.2577,0,SHRIRAMFIN
2002-08-15,1.4299,1.4299,1.2316,1.2733,18304,SHRIRAMFIN
2002-08-18,1.2786,1.2786,1.242,1.2681,16287,SHRIRAMFIN
2002-08-19,1.2525,1.2629,1.2525,1.2629,20613,SHRIRAMFIN
2002-08-20,1.2525,1.2681,1.242,1.2577,29306,SHRIRAMFIN
2002-08-21,1.2786,1.2786,1.2525,1.2525,19269,SHRIRAMFIN
2002-08-22,1.2525,1.2786,1.1742,1.1951,147949,SHRIRAMFIN
2002-08-25,1.1794,1.1794,1.0802,1.122,516193,SHRIRAMFIN
2002-08-26,1.1951,1.1951,1.1272,1.1377,303981,SHRIRAMFIN
2002-08-27,1.169,1.169,1.1168,1.122,151926,SHRIRAMFIN
2002-08-28,1.169,1.169,1.0855,1.1063,172175,SHRIRAMFIN
2002-08-29,1.1272,1.1377,1.0959,1.0959,94688,SHRIRAMFIN
2002-09-01,1.1742,1.1951,1.122,1.1481,115512,SHRIRAMFIN
2002-09-02,1.1116,1.1951,1.1116,1.1742,86288,SHRIRAMFIN
2002-09-03,1.2003,1.2159,1.1429,1.1481,93446,SHRIRAMFIN
2002-09-04,1.1846,1.1898,1.1429,1.1429,34145,SHRIRAMFIN
2002-09-05,1.2107,1.2107,1.1481,1.1637,32318,SHRIRAMFIN
2002-09-08,1.1794,1.2055,1.1585,1.1951,45676,SHRIRAMFIN
2002-09-09,1.1951,1.1951,1.1951,1.1951,0,SHRIRAMFIN
2002-09-10,1.1898,1.2107,1.1898,1.2055,33576,SHRIRAMFIN
2002-09-11,1.2111,1.2447,1.1999,1.2167,40750,SHRIRAMFIN
2002-09-12,1.2111,1.312,1.2111,1.3064,200666,SHRIRAMFIN
2002-09-15,1.2672,1.2896,1.2279,1.2728,90998,SHRIRAMFIN
2002-09-16,1.2672,1.2896,1.2335,1.2391,24098,SHRIRAMFIN
2002-09-17,1.2447,1.284,1.2335,1.256,26684,SHRIRAMFIN
2002-09-18,1.2391,1.2784,1.2335,1.2335,54877,SHRIRAMFIN
2002-09-19,1.2672,1.312,1.2672,1.2896,86472,SHRIRAMFIN
2002-09-22,1.2616,1.3457,1.2616,1.3288,197772,SHRIRAMFIN
2002-09-23,1.2896,1.3849,1.2896,1.3569,69097,SHRIRAMFIN
2002-09-24,1.3176,1.3569,1.3176,1.3457,60614,SHRIRAMFIN
2002-09-25,1.3457,1.3457,1.3345,1.3345,24631,SHRIRAMFIN
2002-09-26,1.2952,1.3569,1.2952,1.3401,18812,SHRIRAMFIN
2002-09-29,1.2896,1.3457,1.2896,1.3064,113757,SHRIRAMFIN
2002-09-30,1.2952,1.3457,1.2896,1.2896,17745,SHRIRAMFIN
2002-10-01,1.2896,1.2896,1.2896,1.2896,0,SHRIRAMFIN
2002-10-02,1.3457,1.4186,1.3401,1.3401,33283,SHRIRAMFIN
