date,open,high,low,close,volume,symbol
2000-12-31,10.3474,10.4241,9.9642,10.0581,1334078,SUNPHARMA
2001-01-01,10.1357,10.3187,10.0408,10.2373,1057373,SUNPHARMA
2001-01-02,10.3283,11.0181,10.2133,10.93,3564112,SUNPHARMA
2001-01-03,11.0545,11.3055,10.6732,10.7403,3714513,SUNPHARMA
2001-01-04,10.6349,10.9989,10.5774,10.7585,1651707,SUNPHARMA
2001-01-07,10.8265,10.9204,10.4049,10.5208,1506685,SUNPHARMA
2001-01-08,10.587,10.7307,10.4452,10.5065,1383911,SUNPHARMA
2001-01-09,10.9031,10.9031,10.5582,10.5726,684704,SUNPHARMA
2001-01-10,10.61,10.7307,10.5055,10.54,607416,SUNPHARMA
2001-01-11,10.6157,10.6349,10.2516,10.3273,1513742,SUNPHARMA
2001-01-14,10.3666,10.4624,10.1788,10.3168,770986,SUNPHARMA
2001-01-15,10.4011,10.8083,10.3743,10.585,2088109,SUNPHARMA
2001-01-16,10.7106,10.8437,10.4461,10.5122,1365148,SUNPHARMA
2001-01-17,10.5582,10.6722,10.4001,10.5333,661466,SUNPHARMA
2001-01-18,10.4672,11.1139,10.4672,11.0334,3054984,SUNPHARMA
2001-01-21,11.2097,11.6888,11.2097,11.294,2392743,SUNPHARMA
2001-01-22,11.3247,11.3803,10.7498,10.8753,2288989,SUNPHARMA
2001-01-23,11.0555,11.1139,10.8648,10.9961,1189701,SUNPHARMA
2001-01-24,10.884,11.0948,10.884,10.9951,1605404,SUNPHARMA
2001-01-25,10.9951,10.9951,10.9951,10.9951,0,SUNPHARMA
2001-01-28,10.7307,11.1139,10.4241,10.9415,1990122,SUNPHARMA
2001-01-29,10.9223,11.5546,10.9031,11.4349,2060051,SUNPHARMA
2001-01-30,11.5355,11.8037,11.158,11.6198,4726272,SUNPHARMA
2001-01-31,11.5556,11.593,11.2672,11.4071,1827327,SUNPHARMA
2001-02-01,11.3055,11.5882,11.2308,11.5383,1867692,SUNPHARMA
2001-02-04,11.5738,11.774,11.363,11.4655,3153874,SUNPHARMA
2001-02-05,11.5527,11.593,11.4416,11.5077,1784250,SUNPHARMA
2001-02-06,11.5738,11.6888,11.5355,11.546,1568223,SUNPHARMA
2001-02-07,11.593,11.6121,11.5163,11.547,726446,SUNPHARMA
2001-02-08,11.5163,11.6313,11.3439,11.4368,2228441,SUNPHARMA
2001-02-11,11.4972,11.6888,11.4933,11.5374,1574635,SUNPHARMA
2001-02-12,11.5546,11.6648,11.4397,11.4924,1894072,SUNPHARMA
2001-02-13,11.4972,11.591,11.1925,11.4042,1185355,SUNPHARMA
2001-02-14,11.4962,11.4962,11.3486,11.4349,464674,SUNPHARMA
2001-02-15,11.4033,11.478,11.3055,11.4109,690729,SUNPHARMA
2001-02-18,11.3439,11.478,11.1906,11.2662,511581,SUNPHARMA
2001-02-19,11.2289,11.4397,11.2289,11.3324,1037277,SUNPHARMA
2001-02-20,11.3247,11.3822,11.1455,11.1896,467084,SUNPHARMA
2001-02-21,11.1522,11.2557,10.9798,11.1886,981807,SUNPHARMA
2001-02-22,11.2289,11.3027,11.0401,11.1417,1061375,SUNPHARMA
2001-02-25,11.2097,11.3055,10.9539,11.248,591408,SUNPHARMA
2001-02-26,11.3439,11.4013,11.1139,11.2251,885498,SUNPHARMA
2001-02-27,12.1228,12.1228,11.0181,11.3027,1243536,SUNPHARMA
2001-02-28,11.1522,11.8421,11.1331,11.1953,2017620,SUNPHARMA
2001-03-01,11.4397,11.4665,10.9223,11.0928,1583500,SUNPHARMA
2001-03-04,11.181,11.181,10.5822,11.0066,2180889,SUNPHARMA
2001-03-05,11.0066,11.0066,11.0066,11.0066,0,SUNPHARMA
2001-03-06,11.8871,11.8871,10.1271,10.3532,2714116,SUNPHARMA
2001-03-07,10.3474,10.3474,9.8301,9.9623,2340457,SUNPHARMA
2001-03-08,9.8492,9.8492,9.1661,9.5532,717926,SUNPHARMA
2001-03-11,9.3893,9.5043,9.2744,9.3251,718872,SUNPHARMA
2001-03-12,8.8432,9.1211,8.2588,8.6478,1030735,SUNPHARMA
2001-03-13,8.7953,9.0636,8.6229,8.8566,1400608,SUNPHARMA
2001-03-14,8.6229,10.1175,8.6047,9.6509,994028,SUNPHARMA
2001-03-15,9.6049,10.06,9.2169,9.8521,759066,SUNPHARMA
2001-03-18,9.6959,9.9642,9.5331,9.7668,322535,SUNPHARMA
2001-03-19,9.7726,10.3283,9.581,10.2095,1007282,SUNPHARMA
2001-03-20,9.8684,10.3666,9.7726,10.2861,762336,SUNPHARMA
2001-03-21,10.3474,10.6722,10.3474,10.5975,1616377,SUNPHARMA
2001-03-22,10.5199,10.6885,10.0025,10.472,2033973,SUNPHARMA
2001-03-25,10.3474,10.4624,10.2516,10.4423,424782,SUNPHARMA
2001-03-26,10.1941,11.0181,10.1941,10.8294,1214316,SUNPHARMA
2001-03-27,11.4569,11.4569,10.8361,11.2279,593774,SUNPHARMA
2001-03-28,11.0583,11.1139,10.7709,11.0315,645673,SUNPHARMA
2001-03-29,10.9223,11.0171,10.3666,10.4135,781228,SUNPHARMA
2001-04-01,10.175,10.175,9.4277,9.4622,501166,SUNPHARMA
2001-04-02,9.3702,10.6349,9.3702,10.2899,1591504,SUNPHARMA
2001-04-03,9.8703,10.6291,9.8703,10.2967,1028799,SUNPHARMA
2001-04-04,10.2967,10.2967,10.2967,10.2967,0,SUNPHARMA
2001-04-05,10.6349,10.8246,10.2516,10.632,1685833,SUNPHARMA
2001-04-08,10.6732,10.6732,10.2784,10.5218,902711,SUNPHARMA
2001-04-09,10.4452,10.5563,10.2708,10.3704,949402,SUNPHARMA
2001-04-10,10.3091,10.3858,9.6212,9.7314,455336,SUNPHARMA
2001-04-11,9.5819,9.5819,9.0454,9.3568,989122,SUNPHARMA
2001-04-12,9.3568,9.3568,9.3568,9.3568,0,SUNPHARMA
2001-04-15,9.5235,9.6566,9.1584,9.2983,593000,SUNPHARMA
2001-04-16,9.2954,9.5426,9.237,9.3491,1059611,SUNPHARMA
2001-04-17,9.557,10.0974,9.5426,9.8454,1534571,SUNPHARMA
2001-04-18,9.945,10.3225,9.8329,10.1338,2098911,SUNPHARMA
2001-04-19,10.2516,10.5007,9.9642,10.3446,1573430,SUNPHARMA
2001-04-22,10.4241,10.4241,10.1558,10.2679,551559,SUNPHARMA
2001-04-23,10.1941,10.4423,10.1941,10.4222,882184,SUNPHARMA
2001-04-24,10.4432,10.6349,10.3858,10.4107,505986,SUNPHARMA
2001-04-25,10.5391,10.5391,10.3474,10.3561,245419,SUNPHARMA
2001-04-26,10.06,10.2516,9.6873,10.0763,568428,SUNPHARMA
2001-04-29,9.9642,10.6924,9.9642,10.5515,917773,SUNPHARMA
2001-04-30,10.5515,10.5515,10.5515,10.5515,0,SUNPHARMA
2001-05-01,10.8054,10.8054,10.4432,10.5228,723864,SUNPHARMA
2001-05-02,10.5007,10.7297,10.3474,10.5381,402577,SUNPHARMA
2001-05-03,10.4432,11.8794,10.4432,11.6284,2998223,SUNPHARMA
2001-05-06,11.6888,12.0528,11.4205,11.9724,2160104,SUNPHARMA
2001-05-07,11.9762,12.2636,11.7846,12.117,1523855,SUNPHARMA
2001-05-08,11.9762,12.072,11.7702,11.8622,977546,SUNPHARMA
2001-05-09,11.9187,11.9819,11.7846,11.8037,412733,SUNPHARMA
2001-05-10,11.8037,11.8804,11.6121,11.8162,660347,SUNPHARMA
2001-05-13,11.8421,11.8785,11.7654,11.8009,173338,SUNPHARMA
2001-05-14,11.6888,11.8421,11.2289,11.7721,485244,SUNPHARMA
2001-05-15,11.6888,12.3729,11.593,11.9637,2435776,SUNPHARMA
2001-05-16,12.072,12.072,11.8325,11.9216,981893,SUNPHARMA
2001-05-17,11.9762,12.0049,11.8852,11.9427,350550,SUNPHARMA
2001-05-20,11.8421,11.9954,10.7307,10.8495,1423157,SUNPHARMA
2001-05-21,11.2097,11.936,11.0181,11.8114,2561347,SUNPHARMA
2001-05-22,11.7846,11.8804,11.6313,11.799,1153940,SUNPHARMA
2001-05-23,11.7846,11.8229,11.593,11.637,371033,SUNPHARMA
2001-05-24,11.6869,11.6869,11.4397,11.5096,1143268,SUNPHARMA
2001-05-27,11.6121,11.6121,11.4971,11.4991,704887,SUNPHARMA
2001-05-28,11.4972,11.5546,11.4588,11.5019,704241,SUNPHARMA
2001-05-29,11.6504,12.3978,11.5355,11.6667,1234757,SUNPHARMA
2001-05-30,11.3994,11.5537,11.3822,11.4674,389495,SUNPHARMA
2001-05-31,11.4972,11.4972,11.3247,11.4167,180137,SUNPHARMA
2001-06-03,11.5144,11.7817,11.3822,11.4646,1070843,SUNPHARMA
2001-06-04,11.478,11.4971,11.2672,11.318,524318,SUNPHARMA
2001-06-05,11.4588,11.593,11.2682,11.3103,451334,SUNPHARMA
2001-06-06,11.1666,11.3036,10.9989,11.1714,502156,SUNPHARMA
2001-06-07,11.3822,11.478,11.2107,11.2883,682853,SUNPHARMA
2001-06-10,11.3055,11.3055,11.1139,11.1484,329205,SUNPHARMA
2001-06-11,11.1714,11.2413,11.0756,11.1091,653376,SUNPHARMA
2001-06-12,11.1542,11.1906,10.9606,11.1149,821421,SUNPHARMA
2001-06-13,10.9999,11.3036,10.9999,11.1149,610600,SUNPHARMA
2001-06-14,11.0037,11.1714,10.9606,11.1149,699507,SUNPHARMA
2001-06-17,11.0564,11.1139,10.654,11.0248,450172,SUNPHARMA
2001-06-18,11.0181,11.386,10.9309,11.2835,520058,SUNPHARMA
2001-06-19,11.1542,11.5891,11.044,11.3946,623596,SUNPHARMA
2001-06-20,11.4071,11.4924,11.248,11.3946,560854,SUNPHARMA
2001-06-21,11.4205,11.4972,11.3055,11.454,339877,SUNPHARMA
2001-06-24,11.3448,11.3879,11.0737,11.1254,216414,SUNPHARMA
2001-06-25,11.1139,11.4013,11.0421,11.0986,468289,SUNPHARMA
2001-06-26,10.9223,11.3151,10.6923,10.8667,191111,SUNPHARMA
2001-06-27,10.884,11.065,10.4528,10.5525,464631,SUNPHARMA
2001-06-28,10.5391,10.6732,9.878,9.9584,2108120,SUNPHARMA
2001-07-01,9.8684,10.06,9.7917,9.9077,593301,SUNPHARMA
2001-07-02,9.6768,10.0408,9.6768,9.9153,482662,SUNPHARMA
2001-07-03,9.9058,9.9058,9.4344,9.6614,144032,SUNPHARMA
2001-07-04,9.6384,9.8435,9.4852,9.5819,392507,SUNPHARMA
2001-07-05,9.5781,9.6001,9.4698,9.5331,62828,SUNPHARMA
2001-07-08,9.7333,10.6119,9.5838,10.3886,1064775,SUNPHARMA
2001-07-09,10.5295,10.5295,9.9834,10.2957,328215,SUNPHARMA
2001-07-10,10.174,10.3168,10.0236,10.0763,97599,SUNPHARMA
2001-07-11,10.1558,10.3474,10.1175,10.1922,204064,SUNPHARMA
2001-07-12,10.4432,11.0181,10.3474,10.6559,530085,SUNPHARMA
2001-07-15,10.8648,10.8648,10.175,10.2784,108530,SUNPHARMA
2001-07-16,10.3168,10.5713,10.3013,10.5084,5970712,SUNPHARMA
2001-07-17,10.3168,10.5142,10.3168,10.4764,32662,SUNPHARMA
2001-07-18,10.3758,10.8394,10.3758,10.7455,525825,SUNPHARMA
2001-07-19,10.6381,11.2265,10.6177,11.1249,1604156,SUNPHARMA
2001-07-22,11.1297,11.1491,11.0426,11.1258,53017,SUNPHARMA
2001-07-23,11.0329,11.6717,10.9749,11.5807,4276271,SUNPHARMA
2001-07-24,11.4413,11.5168,11.3088,11.4094,786048,SUNPHARMA
2001-07-25,11.3446,11.4936,11.2952,11.423,522038,SUNPHARMA
2001-07-26,12.2911,12.2911,11.5004,11.5468,1058578,SUNPHARMA
2001-07-29,11.5362,11.8062,11.422,11.6988,1194090,SUNPHARMA
2001-07-30,11.4394,11.6136,11.4394,11.5904,241030,SUNPHARMA
2001-07-31,11.6039,11.6136,11.1975,11.3088,376241,SUNPHARMA
2001-08-01,11.3039,11.3775,11.1104,11.1742,169207,SUNPHARMA
2001-08-02,11.36,11.4859,11.1297,11.3707,140461,SUNPHARMA
2001-08-05,11.2691,11.3688,11.2652,11.2904,34943,SUNPHARMA
2001-08-06,11.3233,11.4181,11.1355,11.2042,93984,SUNPHARMA
2001-08-07,11.4046,11.4046,11.1462,11.302,165076,SUNPHARMA
2001-08-08,11.1878,11.2265,10.8781,10.9449,287678,SUNPHARMA
2001-08-09,11.4191,11.4191,10.3555,10.5374,400253,SUNPHARMA
2001-08-12,10.6458,10.911,10.6458,10.7494,151305,SUNPHARMA
2001-08-13,10.7426,10.7803,10.5316,10.6381,114640,SUNPHARMA
2001-08-14,10.6381,10.6381,10.6381,10.6381,0,SUNPHARMA
2001-08-15,10.6458,10.7368,10.4232,10.4493,308119,SUNPHARMA
2001-08-16,10.6458,10.7378,10.4329,10.4919,144075,SUNPHARMA
2001-08-19,10.5103,10.5481,10.3168,10.3652,184139,SUNPHARMA
2001-08-20,10.761,10.761,10.2742,10.3061,240728,SUNPHARMA
2001-08-21,10.3061,10.3061,10.3061,10.3061,0,SUNPHARMA
2001-08-22,10.2742,10.6419,10.1155,10.2742,1370398,SUNPHARMA
2001-08-23,10.2587,10.4087,10.2587,10.3448,370646,SUNPHARMA
2001-08-26,10.4523,10.6932,10.3168,10.3313,776709,SUNPHARMA
2001-08-27,10.6265,10.6265,10.2926,10.4087,583963,SUNPHARMA
2001-08-28,10.3942,10.7803,10.3942,10.5432,687931,SUNPHARMA
2001-08-29,10.6265,10.8084,10.491,10.5335,636463,SUNPHARMA
2001-08-30,10.5887,10.6361,10.3284,10.3768,236425,SUNPHARMA
2001-09-02,10.5297,10.6052,10.2597,10.2935,171703,SUNPHARMA
2001-09-03,10.2616,10.3739,10.2606,10.3351,2792738,SUNPHARMA
2001-09-04,10.3361,10.549,10.3361,10.5258,448321,SUNPHARMA
2001-09-05,10.7223,11.6523,10.7039,11.4491,4882225,SUNPHARMA
2001-09-06,11.2265,11.5362,10.9362,11.1007,2730770,SUNPHARMA
2001-09-09,11.2323,11.3233,10.9942,11.1046,563393,SUNPHARMA
2001-09-10,10.8403,11.2052,10.8403,10.9226,367978,SUNPHARMA
2001-09-11,10.1087,11.2071,9.6974,10.97,1353701,SUNPHARMA
2001-09-12,11.1297,11.1297,10.6855,10.8132,418930,SUNPHARMA
2001-09-13,10.6458,10.7426,9.9916,10.2422,1154758,SUNPHARMA
2001-09-16,9.8716,9.8909,9.4148,9.769,1262944,SUNPHARMA
2001-09-17,9.8329,11.0329,9.8329,10.2635,966401,SUNPHARMA
2001-09-18,10.3555,10.6265,10.3555,10.5713,357091,SUNPHARMA
2001-09-19,10.4464,10.4532,9.979,10.159,1027465,SUNPHARMA
2001-09-20,10.0458,10.1619,9.9877,10.07,547858,SUNPHARMA
2001-09-23,10.0458,10.2974,9.7748,9.8638,1209281,SUNPHARMA
2001-09-24,10.0458,10.2568,10.0458,10.1987,419274,SUNPHARMA
2001-09-25,10.0651,10.1135,9.9103,10.0042,813503,SUNPHARMA
2001-09-26,10.0651,10.429,9.4845,10.2345,1943689,SUNPHARMA
2001-09-27,10.3555,10.4223,10.1038,10.3787,8624797,SUNPHARMA
2001-09-30,10.4329,10.4329,9.9896,10.0632,179965,SUNPHARMA
2001-10-01,10.0632,10.0632,10.0632,10.0632,0,SUNPHARMA
2001-10-02,10.1522,10.1716,9.7942,9.8503,480941,SUNPHARMA
2001-10-03,9.9684,10.0622,9.9296,9.9664,961667,SUNPHARMA
2001-10-04,9.9693,10.9362,9.9693,10.7958,4690167,SUNPHARMA
2001-10-07,10.549,10.8684,10.28,10.8219,1979923,SUNPHARMA
2001-10-08,10.7619,11.0552,10.7426,10.9526,1065722,SUNPHARMA
2001-10-09,10.941,11.0329,10.7436,10.8481,646361,SUNPHARMA
2001-10-10,10.9168,10.9168,10.5926,10.6439,700153,SUNPHARMA
2001-10-11,9.8716,10.7619,9.8716,10.6729,2185795,SUNPHARMA
2001-10-14,10.8374,10.9216,10.7136,10.7784,151778,SUNPHARMA
2001-10-15,10.8394,10.9584,10.6458,10.7126,279544,SUNPHARMA
2001-10-16,10.94,10.94,10.7039,10.8258,575442,SUNPHARMA
2001-10-17,10.7619,10.9303,10.6458,10.6913,196404,SUNPHARMA
2001-10-18,10.9168,11.1878,10.7426,10.9487,2027905,SUNPHARMA
2001-10-21,11.3039,11.3039,10.6071,10.7145,1762648,SUNPHARMA
2001-10-22,10.789,11.0252,10.6458,10.7523,771072,SUNPHARMA
2001-10-23,10.5684,10.8781,10.5684,10.7213,334627,SUNPHARMA
2001-10-24,10.82,10.8587,10.6719,10.8326,183193,SUNPHARMA
2001-10-25,10.8326,10.8326,10.8326,10.8326,0,SUNPHARMA
2001-10-28,10.8587,10.9362,10.6458,10.67,376671,SUNPHARMA
2001-10-29,10.7184,10.82,10.6458,10.7678,203289,SUNPHARMA
2001-10-30,10.82,10.8394,10.6845,10.73,175447,SUNPHARMA
