date,open,high,low,close,volume,symbol
2000-12-31,13.7878,14.3778,13.6046,14.1263,6322390,TATACONSUM
2001-01-01,14.2474,14.8996,14.1077,14.6791,6502400,TATACONSUM
2001-01-02,14.7784,15.6759,14.7505,15.5144,12135730,TATACONSUM
2001-01-03,15.7069,16.0516,15.2784,15.3871,10231660,TATACONSUM
2001-01-04,15.4958,15.8374,15.0983,15.7256,8023740,TATACONSUM
2001-01-07,15.7753,16.7131,15.5889,16.5361,13433590,TATACONSUM
2001-01-08,16.4647,16.9988,16.2411,16.7845,14269160,TATACONSUM
2001-01-09,17.3901,18.2223,17.0733,17.6571,25078860,TATACONSUM
2001-01-10,17.6882,17.7627,17.0795,17.2938,11697830,TATACONSUM
2001-01-11,17.1727,17.4522,16.8715,17.0547,6268540,TATACONSUM
2001-01-14,17.2658,17.6074,16.9864,17.1913,4353090,TATACONSUM
2001-01-15,17.2037,17.8683,17.0267,17.6602,10972980,TATACONSUM
2001-01-16,17.8559,17.8869,17.2037,17.2814,4559230,TATACONSUM
2001-01-17,17.328,17.328,16.9056,17.1354,3212580,TATACONSUM
2001-01-18,17.3155,17.5733,16.9553,17.3062,5087100,TATACONSUM
2001-01-21,17.2658,17.6043,16.9553,17.2193,5763590,TATACONSUM
2001-01-22,17.0982,18.3838,15.9616,17.9304,14339460,TATACONSUM
2001-01-23,18.3217,18.3217,17.1416,17.3683,8845820,TATACONSUM
2001-01-24,17.4522,17.4522,16.8062,16.9988,5321740,TATACONSUM
2001-01-25,16.9988,16.9988,16.9988,16.9988,0,TATACONSUM
2001-01-28,16.8,16.8,15.8374,16.4771,4421280,TATACONSUM
2001-01-29,16.4584,17.0702,16.4584,16.9149,5073440,TATACONSUM
2001-01-30,16.8559,17.446,16.7845,16.8715,5250050,TATACONSUM
2001-01-31,16.9553,17.1416,16.2349,16.5516,5802120,TATACONSUM
2001-02-01,16.5206,16.8311,16.3653,16.7752,3471600,TATACONSUM
2001-02-04,16.6603,17.8497,16.5268,17.7254,12032490,TATACONSUM
2001-02-05,17.949,18.6943,17.949,18.4179,10045810,TATACONSUM
2001-02-06,18.626,18.6912,17.8869,18.0515,5975490,TATACONSUM
2001-02-07,18.0111,18.508,18.0111,18.449,5675660,TATACONSUM
2001-02-08,18.508,19.2409,18.508,18.9707,11543100,TATACONSUM
2001-02-11,19.067,19.4893,18.8247,18.9552,9361190,TATACONSUM
2001-02-12,19.1229,19.1229,18.4583,18.6322,5256140,TATACONSUM
2001-02-13,18.5701,19.0607,18.1043,18.4397,5533820,TATACONSUM
2001-02-14,18.6198,18.9365,18.3993,18.4956,3651980,TATACONSUM
2001-02-15,18.6322,18.7564,17.4677,17.682,5924920,TATACONSUM
2001-02-18,17.6074,17.9925,16.5547,16.8187,4382080,TATACONSUM
2001-02-19,16.8311,17.1292,16.3498,16.4802,4960840,TATACONSUM
2001-02-20,16.6448,16.9398,16.179,16.3435,5962890,TATACONSUM
2001-02-21,16.21,16.3342,15.2318,15.5299,5647240,TATACONSUM
2001-02-22,15.2939,15.8995,14.8437,14.9989,9607700,TATACONSUM
2001-02-25,15.1138,15.6107,14.7971,15.3623,5351430,TATACONSUM
2001-02-26,15.5268,15.6448,14.6139,14.8965,7428390,TATACONSUM
2001-02-27,15.3902,17.1913,15.1014,16.6541,17617160,TATACONSUM
2001-02-28,17.0795,17.7006,16.5206,16.9025,15526790,TATACONSUM
2001-03-01,17.3869,17.4708,15.8374,16.12,6495980,TATACONSUM
2001-03-04,16.1479,16.3901,14.6139,14.8871,8919900,TATACONSUM
2001-03-05,14.8871,14.8871,14.8871,14.8871,0,TATACONSUM
2001-03-06,15.207,15.8374,14.2909,14.8157,5276550,TATACONSUM
2001-03-07,15.03,15.2163,14.7847,15.0144,3211060,TATACONSUM
2001-03-08,14.8126,14.8126,13.8158,14.2661,3418310,TATACONSUM
2001-03-11,14.1915,14.2847,13.145,13.3127,2800750,TATACONSUM
2001-03-12,13.1792,13.1792,11.1824,11.7072,5623700,TATACONSUM
2001-03-13,11.6141,13.409,11.6141,13.2071,3219050,TATACONSUM
2001-03-14,13.291,15.3219,13.1202,14.8592,5661420,TATACONSUM
2001-03-15,14.6542,15.592,13.9804,14.5486,3959980,TATACONSUM
2001-03-18,13.8561,14.7815,13.8561,14.5238,2224190,TATACONSUM
2001-03-19,14.5952,14.5952,13.912,14.2008,2274140,TATACONSUM
2001-03-20,14.1605,14.6573,13.8561,14.4337,2037850,TATACONSUM
2001-03-21,14.4089,14.5952,14.1046,14.2071,1217360,TATACONSUM
2001-03-22,14.0984,14.2847,13.6698,13.8561,1508470,TATACONSUM
2001-03-25,13.6667,13.9742,13.0456,13.1419,1451370,TATACONSUM
