date,open,high,low,close,volume,symbol
2025-10-14,403.0,403.0,388.0,390.85,26953550,TATAMOTORSPASSENGER VEHICLES
2025-10-15,395.45,400.45,389.55,396.8,21983750,TATAMOTORSPASSENGER VEHICLES
2025-10-16,396.8,402.5,392.25,396.6,16564540,TATAMOTORSPASSENGER VEHICLES
2025-10-19,400.05,403.4,396.6,399.75,10471670,TATAMOTORSPASSENGER VEHICLES
2025-10-20,402.8,403.4,400.05,401.85,3449156,TATAMOTORSPASSENGER VEHICLES
2025-10-22,407.5,408.9,403.6,405.85,14126000,TATAMOTORSPASSENGER VEHICLES
2025-10-23,406.95,408.5,401.0,403.3,6311744,TATAMOTORSPASSENGER VEHICLES
2025-10-26,404.0,411.4,403.65,410.05,10699370,TATAMOTORSPASSENGER VEHICLES
2025-10-27,411.3,414.15,408.55,411.5,10332270,TATAMOTORSPASSENGER VEHICLES
2025-10-28,412.5,415.0,407.05,411.35,8485023,TATAMOTORSPASSENGER VEHICLES
2025-10-29,412.7,419.0,408.1,412.45,8783965,TATAMOTORSPASSENGER VEHICLES
2025-10-30,414.05,417.5,409.05,410.0,8012169,TATAMOTORSPASSENGER VEHICLES
2025-11-02,414.0,417.85,410.1,417.0,8952229,TATAMOTORSPASSENGER VEHICLES
2025-11-03,417.4,417.5,405.1,406.5,8889004,TATAMOTORSPASSENGER VEHICLES
2025-11-05,407.15,409.7,405.4,407.85,6862359,TATAMOTORSPASSENGER VEHICLES
2025-11-06,406.7,407.2,401.45,405.7,6930046,TATAMOTORSPASSENGER VEHICLES
2025-11-09,406.0,412.95,406.0,410.45,7913640,TATAMOTORSPASSENGER VEHICLES
2025-11-10,412.55,413.7,402.65,407.6,8120946,TATAMOTORSPASSENGER VEHICLES
2025-11-11,407.6,411.4,401.9,402.15,12940220,TATAMOTORSPASSENGER VEHICLES
2025-11-12,404.0,404.0,397.4,397.95,13165720,TATAMOTORSPASSENGER VEHICLES
2025-11-13,397.95,399.6,387.3,391.2,21834850,TATAMOTORSPASSENGER VEHICLES
2025-11-16,380.0,380.0,363.0,372.7,32393340,TATAMOTORSPASSENGER VEHICLES
2025-11-17,373.1,374.0,369.15,371.3,17484750,TATAMOTORSPASSENGER VEHICLES
2025-11-18,371.2,371.25,360.35,360.85,17854510,TATAMOTORSPASSENGER VEHICLES
2025-11-19,362.0,364.4,359.25,359.8,15999030,TATAMOTORSPASSENGER VEHICLES
2025-11-20,359.0,364.25,358.0,362.25,10829320,TATAMOTORSPASSENGER VEHICLES
2025-11-23,362.5,362.85,356.8,358.3,12671920,TATAMOTORSPASSENGER VEHICLES
2025-11-24,358.0,358.1,352.0,352.45,12577560,TATAMOTORSPASSENGER VEHICLES
2025-11-25,354.45,362.85,354.3,359.25,13130210,TATAMOTORSPASSENGER VEHICLES
2025-11-26,362.0,362.8,356.45,357.8,8871759,TATAMOTORSPASSENGER VEHICLES
2025-11-27,358.0,359.75,355.1,356.8,10905210,TATAMOTORSPASSENGER VEHICLES
2025-11-30,359.0,365.0,358.7,363.8,12714130,TATAMOTORSPASSENGER VEHICLES
2025-12-01,364.0,364.0,359.6,361.75,8576018,TATAMOTORSPASSENGER VEHICLES
2025-12-02,361.7,361.7,354.1,356.85,9504331,TATAMOTORSPASSENGER VEHICLES
2025-12-03,357.0,359.5,354.3,356.45,9173145,TATAMOTORSPASSENGER VEHICLES
2025-12-04,355.0,356.55,353.0,353.6,5667381,TATAMOTORSPASSENGER VEHICLES
2025-12-07,353.95,356.2,345.8,348.3,7186158,TATAMOTORSPASSENGER VEHICLES
2025-12-08,348.5,348.65,341.7,344.7,9143402,TATAMOTORSPASSENGER VEHICLES
2025-12-09,347.0,347.5,341.95,343.4,8705054,TATAMOTORSPASSENGER VEHICLES
2025-12-10,343.4,348.2,341.4,346.65,6756893,TATAMOTORSPASSENGER VEHICLES
2025-12-11,348.0,349.35,344.75,347.45,7241621,TATAMOTORSPASSENGER VEHICLES
2025-12-14,347.45,348.75,343.05,347.15,8169383,TATAMOTORSPASSENGER VEHICLES
2025-12-15,347.15,349.35,343.9,345.45,8391226,TATAMOTORSPASSENGER VEHICLES
2025-12-16,346.45,350.0,345.4,346.35,7045390,TATAMOTORSPASSENGER VEHICLES
2025-12-17,346.35,347.45,337.7,345.8,15417500,TATAMOTORSPASSENGER VEHICLES
2025-12-18,347.4,354.8,347.0,352.65,74052760,TATAMOTORSPASSENGER VEHICLES
2025-12-21,356.25,360.95,353.6,359.15,10798310,TATAMOTORSPASSENGER VEHICLES
2025-12-22,361.0,366.75,357.65,363.25,11885570,TATAMOTORSPASSENGER VEHICLES
2025-12-23,364.0,364.9,358.55,359.2,9212351,TATAMOTORSPASSENGER VEHICLES
2025-12-25,359.2,360.4,354.7,358.8,8589856,TATAMOTORSPASSENGER VEHICLES
2025-12-28,358.5,362.8,357.85,358.6,10050260,TATAMOTORSPASSENGER VEHICLES
2025-12-29,358.6,363.95,358.45,361.75,13807060,TATAMOTORSPASSENGER VEHICLES
2025-12-30,361.75,368.5,360.65,367.35,10439180,TATAMOTORSPASSENGER VEHICLES
2025-12-31,368.85,371.0,365.55,367.55,7214281,TATAMOTORSPASSENGER VEHICLES
2026-01-01,369.2,372.9,368.55,370.35,7077536,TATAMOTORSPASSENGER VEHICLES
2026-01-04,370.35,375.0,369.1,373.55,9591926,TATAMOTORSPASSENGER VEHICLES
