date,open,high,low,close,volume,symbol
2000-12-31,3.5866,3.7018,3.5674,3.6264,51890601,TATASTEEL
2001-01-01,3.636,3.71,3.625,3.6936,43690227,TATASTEEL
2001-01-02,3.7183,3.7924,3.6661,3.7334,71681783,TATASTEEL
2001-01-03,3.7841,3.8116,3.6469,3.6908,72563820,TATASTEEL
2001-01-04,3.7169,3.743,3.6305,3.6511,43043313,TATASTEEL
2001-01-07,3.625,3.6703,3.518,3.5399,42258969,TATASTEEL
2001-01-08,3.5221,3.5742,3.4727,3.485,38595811,TATASTEEL
2001-01-09,3.5097,3.5921,3.4603,3.485,45969931,TATASTEEL
2001-01-10,3.5125,3.5193,3.4576,3.4795,22998431,TATASTEEL
2001-01-11,3.4988,3.5715,3.4315,3.5111,45433321,TATASTEEL
2001-01-14,3.5344,3.6607,3.5221,3.6373,65604181,TATASTEEL
2001-01-15,3.662,3.6744,3.5893,3.6085,42945067,TATASTEEL
2001-01-16,3.5674,3.6017,3.3958,3.4205,70627548,TATASTEEL
2001-01-17,3.4535,3.5262,3.3862,3.5042,59448566,TATASTEEL
2001-01-18,3.5152,3.5591,3.4741,3.4933,45258595,TATASTEEL
2001-01-21,3.5125,3.5783,3.4933,3.5536,41636082,TATASTEEL
2001-01-22,3.5893,3.6483,3.5756,3.5879,49045450,TATASTEEL
2001-01-23,3.636,3.6552,3.5701,3.6264,55701679,TATASTEEL
2001-01-24,3.5962,3.6442,3.5495,3.5811,34720720,TATASTEEL
2001-01-25,3.5811,3.5811,3.5811,3.5811,0,TATASTEEL
2001-01-28,3.5687,3.5893,3.4055,3.5193,28038167,TATASTEEL
2001-01-29,3.5125,3.7293,3.5125,3.7128,66914235,TATASTEEL
2001-01-30,3.732,3.8582,3.7073,3.769,118599154,TATASTEEL
2001-01-31,3.7347,3.8239,3.6497,3.7553,79373135,TATASTEEL
2001-02-01,3.7347,3.931,3.732,3.9131,110114588,TATASTEEL
2001-02-04,3.9351,4.1505,3.9117,4.0901,151982659,TATASTEEL
2001-02-05,4.1066,4.2218,4.0421,4.1889,130730474,TATASTEEL
2001-02-06,4.215,4.215,4.086,4.1656,80375344,TATASTEEL
2001-02-07,4.1765,4.3769,4.1738,4.3535,145070984,TATASTEEL
2001-02-08,4.3865,4.5154,4.3865,4.4688,117667282,TATASTEEL
2001-02-11,4.4702,4.4866,4.2987,4.3302,72908001,TATASTEEL
2001-02-12,4.3357,4.4359,4.2685,4.3439,85685789,TATASTEEL
2001-02-13,4.3357,4.4153,4.2671,4.3535,78834530,TATASTEEL
2001-02-14,4.3878,4.418,4.3234,4.3508,59968951,TATASTEEL
2001-02-15,4.3494,4.3631,4.2012,4.2122,52107468,TATASTEEL
2001-02-18,4.2383,4.3631,4.2012,4.2602,52507379,TATASTEEL
2001-02-19,4.2726,4.3618,4.2726,4.3028,69215170,TATASTEEL
2001-02-20,4.3522,4.4386,4.3247,4.3782,115409467,TATASTEEL
2001-02-21,4.3631,4.3741,4.2314,4.2616,56571997,TATASTEEL
2001-02-22,4.322,4.3975,4.1436,4.1711,112026299,TATASTEEL
2001-02-25,4.1985,4.2891,4.0489,4.2342,103699823,TATASTEEL
2001-02-26,4.274,4.3741,4.1436,4.3302,111777034,TATASTEEL
2001-02-27,4.3618,4.4304,4.1848,4.2397,92215988,TATASTEEL
2001-02-28,4.1752,4.5799,4.1752,4.4729,137195609,TATASTEEL
2001-03-01,4.5552,4.6499,4.2698,4.311,90746097,TATASTEEL
2001-03-04,4.3481,4.3878,4.0503,4.0846,77691115,TATASTEEL
2001-03-05,4.0846,4.0846,4.0846,4.0846,0,TATASTEEL
2001-03-06,4.1573,4.2383,3.9831,4.0942,35681643,TATASTEEL
2001-03-07,4.064,4.2259,4.0407,4.1422,35120791,TATASTEEL
2001-03-08,4.0915,4.0915,3.8116,3.8966,30159317,TATASTEEL
2001-03-11,3.8171,4.027,3.5289,3.6209,34290727,TATASTEEL
2001-03-12,3.5303,3.5303,3.0419,3.0473,60086593,TATASTEEL
2001-03-13,2.9911,3.4713,2.9911,3.4151,35824701,TATASTEEL
2001-03-14,3.2943,3.6895,3.2943,3.6456,38348078,TATASTEEL
2001-03-15,3.6236,3.7526,3.2929,3.4466,32203862,TATASTEEL
2001-03-18,3.3204,3.6991,3.3204,3.6579,27478616,TATASTEEL
2001-03-19,3.7018,3.7869,3.5619,3.6181,20490478,TATASTEEL
2001-03-20,3.5756,3.8088,3.5701,3.7636,23845095,TATASTEEL
2001-03-21,3.7594,3.8006,3.6497,3.6963,16868963,TATASTEEL
2001-03-22,3.732,3.732,3.5276,3.6565,28174350,TATASTEEL
2001-03-25,3.5948,3.6991,3.5701,3.6593,10591984,TATASTEEL
2001-03-26,3.6607,3.6771,3.5646,3.577,9133118,TATASTEEL
2001-03-27,3.6071,3.6744,3.5824,3.6113,10390844,TATASTEEL
2001-03-28,3.5948,3.6318,3.4713,3.5138,15712065,TATASTEEL
2001-03-29,3.5193,3.603,3.3245,3.3574,18153137,TATASTEEL
2001-04-01,3.3245,3.3245,3.1557,3.1763,13908165,TATASTEEL
2001-04-02,3.1695,3.2902,3.1695,3.271,22583647,TATASTEEL
2001-04-03,3.2792,3.2902,3.1695,3.271,14357270,TATASTEEL
2001-04-04,3.271,3.271,3.271,3.271,0,TATASTEEL
2001-04-05,3.2916,3.4603,3.2916,3.3876,24324408,TATASTEEL
2001-04-08,3.3684,3.5097,3.3684,3.4754,13091601,TATASTEEL
2001-04-09,3.4837,3.5399,3.3931,3.4164,13609438,TATASTEEL
2001-04-10,3.4699,3.4823,3.3135,3.3506,14346601,TATASTEEL
2001-04-11,3.2957,3.2957,3.1036,3.1557,27031149,TATASTEEL
2001-04-12,3.1557,3.1557,3.1557,3.1557,0,TATASTEEL
2001-04-15,3.1297,3.3588,3.1297,3.308,20138924,TATASTEEL
2001-04-16,3.3231,3.4988,3.3094,3.4713,21167671,TATASTEEL
2001-04-17,3.5125,3.7485,3.4727,3.6318,32500095,TATASTEEL
2001-04-18,3.6456,3.8939,3.6181,3.7924,53914414,TATASTEEL
2001-04-19,3.8116,3.813,3.6099,3.6757,18722823,TATASTEEL
2001-04-22,3.7018,3.8253,3.651,3.7155,16943288,TATASTEEL
2001-04-23,3.6771,3.7718,3.6538,3.7087,17622137,TATASTEEL
2001-04-24,3.7567,4.0339,3.7183,4.0092,60106345,TATASTEEL
2001-04-25,4.0339,4.097,3.8006,3.8596,41946047,TATASTEEL
2001-04-26,3.8102,3.8102,3.4713,3.577,44257954,TATASTEEL
2001-04-29,3.5948,3.7046,3.5701,3.6867,18116750,TATASTEEL
2001-04-30,3.6867,3.6867,3.6867,3.6867,0,TATASTEEL
2001-05-01,3.743,3.8925,3.7306,3.7883,38392855,TATASTEEL
2001-05-02,3.7594,3.8143,3.6552,3.6716,19094379,TATASTEEL
2001-05-03,3.6552,3.8143,3.6497,3.754,31540615,TATASTEEL
2001-05-06,3.7992,3.8747,3.754,3.7704,24380495,TATASTEEL
2001-05-07,3.7732,3.8061,3.7361,3.7471,17220588,TATASTEEL
2001-05-08,3.7732,3.8418,3.7073,3.7306,25754597,TATASTEEL
2001-05-09,3.7059,3.7594,3.6771,3.7224,11783524,TATASTEEL
2001-05-10,3.732,3.7594,3.636,3.6497,18736110,TATASTEEL
2001-05-13,3.6373,3.6634,3.5056,3.5234,17966371,TATASTEEL
2001-05-14,3.485,3.5125,3.2545,3.4823,26831470,TATASTEEL
2001-05-15,3.5193,3.7567,3.5193,3.7361,66294126,TATASTEEL
2001-05-16,3.7567,3.9104,3.7471,3.8033,67466537,TATASTEEL
2001-05-17,3.8404,3.9241,3.7896,3.8857,48544550,TATASTEEL
2001-05-20,3.9433,4.0325,3.9241,3.957,80907020,TATASTEEL
2001-05-21,3.9392,4.0009,3.8994,3.9488,49737337,TATASTEEL
2001-05-22,3.8939,3.92,3.8445,3.8747,29302304,TATASTEEL
2001-05-23,4.0383,4.0795,4.0027,4.0255,32920471,TATASTEEL
2001-05-24,4.0312,4.0639,3.9828,3.9913,18752692,TATASTEEL
2001-05-27,4.0084,4.1506,4.0084,4.1236,57941860,TATASTEEL
2001-05-28,4.1478,4.1933,4.1151,4.1322,40317692,TATASTEEL
2001-05-29,4.1393,4.1791,4.0511,4.0767,36952353,TATASTEEL
2001-05-30,4.0411,4.0738,3.9686,4.0169,34846163,TATASTEEL
2001-05-31,4.0539,4.1179,3.9856,4.0312,57975826,TATASTEEL
2001-06-03,4.0539,4.1037,3.9003,3.9103,63852395,TATASTEEL
2001-06-04,3.9117,3.9387,3.842,3.8576,33587832,TATASTEEL
2001-06-05,3.9031,3.9259,3.8036,3.8121,26254589,TATASTEEL
2001-06-06,3.8263,3.8263,3.6841,3.7353,24647268,TATASTEEL
2001-06-07,3.7524,3.8206,3.741,3.7581,34947437,TATASTEEL
2001-06-10,3.7751,3.8022,3.7495,3.7709,17124604,TATASTEEL
2001-06-11,3.7581,3.7979,3.741,3.7509,26159032,TATASTEEL
2001-06-12,3.7694,3.778,3.6869,3.6997,21434088,TATASTEEL
2001-06-13,3.6855,3.6983,3.6357,3.6556,26039699,TATASTEEL
2001-06-14,3.6286,3.6386,3.5148,3.529,22208779,TATASTEEL
2001-06-17,3.5205,3.529,3.4508,3.5034,23524390,TATASTEEL
2001-06-18,3.5205,3.5973,3.5134,3.5689,36247748,TATASTEEL
2001-06-19,3.5973,3.5973,3.4992,3.5219,11924337,TATASTEEL
2001-06-20,3.5276,3.5404,3.3825,3.4153,19235246,TATASTEEL
