date,open,high,low,close,volume,symbol
2002-08-11,25.1941,26.0236,25.1941,25.8284,212976,TCS
2002-08-12,25.8609,26.2757,25.2917,25.4787,153576,TCS
2002-08-13,25.5356,25.5356,23.2423,23.7221,822776,TCS
2002-08-14,23.7221,23.7221,23.7221,23.7221,0,TCS
2002-08-15,23.6001,24.7224,23.2586,23.6652,811856,TCS
2002-08-18,23.8604,23.8604,22.8601,23.0797,205880,TCS
2002-08-19,23.2423,25.1941,23.0878,23.7221,3773624,TCS
2002-08-20,25.0314,25.5031,23.7628,24.885,3011064,TCS
2002-08-21,25.7064,27.0483,25.5763,25.9585,6732480,TCS
2002-08-22,26.1862,28.382,25.8691,27.5199,4841672,TCS
2002-08-25,27.9591,28.138,27.2028,27.4223,2576912,TCS
2002-08-26,27.6501,28.7886,26.5115,26.7392,3694224,TCS
2002-08-27,26.6579,27.0645,26.2106,26.7636,1674960,TCS
2002-08-28,26.601,27.2434,26.5115,26.7636,1236544,TCS
2002-08-29,26.845,29.3579,26.8368,28.6585,3762384,TCS
2002-09-01,29.1139,29.9108,28.6585,28.9512,2389568,TCS
2002-09-02,29.1139,29.2359,27.3248,27.5931,986784,TCS
2002-09-03,27.2434,28.4633,26.9263,28.1949,1449856,TCS
2002-09-04,29.0569,29.1871,27.65,28.0241,1061360,TCS
2002-09-05,28.138,28.138,26.6823,26.9832,907472,TCS
2002-09-08,25.6983,27.772,25.6983,26.6335,880848,TCS
2002-09-09,26.6335,26.6335,26.6335,26.6335,0,TCS
2002-09-10,26.7799,27.7802,26.7799,27.3085,635936,TCS
2002-09-11,27.6419,28.1217,27.2597,27.4468,781968,TCS
2002-09-12,26.4871,27.4711,26.4383,26.666,338264,TCS
2002-09-15,26.9181,27.0645,25.9423,26.1456,288592,TCS
2002-09-16,26.6172,27.0808,26.5278,26.91,462952,TCS
2002-09-17,26.7555,26.8368,25.8609,26.0805,315432,TCS
2002-09-18,25.8609,26.723,25.5356,25.8609,490848,TCS
2002-09-19,24.9338,25.8121,24.8281,25.438,501072,TCS
2002-09-22,25.617,25.682,24.9013,25.007,248504,TCS
2002-09-23,24.9176,24.9176,23.8929,24.1613,267912,TCS
2002-09-24,23.6001,24.5598,23.4212,24.3483,379544,TCS
2002-09-25,24.8525,25.1209,24.5597,24.7305,178136,TCS
2002-09-26,24.6492,25.373,24.6492,25.0314,206288,TCS
2002-09-29,24.6492,25.0314,23.6001,24.1206,202232,TCS
2002-09-30,24.2345,24.5598,23.5025,23.9173,240192,TCS
2002-10-01,23.9173,23.9173,23.9173,23.9173,0,TCS
2002-10-02,24.2345,25.8609,24.2345,24.5597,673264,TCS
2002-10-03,24.885,24.9582,24.1531,24.4052,258296,TCS
2002-10-06,24.5679,24.7224,24.0881,24.2995,110976,TCS
2002-10-07,24.3727,25.1941,24.2345,24.9582,227352,TCS
2002-10-08,25.0477,25.4462,24.1125,24.3239,277040,TCS
2002-10-09,25.0477,25.0477,23.836,24.3483,173224,TCS
2002-10-10,25.0314,25.3323,24.7956,24.8607,192536,TCS
2002-10-13,25.3242,25.373,24.4459,24.6817,152744,TCS
2002-10-14,24.6817,24.6817,24.6817,24.6817,0,TCS
2002-10-15,27.829,27.829,24.576,24.7305,247760,TCS
2002-10-16,24.885,24.885,24.4134,24.7305,144512,TCS
2002-10-17,25.2104,25.9748,24.9095,25.251,512312,TCS
2002-10-20,25.8447,26.5034,25.5356,25.6414,646296,TCS
2002-10-21,25.8609,25.8609,24.5597,24.7143,229384,TCS
2002-10-22,24.8851,25.1778,24.4134,24.6004,153320,TCS
2002-10-23,24.8688,24.9501,24.0068,24.1694,168744,TCS
