date,open,high,low,close,volume,symbol
2006-08-27,88.3798,96.5223,85.1568,94.0202,60664652,TECHM
2006-08-28,94.1474,95.6571,90.848,91.4841,15716452,TECHM
2006-08-29,91.094,92.0948,88.4646,89.5842,8139932,TECHM
2006-08-30,89.0584,92.2814,87.362,91.3399,6683960,TECHM
2006-08-31,91.4332,93.1296,90.7717,91.9167,4704780,TECHM
2006-09-03,91.9421,93.1296,76.8107,92.2729,2999152,TECHM
2006-09-04,92.2814,94.317,91.3484,93.7572,3824532,TECHM
2006-09-05,94.0965,95.4197,91.2636,91.8149,3830444,TECHM
2006-09-06,92.4511,92.4511,89.9065,91.1449,1404644,TECHM
2006-09-07,91.3993,92.4341,90.1694,90.7208,1078636,TECHM
2006-09-10,91.5944,92.451,90.2882,90.9158,1681864,TECHM
2006-09-11,90.9159,92.7649,90.5851,91.2382,2056784,TECHM
2006-09-12,91.7725,93.1296,91.7725,92.4002,1607788,TECHM
2006-09-13,92.485,94.5715,92.468,93.2738,2138440,TECHM
2006-09-14,93.3247,93.9778,91.4332,91.6368,839132,TECHM
2006-09-17,92.2814,95.3349,92.2814,92.7055,897504,TECHM
2006-09-18,92.9684,105.8268,92.7055,99.1092,19172256,TECHM
2006-09-19,98.3544,104.1389,97.2432,102.6376,9057312,TECHM
2006-09-20,97.8794,106.3611,97.8794,103.2992,7104400,TECHM
2006-09-21,106.0219,106.0219,100.636,101.9761,2906004,TECHM
2006-09-24,100.9752,103.7657,100.0931,100.6868,2542148,TECHM
2006-09-25,101.747,106.1915,100.7632,104.7665,6943500,TECHM
2006-09-26,105.0888,107.1753,104.546,105.0804,4061248,TECHM
2006-09-27,105.971,105.971,103.1635,103.9862,1210420,TECHM
2006-09-28,104.3255,106.87,103.4773,104.9023,2381504,TECHM
2006-10-02,105.004,107.8624,104.3255,105.0719,3202624,TECHM
2006-10-03,105.4451,105.8522,103.4773,104.105,1202696,TECHM
2006-10-04,105.3773,106.5308,105.0041,105.8777,857264,TECHM
2006-10-05,106.7004,108.5579,104.8599,105.3942,2473768,TECHM
2006-10-08,104.8344,106.0049,103.4773,104.1643,961312,TECHM
2006-10-09,105.1737,105.9879,103.5367,104.4697,840552,TECHM
2006-10-10,105.1737,110.9073,105.1737,106.8615,7770292,TECHM
2006-10-11,107.6334,108.0744,105.3433,106.8191,2884688,TECHM
2006-10-12,107.7352,117.5401,107.7352,115.6826,10084532,TECHM
2006-10-15,116.7513,121.7979,116.7513,120.5172,7437840,TECHM
2006-10-16,121.1194,121.6283,118.7869,119.5078,3306924,TECHM
2006-10-17,120.4408,121.289,115.3518,116.0388,3019184,TECHM
2006-10-18,118.7445,134.3509,118.7445,131.077,18835652,TECHM
2006-10-19,132.1456,152.6715,131.6367,146.4543,21011380,TECHM
2006-10-22,162.171,167.7605,149.4484,152.3576,16687696,TECHM
2006-10-25,152.6715,157.082,151.3738,155.8352,10700288,TECHM
2006-10-26,156.2847,172.0098,156.2847,169.7961,17816692,TECHM
2006-10-29,171.3313,177.7435,167.0904,170.746,12570116,TECHM
2006-10-30,170.992,173.8758,162.2728,167.8877,8952160,TECHM
2006-10-31,169.8046,173.7062,166.6833,171.2041,7815152,TECHM
2006-11-01,170.992,172.7987,168.8122,170.0591,4379712,TECHM
2006-11-02,170.3135,170.4831,167.0904,168.2778,2850172,TECHM
2006-11-05,169.635,173.1973,166.7512,169.3466,3482952,TECHM
2006-11-06,171.959,172.0777,167.4721,168.0998,2035924,TECHM
2006-11-07,169.3975,170.4831,164.3763,168.0573,3295280,TECHM
2006-11-08,169.9742,170.1099,166.5815,167.5315,1888468,TECHM
2006-11-09,168.685,174.8936,165.3941,169.5247,5312484,TECHM
2006-11-12,169.6349,172.4933,168.7019,170.6103,2536604,TECHM
2006-11-13,171.3313,172.1795,168.1337,168.9819,2367328,TECHM
2006-11-14,169.635,184.8682,169.2109,182.1201,10842812,TECHM
2006-11-15,182.3661,197.8961,180.1862,195.5806,16836432,TECHM
2006-11-16,196.7766,199.7791,186.2592,189.1599,8229376,TECHM
2006-11-19,186.5984,194.8766,179.8809,193.2312,7255332,TECHM
2006-11-20,191.7978,205.2074,191.7978,200.5679,7310604,TECHM
2006-11-21,201.3567,203.5195,198.2184,199.2363,3415848,TECHM
2006-11-22,201.0174,201.0174,193.4177,195.0293,2498644,TECHM
2006-11-23,186.7766,200.5425,186.7766,193.5365,3247380,TECHM
2006-11-26,193.9945,195.0717,189.4313,191.1871,1628732,TECHM
