date,open,high,low,close,volume,symbol
2000-12-31,2.7302,2.8244,2.7056,2.728,1086520,TITAN
2001-01-01,2.7392,2.8019,2.6943,2.7683,892320,TITAN
2001-01-02,2.8019,3.0687,2.8019,3.0194,2721640,TITAN
2001-01-03,3.0889,3.452,3.0889,3.248,5216140,TITAN
2001-01-04,3.3175,3.452,3.1785,3.1942,2875240,TITAN
2001-01-07,3.2278,3.2278,3.0597,3.0821,869460,TITAN
2001-01-08,3.053,3.2682,3.0239,3.1718,1803120,TITAN
2001-01-09,3.3175,3.5327,3.2727,3.396,4139140,TITAN
2001-01-10,3.4296,3.4296,3.2278,3.2794,1773640,TITAN
2001-01-11,3.1606,3.2816,3.0933,3.1247,1629600,TITAN
2001-01-14,3.0306,3.2009,3.0261,3.174,853560,TITAN
2001-01-15,3.1696,3.1942,3.0933,3.118,1954540,TITAN
2001-01-16,3.1718,3.248,3.1202,3.1225,554560,TITAN
2001-01-17,3.1359,3.1696,3.0933,3.1471,220860,TITAN
2001-01-18,3.1516,3.183,3.0709,3.0911,601580,TITAN
2001-01-21,3.0889,3.1382,3.0821,3.1247,290640,TITAN
2001-01-22,3.1651,3.4789,3.1382,3.3825,2876740,TITAN
2001-01-23,3.5372,3.582,3.2727,3.4004,2989940,TITAN
2001-01-24,3.396,3.396,3.2996,3.3556,846440,TITAN
2001-01-25,3.3556,3.3556,3.3556,3.3556,0,TITAN
2001-01-28,3.2951,3.2951,3.1135,3.1718,1296080,TITAN
2001-01-29,3.1382,3.2637,3.1382,3.2323,904140,TITAN
2001-01-30,3.2727,3.2794,3.1068,3.1337,1196920,TITAN
2001-01-31,3.0709,3.174,3.0709,3.109,308980,TITAN
2001-02-01,3.127,3.1382,3.0485,3.0664,410000,TITAN
2001-02-04,3.0283,3.1382,3.0283,3.1225,393380,TITAN
2001-02-05,3.0508,3.3309,3.0508,3.2928,1678080,TITAN
2001-02-06,3.3578,3.6425,3.3399,3.508,7141200,TITAN
2001-02-07,3.5394,3.6313,3.461,3.5842,2956200,TITAN
2001-02-08,3.6246,3.86,3.6089,3.7636,5854280,TITAN
2001-02-11,3.851,3.8667,3.7075,3.7344,3275220,TITAN
2001-02-12,3.8106,3.8106,3.5865,3.6403,2604640,TITAN
2001-02-13,3.6537,3.8017,3.6067,3.6672,850360,TITAN
2001-02-14,3.6425,3.7882,3.6425,3.7255,1162080,TITAN
2001-02-15,3.786,3.8106,3.4341,3.5013,1497060,TITAN
2001-02-18,3.452,3.6537,3.4296,3.6336,1563080,TITAN
2001-02-19,3.6448,3.6515,3.4968,3.5349,1783940,TITAN
2001-02-20,3.5865,3.6313,3.452,3.5551,410020,TITAN
2001-02-21,3.5641,3.5641,3.3444,3.4318,719380,TITAN
2001-02-22,3.4072,3.4251,3.0037,3.0463,1125860,TITAN
