date,open,high,low,close,volume,symbol
2002-06-30,10.5691,10.7037,10.4375,10.4653,70415,TRENT
2002-07-01,10.7037,11.0489,8.4249,10.3716,101236,TRENT
2002-07-02,10.496,10.5552,10.2268,10.3446,65381,TRENT
2002-07-03,10.5552,10.5552,10.2963,10.3234,66402,TRENT
2002-07-04,10.6276,11.2141,10.4272,10.662,579971,TRENT
2002-07-07,10.8068,10.9728,10.5793,10.6342,154805,TRENT
2002-07-08,10.7037,10.8141,10.4411,10.5654,205417,TRENT
2002-07-09,10.7037,10.7037,10.4514,10.5033,75093,TRENT
2002-07-10,10.496,11.0832,10.289,10.3965,171272,TRENT
2002-07-11,10.5654,10.572,10.2992,10.3512,57189,TRENT
2002-07-14,10.3651,10.3651,9.8853,9.9402,89981,TRENT
2002-07-15,9.9131,10.0477,9.8019,9.8992,85078,TRENT
2002-07-16,9.8751,9.9438,9.5986,9.6469,40485,TRENT
2002-07-17,9.8919,10.7037,9.8751,9.9263,97449,TRENT
2002-07-18,9.7471,10.1303,9.7471,9.9402,38621,TRENT
2002-07-21,10.082,10.082,9.3917,9.4919,57937,TRENT
2002-07-22,9.4604,9.7369,9.0874,9.5401,148655,TRENT
2002-07-23,9.5986,10.082,9.5986,9.6469,238910,TRENT
2002-07-24,9.889,10.006,9.2534,9.4326,172080,TRENT
2002-07-25,9.3083,9.3844,8.7006,8.9843,157369,TRENT
2002-07-28,8.977,9.5299,8.2384,9.2052,179156,TRENT
2002-07-29,9.4604,9.5299,8.3627,8.656,162748,TRENT
2002-07-30,8.4249,9.1152,8.1484,9.0085,364248,TRENT
2002-07-31,8.7006,9.3222,8.7006,9.1708,202544,TRENT
2002-08-01,9.6645,9.7025,8.9083,9.6747,403641,TRENT
2002-08-04,9.6608,9.8751,9.5986,9.7712,182658,TRENT
2002-08-05,10.2203,10.2203,9.4019,9.4809,98470,TRENT
2002-08-06,9.799,9.799,9.4604,9.5431,124293,TRENT
2002-08-07,10.2203,10.2203,9.1189,9.3361,95573,TRENT
2002-08-08,9.3434,9.4707,9.1533,9.2981,55468,TRENT
2002-08-11,8.4249,9.7091,8.4249,9.6264,350120,TRENT
2002-08-12,9.6535,9.6535,9.3397,9.3741,51087,TRENT
2002-08-13,9.4604,9.8056,9.4604,9.7266,156538,TRENT
2002-08-14,9.7266,9.7266,9.7266,9.7266,0,TRENT
2002-08-15,9.8056,10.1303,9.7025,9.9504,319441,TRENT
2002-08-18,10.0126,10.289,9.9504,10.0681,126311,TRENT
2002-08-19,10.3373,10.496,9.9438,10.417,253501,TRENT
